Item_ID,Section,Correct_Answer,Feedback
AEW2-U007-L1-Q01,Lesson 1,ball,Correct. The round toy is a ball.
AEW2-U007-L1-Q02,Lesson 1,car,Correct. The small vehicle toy is a car.
AEW2-U007-L1-Q03,Lesson 1,doll,Correct. The toy girl figure is a doll.
AEW2-U007-L1-Q04,Lesson 1,robot,Correct. The toy with metal body is a robot.
AEW2-U007-L1-Q05,Lesson 1,kite,Correct. The flying toy is a kite.
AEW2-U007-L1-Q06,Lesson 1,teddy bear,Correct. The soft bear toy is a teddy bear.
AEW2-U007-L1-Q07,Lesson 1,blocks,Correct. The cube toys are blocks.
AEW2-U007-L1-Q08,Lesson 1,train,Correct. The toy with small cars on a track is a train.
AEW2-U007-L1-Q09,Lesson 1,ball,Correct. Ball is the round toy.
AEW2-U007-L1-Q10,Lesson 1,car,Correct. Car matches the small vehicle.
AEW2-U007-L1-Q11,Lesson 1,robot,Correct. Robot is a toy word.
AEW2-U007-L1-Q12,Lesson 1,blocks,Correct. Blocks are small cube toys.
AEW2-U007-L2-Q01,Lesson 2,in,Correct. Inside the box = in.
AEW2-U007-L2-Q02,Lesson 2,It's in the box.,Correct. The toy is inside the box.
AEW2-U007-L2-Q03,Lesson 2,It's in the box.,Correct. The robot is in the box.
AEW2-U007-L2-Q04,Lesson 2,in,Correct. Inside means in.
AEW2-U007-L2-Q05,Lesson 2,in the box,Correct. The toy is in the box.
AEW2-U007-L2-Q06,Lesson 2,in,Correct. A toy inside is in.
AEW2-U007-L2-Q07,Lesson 2,box,Correct. It’s in the box.
AEW2-U007-L2-Q08,Lesson 2,It's in the box.,Correct. This is a short location answer.
AEW2-U007-L2-Q09,Lesson 2,in,Correct. Use in with a toy inside the box.
AEW2-U007-L2-Q10,Lesson 2,It's in the box.,Correct. This sentence uses in.
AEW2-U007-L2-Q11,Lesson 2,in,Correct. In tells the place.
AEW2-U007-L2-Q12,Lesson 2,It's in the box.,Correct. It’s in the box is the correct chunk.
AEW2-U007-L3-Q01,Lesson 3,on,Correct. Sitting on top = on.
AEW2-U007-L3-Q02,Lesson 3,It's on the shelf.,Correct. The toy is on the shelf.
AEW2-U007-L3-Q03,Lesson 3,It's on the shelf.,Correct. The car is on the shelf.
AEW2-U007-L3-Q04,Lesson 3,on,Correct. On means on top.
AEW2-U007-L3-Q05,Lesson 3,on the shelf,Correct. The toy is on the shelf.
AEW2-U007-L3-Q06,Lesson 3,on,Correct. A toy on top uses on.
AEW2-U007-L3-Q07,Lesson 3,shelf,Correct. It’s on the shelf.
AEW2-U007-L3-Q08,Lesson 3,It's on the shelf.,Correct. This is a short location answer.
AEW2-U007-L3-Q09,Lesson 3,on,Correct. Use on with a toy on the shelf.
AEW2-U007-L3-Q10,Lesson 3,It's on the shelf.,Correct. This sentence uses on.
AEW2-U007-L3-Q11,Lesson 3,on,Correct. On tells the place.
AEW2-U007-L3-Q12,Lesson 3,It's on the shelf.,Correct. It’s on the shelf is the correct chunk.
AEW2-U007-L4-Q01,Lesson 4,under,Correct. Below the table = under.
AEW2-U007-L4-Q02,Lesson 4,It's under the table.,Correct. The toy is under the table.
AEW2-U007-L4-Q03,Lesson 4,It's under the table.,Correct. The ball is under the table.
AEW2-U007-L4-Q04,Lesson 4,under,Correct. Below means under.
AEW2-U007-L4-Q05,Lesson 4,under the table,Correct. The toy is under the table.
AEW2-U007-L4-Q06,Lesson 4,under,Correct. A toy below something is under.
AEW2-U007-L4-Q07,Lesson 4,table,Correct. It’s under the table.
AEW2-U007-L4-Q08,Lesson 4,It's under the table.,Correct. This is a short location answer.
AEW2-U007-L4-Q09,Lesson 4,under,Correct. Use under with a toy below the table.
AEW2-U007-L4-Q10,Lesson 4,It's under the table.,Correct. This sentence uses under.
AEW2-U007-L4-Q11,Lesson 4,under,Correct. Under tells the place.
AEW2-U007-L4-Q12,Lesson 4,It's under the table.,Correct. It’s under the table is the correct chunk.
