image_id,file_name,source_file,section,aspect,use,status
AEW2-U004-IMG-001,AEW2-U004-IMG-001.png,AEW2-U004-IMG-001-cover.png,Unit cover,16:9,banner and unit title image,generated
AEW2-U004-IMG-002,AEW2-U004-IMG-002.png,AEW2-U004-IMG-002-opener.png,Unit opener,16:9,opening story anchor,generated
AEW2-U004-IMG-003,AEW2-U004-IMG-003.png,AEW2-U004-IMG-003-command-board.png,Lesson 1,4:3,study board and quiz source for Listen Look Say,generated
AEW2-U004-IMG-004,AEW2-U004-IMG-004.png,AEW2-U004-IMG-004-action-scene.png,Lesson 1,16:9,action scene for Listen Look Say,generated
AEW2-U004-IMG-005,AEW2-U004-IMG-005.png,AEW2-U004-IMG-005-listen-look-point.png,Lesson 2,16:9,anchor scene for Listen Look Point,generated
AEW2-U004-IMG-006,AEW2-U004-IMG-006.png,AEW2-U004-IMG-006-icon-board.png,Lesson 2,4:3,study board and repair board for Listen Look Point,generated
AEW2-U004-IMG-007,AEW2-U004-IMG-007.png,AEW2-U004-IMG-007-command-trail.png,Lesson 2,16:9,three-step command sequence,generated
AEW2-U004-IMG-008,AEW2-U004-IMG-008.png,AEW2-U004-IMG-008-repair-board.png,Lesson 2,4:3,wrong-answer support board,generated
AEW2-U004-IMG-009,AEW2-U004-IMG-009.png,AEW2-U004-IMG-009-say-again-scene.png,Lesson 3,16:9,repeat-dialogue anchor scene,generated
AEW2-U004-IMG-010,AEW2-U004-IMG-010.png,AEW2-U004-IMG-010-repeat-board.png,Lesson 3,4:3,study board for repeat expressions,generated
AEW2-U004-IMG-011,AEW2-U004-IMG-011.png,AEW2-U004-IMG-011-stand-up.png,Lesson 4,16:9,stand-up action scene,generated
AEW2-U004-IMG-012,AEW2-U004-IMG-012.png,AEW2-U004-IMG-012-sit-down.png,Lesson 4,16:9,sit-down action scene,generated
AEW2-U004-IMG-013,AEW2-U004-IMG-013.png,AEW2-U004-IMG-013-stand-sit-board.png,Lesson 4,4:3,contrast board for stand up and sit down,generated
AEW2-U004-IMG-014,AEW2-U004-IMG-014.png,AEW2-U004-IMG-014-open-book.png,Lesson 5,16:9,open-book action scene,generated
AEW2-U004-IMG-015,AEW2-U004-IMG-015.png,AEW2-U004-IMG-015-close-book.png,Lesson 5,16:9,close-book action scene,generated
AEW2-U004-IMG-016,AEW2-U004-IMG-016.png,AEW2-U004-IMG-016-open-close-board.png,Lesson 5,4:3,contrast board for open and close,generated
AEW2-U004-IMG-017,AEW2-U004-IMG-017.png,AEW2-U004-IMG-017-read-scene.png,Lesson 6,16:9,read action scene,generated
AEW2-U004-IMG-018,AEW2-U004-IMG-018.png,AEW2-U004-IMG-018-write-scene.png,Lesson 6,16:9,write action scene,generated
AEW2-U004-IMG-019,AEW2-U004-IMG-019.png,AEW2-U004-IMG-019-read-write-board.png,Lesson 6,4:3,contrast board for read and write,generated
AEW2-U004-IMG-020,AEW2-U004-IMG-020.png,AEW2-U004-IMG-020-mission-board.png,Lesson 7,16:9,mission rehearsal board,generated
AEW2-U004-IMG-021,AEW2-U004-IMG-021.png,AEW2-U004-IMG-021-watch-frame.png,Watch,16:9,watch thumbnail and video placeholder frame,generated
AEW2-U004-IMG-022,AEW2-U004-IMG-022.png,AEW2-U004-IMG-022-final-project.png,Final Project,16:9,portfolio recording model image,generated
