KP Category,Items,Notes
Allowed New KP,"family, mom, dad, sister, brother, grandma, grandpa, friend, family tree, photo card",Active/receptive picture-supported vocabulary.
Allowed New KP,This is my…,Fixed chunk; no grammar explanation.
Allowed New KP,Who’s this?,Fixed question chunk; listen/choose/say.
Allowed New KP,It’s my…,Fixed answer chunk; controlled output only.
Review KP,my/your,Review from Unit 8; only my is productive.
Review KP,"hello, I’m…, colors, numbers 1–5",Used in warm-up/project decoration only.
Review KP,"look, listen, point, draw",Used as classroom instructions.
Blocked KP,his/her/our/their,Not productive in Unit 10.
Blocked KP,"possessive 's, he/she, has got, there is/are",Reserved for later A1 units.
Blocked KP,"aunt/uncle/cousin/stepfamily, family biography",Too much lexical/cultural load for Pre-A1.2.
Blocked KP,"address, age, nationality, family history",Avoid privacy and over-complex personal data.
