Image_ID,Filename,Section,Image_Type,Purpose,KP_Link,Lexical_Link,Quiz_Link,Aspect_Ratio,Suggested_Size,Text_in_Image,Alt_Text
AEW2_U010_IMG01,AEW2_U010_IMG01_cover_family_tree.png,Cover,Cover image,Unit identity; introduce family/friend tree mission,Unit theme; family/friend poster,"family, friend, tree, photo, card",Unit opener,16:9,1920x1080,Only large cover title allowed: 'Unit 10 Family Tree',"Leo, Mia, Emma, and Toto introduce Unit 10 Family Tree with a tree-shaped photo poster."
AEW2_U010_IMG02,AEW2_U010_IMG02_l1_family_word_board.png,Lesson 1,Vocabulary board,Picture-word support for family/friend words,VOC family words,"mom, dad, sister, brother, grandma, grandpa, friend, dog",U010-L1-Q01–Q06,4:3,1200x900,"Short labels may appear: mom, dad, sister, brother, grandma, grandpa, friend, dog",Eight family and friend word cards for Lesson 1 vocabulary.
AEW2_U010_IMG03,AEW2_U010_IMG03_l1_leo_photo_cards.png,Lesson 1,Anchor scene,Leo recognizes family/friend photo cards,VOC recognition; point/listen,"family, friend, photo, card",U010-L1-Q07–Q12,16:9,1536x864,"No text, or tiny decorative labels only; keep language in HTML",Leo and Toto look at family and friend photo cards on a classroom table.
AEW2_U010_IMG04,AEW2_U010_IMG04_l2_this_is_my_model.png,Lesson 2,Expression board,Model chunk: This is my…,CHK This is my…,This is my mom/friend/dog,U010-L2-Q01–Q06,16:9,1536x864,Large exact phrase allowed: 'This is my ___.',Mia presents a photo card with the sentence frame This is my blank.
AEW2_U010_IMG05,AEW2_U010_IMG05_l2_photo_card_choices.png,Lesson 2,Vocabulary cards,Controlled choices for This is my… sentences,Chunk + vocabulary matching,"mom, dad, friend, dog",U010-L2-Q07–Q12,4:3,1200x900,"Labels may be large: mom, dad, friend, dog","Four photo cards labeled mom, dad, friend, and dog."
AEW2_U010_IMG06,AEW2_U010_IMG06_l3_whos_this_question.png,Lesson 3,Dialogue scene,Ask and answer Who’s this?,CHK Who’s this? It’s my…,"Who’s this?, It’s my friend",U010-L3-Q01–Q06,16:9,1536x864,Speech bubble text allowed: 'Who’s this?',Leo asks Who's this while Mia looks at a mystery photo card.
AEW2_U010_IMG07,AEW2_U010_IMG07_l3_reply_cards.png,Lesson 3,Reply support,Answer options for It’s my…,Answer chunk: It’s my…,It’s my mom/dad/friend/dog,U010-L3-Q07–Q12,16:9,1536x864,Optional short reply frames only: 'It’s my ___.',Emma holds an answer card with It’s my blank as Toto sits beside a dog card.
AEW2_U010_IMG08,AEW2_U010_IMG08_l4_this_is_my_friend.png,Lesson 4,Inclusive friend scene,Show that friend can be used in project,friend as safe alternative,"friend, This is my friend",U010-L4-Q01–Q06,16:9,1536x864,Large phrase allowed: 'This is my friend.',Emma presents a friend card with Leo and Mia.
AEW2_U010_IMG09,AEW2_U010_IMG09_l4_family_friend_sort.png,Lesson 4,Sorting board,Sort family and friend cards,VOC categories family/friend,"family, friend, dog",U010-L4-Q07–Q12,4:3,1200x900,Column titles may appear: family / friend,A sorting board for family and friend picture cards.
AEW2_U010_IMG10,AEW2_U010_IMG10_l5_mini_reading_cards.png,Lesson 5,Reading cards,Mini reading with picture support,RDG short lines,This is my mom. This is my friend.,U010-L5-Q01–Q06,16:9,1536x864,Large readable lines allowed: 'This is my mom.' 'This is my dad.' 'This is my friend.',Mia and Emma read three simple family/friend sentence cards.
AEW2_U010_IMG11,AEW2_U010_IMG11_l5_my_tree_model.png,Lesson 5,Reading model,Mini family/friend tree with 4 lines,RDG + project bridge,"family tree, photo, card",U010-L5-Q07–Q12,4:3,1200x900,Large text may appear as short model lines; keep to 3–4 lines,Leo shows a simple family/friend tree model with Toto.
AEW2_U010_IMG12,AEW2_U010_IMG12_l6_project_planning_table.png,Lesson 6,Project planning scene,Learners choose cards for poster,Project planning,"tree, photo, card, family, friend",U010-L6-Q01–Q06,16:9,1536x864,No embedded learning text; use blank card spaces,The team plans a family/friend tree poster at a craft table.
AEW2_U010_IMG13,AEW2_U010_IMG13_l6_phrase_bank_board.png,Lesson 6,Phrase bank visual,Support project sentence frames,Project phrase bank,"This is my…, Who’s this?, It’s my…",U010-L6-Q07–Q12,4:3,1200x900,Large exact phrases allowed: 'This is my ___.' 'Who’s this?' 'It’s my ___.',A phrase bank board with three Unit 10 sentence frames.
AEW2_U010_IMG14,AEW2_U010_IMG14_l7_say_and_show_model.png,Lesson 7,Speaking model scene,Model short poster presentation,SP presentation chunks,This is my mom/friend/Toto,U010-L7-Q01–Q06,16:9,1536x864,Minimal poster text allowed; keep lines large and simple,Mia presents a completed family/friend poster to Leo and Emma.
AEW2_U010_IMG15,AEW2_U010_IMG15_l7_self_check_badge.png,Lesson 7,Self-check visual,Progress/self-check support,STR self-check,I can say three lines,U010-L7-Q07–Q12,16:9,1536x864,Short checklist may appear: '3 lines' 'clear voice' 'smile',The team holds self-check cards for a short presentation.
AEW2_U010_IMG16,AEW2_U010_IMG16_watch_frame01_toto_finds_cards.png,Watch,Watch frame,Opening frame: Toto finds photo cards,Watch sequence; family/photo,"photo, card, tree",U010-W-Q01–Q02,16:9,1920x1080,No text,Toto finds photo cards near a blank tree poster.
AEW2_U010_IMG17,AEW2_U010_IMG17_watch_frame02_leo_says_mom.png,Watch,Watch frame,Leo introduces a card,This is my…,"mom, photo card",U010-W-Q03–Q04,16:9,1920x1080,Caption can be added later; image itself should avoid text,Leo introduces a photo card while Toto watches.
AEW2_U010_IMG18,AEW2_U010_IMG18_watch_frame03_mia_asks_whos_this.png,Watch,Watch frame,Mia asks Who’s this?,Who’s this?,question chunk,U010-W-Q05–Q07,16:9,1920x1080,No embedded text; leave caption space,Mia points to a mystery photo card while Emma thinks.
AEW2_U010_IMG19,AEW2_U010_IMG19_watch_frame04_emma_says_friend.png,Watch,Watch frame,Emma introduces a friend card,This is my friend,friend,U010-W-Q08–Q10,16:9,1920x1080,No embedded text; caption later,Emma presents a friend card to Leo and Mia.
AEW2_U010_IMG20,AEW2_U010_IMG20_watch_frame05_finished_tree.png,Watch,Watch frame,Final Watch frame: completed tree,Watch wrap-up; project bridge,"family tree, friend, Toto",U010-W-Q11–Q12,16:9,1920x1080,No embedded text or only tiny decorative title; caption later,The team stands by a completed family/friend tree poster.
AEW2_U010_IMG21,AEW2_U010_IMG21_project_model_poster.png,Project,Project model,Final project model image,PRJ family/friend poster,"This is my…, family, friend",U010-P-Q01–Q04,4:3,1200x900,Large simple model text allowed; use 3 lines maximum,Mia shows a model family/friend poster with Toto.
AEW2_U010_IMG22,AEW2_U010_IMG22_project_blank_template.png,Project,Blank template visual,Learner project planning template,PRJ planning,"tree, photo, card",U010-P-Q05–Q07,4:3,1200x900,No text; blank spaces only,A blank family/friend tree poster template with empty card spaces.
AEW2_U010_IMG23,AEW2_U010_IMG23_repair_this_is_my.png,Repair,Repair visual,Repair common chunk error,AI-R chunk repair,This is my…,Repair-VOC-GRM,4:3,1200x900,Large correct phrase allowed: 'This is my ___.' Use a simple check mark.,Leo points to the correct sentence frame This is my blank.
AEW2_U010_IMG24,AEW2_U010_IMG24_portfolio_celebration.png,Portfolio,Portfolio/progress visual,End-of-unit success evidence,Portfolio evidence,family/friend poster,Progress section,16:9,1536x864,Short badge text allowed: 'I can show my poster!',The team celebrates their finished family/friend posters.
