section,likely_error,repair_hint,support_image_ids,retry_action,portfolio_link
Unit Opener,toy word or place word confusion,"Use the picture first. Say one toy word, then one place word.","IMG01, IMG02","look at the toy, point to place, use the short frame again",Toy Location Page preview
Lesson 1,toy word or place word confusion,Match picture to word again. Say only the toy word first.,"IMG03, IMG04","look at the toy, point to place, use the short frame again",Choose toy words for the project page
Lesson 2,toy word or place word confusion,"If the toy is inside, use in.","IMG05, IMG06","look at the toy, point to place, use the short frame again",Use one in sentence
Lesson 3,toy word or place word confusion,"If the toy is sitting on top, use on.","IMG07, IMG08","look at the toy, point to place, use the short frame again",Use one on sentence
Lesson 4,toy word or place word confusion,"If the toy is below something, use under.","IMG09, IMG10","look at the toy, point to place, use the short frame again",Use one under sentence
Lesson 5,toy word or place word confusion,Question: Where is the ___? Answer: It's ___ the ___.,"IMG11, IMG12","look at the toy, point to place, use the short frame again",Project Q&A practice
Lesson 6,toy word or place word confusion,"Look at the clue word first: in, on, or under.","IMG13, IMG14, IMG15","look at the toy, point to place, use the short frame again",Choose 3 location clues
Lesson 7,toy word or place word confusion,Use the same frame for each toy: Where is the ___? It's ___ the ___.,"IMG16, IMG17","look at the toy, point to place, use the short frame again",My Toy Location Page
Watch,toy word or place word confusion,"Watch again. Listen for in, on, or under.","IMG02, IMG05, IMG07, IMG09, IMG20","look at the toy, point to place, use the short frame again",Watch-to-project location practice
Final Project,toy word or place word confusion,Choose toy + choose place + say the location sentence.,"IMG17, IMG20","look at the toy, point to place, use the short frame again",Toy Location Page + short presentation
