id,section,type,prompt,choices,answer,audio_text,kp_tag,image_ref,repair_note
U4-L1-P01,L1,image_choice,Which action means Listen?,"['ear action', 'eye action', 'voice action']",ear action,,command_recognition,IMG003,Listen uses your ears.
U4-L1-P02,L1,image_choice,Which action means Look?,"['eye action', 'finger action', 'chair action']",eye action,,command_recognition,IMG003,Look uses your eyes.
U4-L1-P03,L1,image_choice,Which action means Say?,"['voice action', 'ear action', 'book action']",voice action,,command_recognition,IMG003,Say uses your voice.
U4-L1-P04,L1,audio_choice,Listen. Choose the command.,"['Listen.', 'Look.', 'Say.']",Listen.,Listen.,command_listening,IMG004,Replay the model and choose the command you hear.
U4-L1-P05,L1,audio_choice,Listen. Choose the command.,"['Say.', 'Listen.', 'Look.']",Look.,Look.,command_listening,IMG004,Replay the model and choose the command you hear.
U4-L1-P06,L1,audio_choice,Listen. Choose the command.,"['Look.', 'Say.', 'Listen.']",Say.,Say.,command_listening,IMG004,Replay the model and choose the command you hear.
U4-L1-P07,L1,meaning_choice,Use your ears.,"['Listen.', 'Look.', 'Say.']",Listen.,,meaning,IMG003,Ears show listen.
U4-L1-P08,L1,meaning_choice,Use your eyes.,"['Look.', 'Point.', 'Stop.']",Look.,,meaning,IMG003,Eyes show look.
U4-L1-P09,L1,meaning_choice,Use your voice.,"['Say.', 'Sit down.', 'Write.']",Say.,,meaning,IMG003,Voice shows say.
U4-L1-P10,L1,sequence_choice,Choose the model order.,"['Listen -> Look -> Say', 'Say -> Sit -> Write', 'Open -> Read -> Goodbye']",Listen -> Look -> Say,,sequence,IMG004,"The first lesson model is listen, look, say."
U4-L1-P11,L1,polite_choice,Make it polite.,"['Listen, please.', 'Listen book.', 'Please listen book.']","Listen, please.",,politeness,IMG004,Put please after the command.
U4-L1-P12,L1,project_link,Which command can start your action routine?,"['Listen, please.', 'I like animals.', 'My family is big.']","Listen, please.",,project_readiness,IMG004,Use only Unit 4 commands.
U4-L2-P01,L2,meaning_choice,Ear icon means...,"['Listen.', 'Look.', 'Point.']",Listen.,,command_recognition,IMG006,Ear means listen.
U4-L2-P02,L2,meaning_choice,Eyes icon means...,"['Look.', 'Say.', 'Sit down.']",Look.,,command_recognition,IMG006,Eyes mean look.
U4-L2-P03,L2,meaning_choice,Finger icon means...,"['Point.', 'Listen.', 'Write.']",Point.,,command_recognition,IMG006,Finger means point.
U4-L2-P04,L2,audio_choice,Listen and choose.,"['Point.', 'Look.', 'Listen.']",Point.,Point.,command_listening,IMG005,The word begins with /p/.
U4-L2-P05,L2,audio_choice,Listen and choose.,"['Listen.', 'Point.', 'Say.']",Listen.,Listen.,command_listening,IMG005,Listen uses your ears.
U4-L2-P06,L2,audio_choice,Listen and choose.,"['Look.', 'Write.', 'Stop.']",Look.,Look.,command_listening,IMG005,Look uses your eyes.
U4-L2-P07,L2,sequence_choice,Choose the trail order.,"['Listen -> Look -> Point', 'Point -> Sit -> Read', 'Look -> Write -> Stop']",Listen -> Look -> Point,,sequence,IMG007,"Follow the trail: listen, look, point."
U4-L2-P08,L2,action_choice,"Teacher says Point, please. What do you do?","['point to a card', 'close a book', 'sit on a chair']",point to a card,,action_response,IMG005,Point uses your finger.
U4-L2-P09,L2,repair_choice,You chose Look for an ear icon. Fix it.,"['Listen.', 'Look.', 'Point.']",Listen.,,repair,IMG008,Ear icon means listen.
U4-L2-P10,L2,polite_choice,Choose the polite command.,"['Point, please.', 'Point now you.', 'Please point book you.']","Point, please.",,politeness,IMG006,Use command plus please.
