course,unit,level,section,can_do,kp,practice_count,portfolio
Adventure English World V2,8,Pre-A1.2,Unit,I can name body parts and follow movement instructions.,body parts; Touch your …; my/your as fixed chunks,108,My Movement Chant
Adventure English World V2,8,Pre-A1.2,Lesson 1,"I can say head, hands, feet.",body parts; Touch your …; my/your as fixed chunks,12,Movement chant preparation
Adventure English World V2,8,Pre-A1.2,Lesson 2,I can name parts of the face.,body parts; Touch your …; my/your as fixed chunks,12,Movement chant preparation
Adventure English World V2,8,Pre-A1.2,Lesson 3,I can follow Touch your … and Point to your … commands.,body parts; Touch your …; my/your as fixed chunks,12,Movement chant preparation
Adventure English World V2,8,Pre-A1.2,Lesson 4,I can notice my and your in body-part chunks.,body parts; Touch your …; my/your as fixed chunks,12,Movement chant preparation
Adventure English World V2,8,Pre-A1.2,Lesson 5,I can do simple movement actions.,body parts; Touch your …; my/your as fixed chunks,12,Movement chant preparation
Adventure English World V2,8,Pre-A1.2,Lesson 6,I can listen and do a movement sequence.,body parts; Touch your …; my/your as fixed chunks,12,Movement chant preparation
Adventure English World V2,8,Pre-A1.2,Lesson 7,I can build a short movement chant.,body parts; Touch your …; my/your as fixed chunks,12,Movement chant preparation
Adventure English World V2,8,Pre-A1.2,Watch,I can understand a short movement story.,body commands in video context,12,Watch comprehension
Adventure English World V2,8,Pre-A1.2,Project,I can make and perform a movement chant.,project phrase bank and performance,12,My Movement Chant
