kp_category,strand,details
Allowed New KP,VOC,"snack/drink words: snack, drink, apple, banana, orange, sandwich, cookie, water, milk, juice"
Allowed New KP,CHK,"I want ..., please.; Here you are.; Thank you."
Allowed New KP,GRM,"a/an noticing as fixed chunks only: a banana, an apple, an orange, a sandwich, a cookie"
Allowed New KP,SI,short classroom snack helper role-play
Review KP,CHK,Hello.; simple greetings from Unit 1
Review KP,LST,listen and point / choose from earlier Pre-A1 units
Review KP,STR,"try again, copy the model, repeat with a friend"
Blocked KP,GRAMMAR,would like; Can I have ...?; some/any; quantities; complex grammar
Blocked KP,TOPIC,restaurant/café menus; prices/money; health advice; allergies; cooking
Blocked KP,OUTPUT,paragraph writing; long written project
