image_id,hotspots,notes
IMG001,none,No image hotspots in this unit.
IMG002,none,No image hotspots in this unit.
IMG003,none,No image hotspots in this unit.
IMG004,none,No image hotspots in this unit.
IMG005,none,No image hotspots in this unit.
IMG006,none,No image hotspots in this unit.
IMG007,none,No image hotspots in this unit.
IMG008,none,No image hotspots in this unit.
IMG009,none,No image hotspots in this unit.
IMG010,none,No image hotspots in this unit.
IMG011,none,No image hotspots in this unit.
IMG012,none,No image hotspots in this unit.
IMG013,none,No image hotspots in this unit.
IMG014,none,No image hotspots in this unit.
IMG015,none,No image hotspots in this unit.
IMG016,none,No image hotspots in this unit.
IMG017,none,No image hotspots in this unit.
IMG018,none,No image hotspots in this unit.
IMG019,none,No image hotspots in this unit.
IMG020,none,No image hotspots in this unit.
