lesson,activity_type,activity_name,kp,completion_rule,moodle_tool
Lesson 1: Color Discovery,Online activity,Page: Unit cover and color chart,EN-PREA1-U02-L01-KP001 Recognize five basic color words; EN-PREA1-U02-L01-KP002 Say color words with visual support; EN-PREA1-U02-L01-KP003 Point to a color when hearing the word,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 1: Color Discovery,Online activity,Quiz: Listen and choose the color,EN-PREA1-U02-L01-KP001 Recognize five basic color words; EN-PREA1-U02-L01-KP002 Say color words with visual support; EN-PREA1-U02-L01-KP003 Point to a color when hearing the word,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 1: Color Discovery,Online activity,H5P-style: tap the matching color,EN-PREA1-U02-L01-KP001 Recognize five basic color words; EN-PREA1-U02-L01-KP002 Say color words with visual support; EN-PREA1-U02-L01-KP003 Point to a color when hearing the word,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 1: Color Discovery,Online activity,Completion: view lesson + 70% quiz + speaking attempt,EN-PREA1-U02-L01-KP001 Recognize five basic color words; EN-PREA1-U02-L01-KP002 Say color words with visual support; EN-PREA1-U02-L01-KP003 Point to a color when hearing the word,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 2: Color Worlds,Online activity,Quiz: Choose the correct color word,"EN-PREA1-U02-L02-KP001 Understand color-object association; EN-PREA1-U02-L02-KP002 Produce short phrase: It is / It's + color; EN-PREA1-U02-L02-KP003 Identify red, blue, yellow, green, purple in picture scenes",View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 2: Color Worlds,Online activity,True/False: The apple is red,"EN-PREA1-U02-L02-KP001 Understand color-object association; EN-PREA1-U02-L02-KP002 Produce short phrase: It is / It's + color; EN-PREA1-U02-L02-KP003 Identify red, blue, yellow, green, purple in picture scenes",View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 2: Color Worlds,Online activity,Fill blank: It's ____,"EN-PREA1-U02-L02-KP001 Understand color-object association; EN-PREA1-U02-L02-KP002 Produce short phrase: It is / It's + color; EN-PREA1-U02-L02-KP003 Identify red, blue, yellow, green, purple in picture scenes",View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 2: Color Worlds,Online activity,Completion: 70% and one oral sentence,"EN-PREA1-U02-L02-KP001 Understand color-object association; EN-PREA1-U02-L02-KP002 Produce short phrase: It is / It's + color; EN-PREA1-U02-L02-KP003 Identify red, blue, yellow, green, purple in picture scenes",View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 3: Find the Colors,Online activity,H5P-style: drag object to color,EN-PREA1-U02-L03-KP001 Understand action instructions: find / point to / match; EN-PREA1-U02-L03-KP002 Match color words to objects; EN-PREA1-U02-L03-KP003 Identify color in a complex picture,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 3: Find the Colors,Online activity,Quiz: click correct object,EN-PREA1-U02-L03-KP001 Understand action instructions: find / point to / match; EN-PREA1-U02-L03-KP002 Match color words to objects; EN-PREA1-U02-L03-KP003 Identify color in a complex picture,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 3: Find the Colors,Online activity,Ordering/matching activity,EN-PREA1-U02-L03-KP001 Understand action instructions: find / point to / match; EN-PREA1-U02-L03-KP002 Match color words to objects; EN-PREA1-U02-L03-KP003 Identify color in a complex picture,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 3: Find the Colors,Online activity,Completion: correct 4 of 5 match items,EN-PREA1-U02-L03-KP001 Understand action instructions: find / point to / match; EN-PREA1-U02-L03-KP002 Match color words to objects; EN-PREA1-U02-L03-KP003 Identify color in a complex picture,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 4: Color Song and Games,Online activity,Interactive video/song page,EN-PREA1-U02-L04-KP001 Say colors rhythmically in a chant; EN-PREA1-U02-L04-KP002 Use color words in a game context; EN-PREA1-U02-L04-KP003 Build confidence through repetition and movement,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 4: Color Song and Games,Online activity,Quiz: color train choice,EN-PREA1-U02-L04-KP001 Say colors rhythmically in a chant; EN-PREA1-U02-L04-KP002 Use color words in a game context; EN-PREA1-U02-L04-KP003 Build confidence through repetition and movement,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 4: Color Song and Games,Online activity,Toto game: choose answer,EN-PREA1-U02-L04-KP001 Say colors rhythmically in a chant; EN-PREA1-U02-L04-KP002 Use color words in a game context; EN-PREA1-U02-L04-KP003 Build confidence through repetition and movement,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 4: Color Song and Games,Online activity,Speaking: record 3 colors,EN-PREA1-U02-L04-KP001 Say colors rhythmically in a chant; EN-PREA1-U02-L04-KP002 Use color words in a game context; EN-PREA1-U02-L04-KP003 Build confidence through repetition and movement,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 5: Color Badge Mission,Online activity,Final quiz: 10 questions,EN-PREA1-U02-L05-KP001 Review and integrate five colors; EN-PREA1-U02-L05-KP002 Sort objects by color; EN-PREA1-U02-L05-KP003 Complete a simple color self-check,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 5: Color Badge Mission,Online activity,Drag/sort basket activity,EN-PREA1-U02-L05-KP001 Review and integrate five colors; EN-PREA1-U02-L05-KP002 Sort objects by color; EN-PREA1-U02-L05-KP003 Complete a simple color self-check,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 5: Color Badge Mission,Online activity,Speaking assignment: say 5 colors,EN-PREA1-U02-L05-KP001 Review and integrate five colors; EN-PREA1-U02-L05-KP002 Sort objects by color; EN-PREA1-U02-L05-KP003 Complete a simple color self-check,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
Lesson 5: Color Badge Mission,Online activity,Completion: score 70% + submit speaking,EN-PREA1-U02-L05-KP001 Review and integrate five colors; EN-PREA1-U02-L05-KP002 Sort objects by color; EN-PREA1-U02-L05-KP003 Complete a simple color self-check,View + attempt + 70% where scored,Page / Quiz / H5P-style / Assignment
