questionname,questiontext,A,B,C,D,correctanswer,cefr,skill,difficulty
"prea1-g01","Choose the correct sentence.","I am Maria.","I are Maria.","I be Maria.","I is Maria.","I am Maria.","Pre-A1","grammar","0.12"
"prea1-g02","Complete: This ___ my book.","is","are","am","be","is","Pre-A1","grammar","0.13"
"prea1-g03","Choose the plural form of 'bag'.","bags","bages","bagies","bag","bags","Pre-A1","grammar","0.14"
"prea1-v01","Which word is a color?","blue","table","run","seven","blue","Pre-A1","vocabulary","0.1"
"prea1-v02","Which word means a person in your family?","mother","window","pencil","city","mother","Pre-A1","vocabulary","0.12"
"prea1-v03","Choose the number.","three","green","school","small","three","Pre-A1","vocabulary","0.11"
"prea1-r01","Read: 'Tom has a red pen.' What color is the pen?","red","blue","black","green","red","Pre-A1","reading","0.15"
"prea1-r02","Read: 'Anna is at school.' Where is Anna?","at school","at home","in a shop","on a bus","at school","Pre-A1","reading","0.16"
"prea1-l01","Listening: You hear 'Good morning.' Choose the best reply.","Good morning.","I am twelve.","It is blue.","Two books.","Good morning.","Pre-A1","listening","0.16"
"prea1-l02","Listening: You hear 'Open your book.' What should you open?","your book","the door","a window","your bag","your book","Pre-A1","listening","0.18"
"a1-g01","Complete: She ___ coffee every morning.","drinks","drink","drinking","is drink","drinks","A1","grammar","0.22"
"a1-g02","Choose the correct question.","Where do you live?","Where you live?","Where does you live?","Where are live?","Where do you live?","A1","grammar","0.24"
"a1-g03","Complete: There ___ two chairs in the room.","are","is","am","be","are","A1","grammar","0.23"
"a1-v01","Which word is food?","rice","train","jacket","street","rice","A1","vocabulary","0.2"
"a1-v02","A 'doctor' works in a ___.","hospital","library","bank","station","hospital","A1","vocabulary","0.24"
"a1-v03","Choose the opposite of 'hot'.","cold","late","big","fast","cold","A1","vocabulary","0.21"
"a1-r01","Read: 'The train leaves at six.' When does it leave?","at six","at seven","in the morning","tomorrow","at six","A1","reading","0.26"
"a1-r02","Read: 'Mina wants a ticket to Beijing.' What does Mina want?","a ticket","a hotel","a meal","a map","a ticket","A1","reading","0.28"
"a1-l01","Listening: You hear a price: 'ten dollars.' Choose the price.","$10","$2","$12","$20","$10","A1","listening","0.25"
"a1-l02","Listening: You hear 'Turn left at the bank.' Where do you turn?","at the bank","at the school","at the cafe","at the station","at the bank","A1","listening","0.29"
"a2-g01","Complete: I ___ to the cinema last night.","went","go","gone","am going","went","A2","grammar","0.38"
"a2-g02","Choose the correct sentence.","She is taller than me.","She is more tall than me.","She taller than me.","She is tallest than me.","She is taller than me.","A2","grammar","0.42"
"a2-g03","Complete: We have lived here ___ 2020.","since","for","during","from","since","A2","grammar","0.45"
"a2-v01","Which phrase means 'reserve a room'?","book a room","take a room","hold a room","make a room","book a room","A2","vocabulary","0.36"
"a2-v02","Choose the word for a short trip for pleasure.","excursion","invoice","appointment","receipt","excursion","A2","vocabulary","0.43"
"a2-v03","A person who serves food in a restaurant is a ___.","waiter","pilot","mechanic","designer","waiter","A2","vocabulary","0.35"
"a2-r01","Read: 'The museum is closed on Mondays except public holidays.' When is it usually closed?","Mondays","Saturdays","public holidays","every day","Mondays","A2","reading","0.44"
"a2-r02","Read: 'Please arrive 15 minutes before departure.' What should passengers do?","arrive early","leave late","buy online","change seats","arrive early","A2","reading","0.4"
"a2-l01","Listening: A guest asks for a room with a sea view. What does the guest want?","a sea view","breakfast only","a city tour","late checkout","a sea view","A2","listening","0.41"
"a2-l02","Listening: A speaker says the meeting was moved to Friday. When is the meeting?","Friday","Monday","Wednesday","Sunday","Friday","A2","listening","0.46"
"b1-g01","Complete: If I ___ enough time, I would learn another language.","had","have","will have","having","had","B1","grammar","0.56"
"b1-g02","Choose the best form: The report ___ by Anna yesterday.","was written","wrote","has written","was writing","was written","B1","grammar","0.58"
"b1-g03","Complete: He asked me where I ___.","lived","live","am living","will live","lived","B1","grammar","0.6"
"b1-v01","Choose the closest meaning of 'reliable'.","dependable","expensive","temporary","confused","dependable","B1","vocabulary","0.54"
"b1-v02","Which word fits: The company plans to ___ its services next year.","expand","borrow","avoid","repair","expand","B1","vocabulary","0.57"
"b1-v03","Choose the noun related to 'decide'.","decision","decisive","deciding","decided","decision","B1","vocabulary","0.55"
"b1-r01","Read: 'Although the app is free, some advanced lessons require payment.' What is true?","Some lessons cost money.","All lessons are free.","The app cannot be used.","Payment is required first.","Some lessons cost money.","B1","reading","0.59"
"b1-r02","Read: 'Participants who register before Friday receive a discount.' Who gets a discount?","early registrants","all participants","late registrants","staff only","early registrants","B1","reading","0.61"
"b1-l01","Listening: A speaker says the first plan was cancelled because of rain. Why was it cancelled?","because of rain","because of cost","because of traffic","because of illness","because of rain","B1","listening","0.57"
"b1-l02","Listening: A customer accepts the second appointment option. Which option is accepted?","the second option","the first option","no option","the last week","the second option","B1","listening","0.62"
"b2-g01","Complete: Had I known about the delay, I ___ earlier.","would have left","will leave","would leave","left","would have left","B2","grammar","0.72"
"b2-g02","Choose the correct reduced clause.","Concerned by the results, the team revised the plan.","Concerning by the results, the team revised the plan.","The team concerned by revising the plan.","Concerned the results, revised the team plan.","Concerned by the results, the team revised the plan.","B2","grammar","0.75"
"b2-g03","Complete: The policy is expected ___ next month.","to be implemented","implementing","implemented","to implement","to be implemented","B2","grammar","0.74"
"b2-v01","Choose the closest meaning of 'substantial'.","considerable","minor","uncertain","ordinary","considerable","B2","vocabulary","0.7"
"b2-v02","Which phrase best fits: The evidence ___ the original claim.","undermines","decorates","translates","measures","undermines","B2","vocabulary","0.73"
"b2-v03","Choose the best collocation.","pose a challenge","make a challenge","do a challenge","hold a challenge","pose a challenge","B2","vocabulary","0.69"
"b2-r01","Read: 'The author concedes that remote work improves flexibility, yet argues it may weaken informal mentoring.' What is the author's position?","balanced but cautious","completely negative","only enthusiastic","unrelated to work","balanced but cautious","B2","reading","0.76"
"b2-r02","Read: 'The proposal is feasible provided that funding is secured.' What condition is necessary?","funding must be secured","staff must be replaced","the proposal must be rejected","no condition is stated","funding must be secured","B2","reading","0.71"
"b2-l01","Listening: A lecturer contrasts short-term savings with long-term maintenance costs. What contrast is made?","initial savings versus later costs","staff numbers versus salaries","old users versus new users","speed versus distance","initial savings versus later costs","B2","listening","0.74"
"b2-l02","Listening: A manager says the launch is viable, assuming legal review ends this week. What must happen?","legal review must finish","the launch must be cancelled","prices must be lowered","users must be surveyed","legal review must finish","B2","listening","0.77"
"c1-g01","Complete: Rarely ___ such a clear explanation of the issue.","have I heard","I have heard","I heard","have heard I","have I heard","C1","grammar","0.86"
"c1-g02","Choose the most natural sentence.","The findings, though preliminary, warrant further investigation.","The findings although preliminary warrant to investigate more.","Preliminary though findings warrant investigation further.","The findings warrant further investigating though preliminary.","The findings, though preliminary, warrant further investigation.","C1","grammar","0.88"
"c1-g03","Complete: The committee insisted that the data ___ independently verified.","be","is","was","has been","be","C1","grammar","0.9"
"c1-v01","Choose the closest meaning of 'nuanced'.","showing subtle differences","clearly false","strongly emotional","recently invented","showing subtle differences","C1","vocabulary","0.84"
"c1-v02","Which word best completes: The report offers a ___ critique of the policy.","thorough","wide","tall","loud","thorough","C1","vocabulary","0.83"
"c1-v03","Choose the closest meaning of 'to mitigate'.","to reduce the severity of","to copy exactly","to announce publicly","to postpone forever","to reduce the severity of","C1","vocabulary","0.85"
"c1-r01","Read: 'The article's apparent neutrality masks a sustained preference for market-led reforms.' What does the sentence imply?","The article is biased beneath neutral language.","The article rejects all reforms.","The article has no clear topic.","The market is not mentioned.","The article is biased beneath neutral language.","C1","reading","0.9"
"c1-r02","Read: 'The hypothesis remains compelling, not because the evidence is conclusive, but because rival explanations are weaker.' Why is it compelling?","Alternatives are less convincing.","Evidence is final.","It is popular.","It is simple.","Alternatives are less convincing.","C1","reading","0.89"
"c1-l01","Listening: A speaker qualifies her support by noting unresolved ethical concerns. What is her stance?","supportive with reservations","strongly opposed","unaware of the issue","purely technical","supportive with reservations","C1","listening","0.87"
