category,item,level,section_link,notes
greetings_names,hello,active review,Lesson 1,
greetings_names,hi,active review,Lesson 1,
greetings_names,goodbye,active review,Lesson 1,
greetings_names,I’m Leo,active review,Lesson 1,
greetings_names,I’m Mia,active review,Lesson 1,
greetings_names,I’m Emma,active review,Lesson 1,
greetings_names,Toto,active review,Lesson 1,
colors,red,active review,Lesson 2,
colors,blue,active review,Lesson 2,
colors,yellow,active review,Lesson 2,
colors,green,active review,Lesson 2,
colors,orange,active review,Lesson 2,
colors,purple,active review,Lesson 2,
colors,pink,active review,Lesson 2,
colors,black,active review,Lesson 2,
colors,white,active review,Lesson 2,
colors,It’s red.,active review,Lesson 2,
colors,It’s blue.,active review,Lesson 2,
numbers,zero,active review,Lesson 3,
numbers,one,active review,Lesson 3,
numbers,two,active review,Lesson 3,
numbers,three,active review,Lesson 3,
numbers,four,active review,Lesson 3,
numbers,five,active review,Lesson 3,
numbers,six,active review,Lesson 3,
numbers,seven,active review,Lesson 3,
numbers,eight,active review,Lesson 3,
numbers,nine,active review,Lesson 3,
numbers,ten,active review,Lesson 3,
numbers,eleven,active review,Lesson 3,
numbers,twelve,active review,Lesson 3,
numbers,thirteen,active review,Lesson 3,
numbers,fourteen,active review,Lesson 3,
numbers,fifteen,active review,Lesson 3,
numbers,sixteen,active review,Lesson 3,
numbers,seventeen,active review,Lesson 3,
numbers,eighteen,active review,Lesson 3,
numbers,nineteen,active review,Lesson 3,
numbers,twenty,active review,Lesson 3,
numbers,How many?,active review,Lesson 3,
classroom_actions,listen,active review,Lesson 4,
classroom_actions,look,active review,Lesson 4,
classroom_actions,point,active review,Lesson 4,
classroom_actions,draw,active review,Lesson 4,
classroom_actions,open,active review,Lesson 4,
classroom_actions,close,active review,Lesson 4,
classroom_actions,say,active review,Lesson 4,
classroom_actions,stand up,active review,Lesson 4,
classroom_actions,sit down,active review,Lesson 4,
animals_likes,cat,active review,Lesson 5,
animals_likes,dog,active review,Lesson 5,
animals_likes,bird,active review,Lesson 5,
animals_likes,fish,active review,Lesson 5,
animals_likes,frog,active review,Lesson 5,
animals_likes,turtle,active review,Lesson 5,
animals_likes,It’s a cat.,active review,Lesson 5,
animals_likes,I like cats.,active review,Lesson 5,
animals_likes,I don’t like frogs.,active review,Lesson 5,
mission_support,mission,receptive,Unit story / Lesson 6 / Project,Do not test as required productive vocabulary.
mission_support,clue,receptive,Unit story / Lesson 6 / Project,Do not test as required productive vocabulary.
mission_support,badge,receptive,Unit story / Lesson 6 / Project,Do not test as required productive vocabulary.
mission_support,card,receptive,Unit story / Lesson 6 / Project,Do not test as required productive vocabulary.
mission_support,team,receptive,Unit story / Lesson 6 / Project,Do not test as required productive vocabulary.
mission_support,choose,receptive,Unit story / Lesson 6 / Project,Do not test as required productive vocabulary.
project_phrases,Hello. I’m ___.,productive chunk,Lesson 7 / Project,
project_phrases,It’s ___.,productive chunk,Lesson 7 / Project,
project_phrases,I see ___.,productive chunk,Lesson 7 / Project,
project_phrases,I like ___.,productive chunk,Lesson 7 / Project,
project_phrases,Goodbye.,productive chunk,Lesson 7 / Project,
repair_language,Try again.,repair,Repair path,
repair_language,Look again.,repair,Repair path,
repair_language,Listen again.,repair,Repair path,
repair_language,Point and say.,repair,Repair path,
repair_language,One more time.,repair,Repair path,
