Image ID,Image Type,Lesson Link,CEFR/KP Link,Lexical Link,Quiz Link,Skill Link,Characters,Setting,Clothing Rule,Negative Prompt,Text in Image,Aspect Ratio,Display Width,Expandable,Accessibility Note
AEW2_U009_IMG01,cover,Cover / Unit opener,Unit identity; snack words; polite choice,"apple, banana, orange, sandwich, cookie, water, milk, juice",Unit opener,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",Title only: Unit 9 Snack Time,16:9,90-100%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG02,unit story anchor,Unit Story / Opening situation,Unit story; polite snack choices,"snack, drink, choose, apple, banana, juice, water",Unit story support,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,80-90%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG03,lesson anchor,Lesson 1 / Snack Words,Snack vocabulary,"apple, banana, orange, sandwich, cookie, cake, bread",AEW2-U009-L1-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG04,vocabulary visual,Lesson 1 / Snack Words,Snack vocabulary support,"apple, banana, orange, sandwich, cookie, cake, bread",AEW2-U009-L1-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,4:3,50-75%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG05,lesson anchor,Lesson 2 / I Want...,I want ... chunk; snack choice,"I want, apple, please",AEW2-U009-L2-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG06,choice visual,Lesson 2 / I Want...,Snack choice; I want ...,"apple, banana, orange, sandwich, cookie",AEW2-U009-L2-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,4:3,60-75%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG07,lesson anchor,Lesson 3 / Please,Polite asking; please,"I want, please, snack",AEW2-U009-L3-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG08,role-play scene,Lesson 3 / Please,"I want ..., please; helper role","snack helper, apple, banana, water, juice",AEW2-U009-L3-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG09,lesson anchor,Lesson 4 / A / An Noticing,a/an fixed chunk noticing,"a banana, an apple, an orange",AEW2-U009-L4-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,16:9,70-85%,yes except cover,Important language repeated in HTML lesson content.
AEW2_U009_IMG10,noticing visual,Lesson 4 / A / An Noticing,a/an fixed chunk noticing,"apple, orange, banana, sandwich, cookie",AEW2-U009-L4-Q01–Q12,vocabulary / listening / speaking prep,Leo; Mia; Emma; Toto as relevant,classroom snack space,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no flags, no brand logos, no unsafe eating, no choking scene, no messy or unhygienic food, no nuts, no restaurant/cafe menu, no money or prices, no health advice, no allergies, no cooking instructions, no readable text except cover title when specified, no collage, no grid, no contact sheet, no storyboard, no multi-panel worksheet.",No readable text,4:3,60-75%,yes except cover,Important language repeated in HTML lesson content.
