image_id,intended_filename,source_file,copy_status
AEW2_U011_IMG01,AEW2_U011_IMG01_cover_weather_window.png,weather_window_fun_classroom_scene.png,replaced_after_gate_repair
AEW2_U011_IMG02,AEW2_U011_IMG02_unit_story_weather_window_scene.png,a_warm_brightly_lit_3d_cgi_style_classroom_scene.png,copied
AEW2_U011_IMG03,AEW2_U011_IMG03_lesson1_meet_the_weather.png,a_bright_colorful_3d_cgi_children_s_illustration.png,copied
AEW2_U011_IMG04,AEW2_U011_IMG04_lesson1_weather_visual.png,a_bright_colorful_interior_scene_looking_at_a_lar.png,copied
AEW2_U011_IMG05,AEW2_U011_IMG05_lesson2_its_sunny_rainy_scene.png,a_bright_colorful_3d_cgi_style_indoor_classroom_s.png,copied
AEW2_U011_IMG06,AEW2_U011_IMG06_lesson2_sunny_rainy_choice_visual.png,wide_brightly_lit_illustrated_3d_rendered_scene_l.png,copied
AEW2_U011_IMG07,AEW2_U011_IMG07_lesson3_its_windy_cloudy_scene.png,wide_bright_colorful_3d_cgi_illustration_of_a_cl.png,copied
AEW2_U011_IMG08,AEW2_U011_IMG08_lesson3_weather_window_visual.png,a_bright_tidy_classroom_children_s_room_interior.png,copied
AEW2_U011_IMG09,AEW2_U011_IMG09_lesson4_clothes_words_scene.png,a_bright_colorful_3d_stylized_cartoon_classroom.png,regenerated_after_gate_repair
AEW2_U011_IMG10,AEW2_U011_IMG10_lesson4_clothes_choice_visual.png,a_bright_warm_indoor_classroom_kids_room_scene_wi.png,copied
AEW2_U011_IMG11,AEW2_U011_IMG11_lesson5_choose_clothes_scene.png,a_bright_colorful_3d_cgi_style_children_s_room_s.png,copied
AEW2_U011_IMG12,AEW2_U011_IMG12_lesson5_weather_clothes_choice_scene.png,a_bright_cozy_children_s_room_interior_scene_ove.png,copied
AEW2_U011_IMG13,AEW2_U011_IMG13_lesson6_help_a_friend_scene.png,a_warm_brightly_lit_classroom_or_cozy_playroom_sc.png,copied
AEW2_U011_IMG14,AEW2_U011_IMG14_lesson6_dress_the_friend_visual.png,a_bright_colorful_3d_cgi_style_children_s_illust.png,copied
AEW2_U011_IMG15,AEW2_U011_IMG15_lesson6_weather_review_scene.png,a_bright_colorful_cartoon_3d_rendered_classroom_s.png,copied
AEW2_U011_IMG16,AEW2_U011_IMG16_lesson7_project_rehearsal_scene.png,a_bright_colorful_3d_animated_classroom_craft_roo.png,copied
AEW2_U011_IMG17,AEW2_U011_IMG17_lesson7_project_model_weather_choice_card.png,a_bright_warmly_lit_classroom_scene_a_3d_cgi_ani.png,copied
AEW2_U011_IMG18,AEW2_U011_IMG18_repair_weather_visual.png,a_clean_colorful_cartoon_3d_illustration_style_i.png,copied
AEW2_U011_IMG19,AEW2_U011_IMG19_repair_clothes_choice_visual.png,a_brightly_colored_cartoon_illustration_style_inf.png,copied
AEW2_U011_IMG20,AEW2_U011_IMG20_project_sharing_scene.png,a_bright_colorful_3d_cgi_classroom_scene_overall.png,copied
