unit,section,cefr_band,can_do_goal,kp_target,practice_items,watch_link,project_link,repair_link
6,Unit,Pre-A1.1,I can use early words and phrases in a picture mission.,"review greetings, colors, numbers, classroom actions, animals",,Watch,Final Project,U006-Repair-Unit
6,L1,Pre-A1.1,I can say hello and say my name.,category recognition; greeting chunk; greetings; names; phrase order; spoken interaction,"U006-L1-Q01, U006-L1-Q02, U006-L1-Q03, U006-L1-Q04, U006-L1-Q05, U006-L1-Q06, U006-L1-Q07, U006-L1-Q08, U006-L1-Q09, U006-L1-Q10, U006-L1-Q11, U006-L1-Q12",,,U006-Repair-L1
6,L2,Pre-A1.1,I can say color words in a clue.,It’s + color; color-object match; colors; repair It’s + color,"U006-L2-Q01, U006-L2-Q02, U006-L2-Q03, U006-L2-Q04, U006-L2-Q05, U006-L2-Q06, U006-L2-Q07, U006-L2-Q08, U006-L2-Q09, U006-L2-Q10, U006-L2-Q11, U006-L2-Q12",,,U006-Repair-L2
6,L3,Pre-A1.1,I can count and answer How many?,How many?; number sequence; numbers / How many,"U006-L3-Q01, U006-L3-Q02, U006-L3-Q03, U006-L3-Q04, U006-L3-Q05, U006-L3-Q06, U006-L3-Q07, U006-L3-Q08, U006-L3-Q09, U006-L3-Q10, U006-L3-Q11, U006-L3-Q12",,,U006-Repair-L3
6,L4,Pre-A1.1,I can understand and say classroom actions.,action sequence; category recognition; classroom actions,"U006-L4-Q01, U006-L4-Q02, U006-L4-Q03, U006-L4-Q04, U006-L4-Q05, U006-L4-Q06, U006-L4-Q07, U006-L4-Q08, U006-L4-Q09, U006-L4-Q10, U006-L4-Q11, U006-L4-Q12",,,U006-Repair-L4
6,L5,Pre-A1.1,I can name animals and say what I like.,I don’t like + animals; I like + animals; It’s a + animal; animal words; category recognition; like icon,"U006-L5-Q01, U006-L5-Q02, U006-L5-Q03, U006-L5-Q04, U006-L5-Q05, U006-L5-Q06, U006-L5-Q07, U006-L5-Q08, U006-L5-Q09, U006-L5-Q10, U006-L5-Q11, U006-L5-Q12",,,U006-Repair-L5
6,L6,Pre-A1.1,I can use five review clues together.,action review; animal review; category review; color review; greeting chunk; like review; mixed sequence; number review,"U006-L6-Q01, U006-L6-Q02, U006-L6-Q03, U006-L6-Q04, U006-L6-Q05, U006-L6-Q06, U006-L6-Q07, U006-L6-Q08, U006-L6-Q09, U006-L6-Q10, U006-L6-Q11, U006-L6-Q12",,,U006-Repair-L6
6,L7,Pre-A1.1,I can make and say my mini picture mission.,action review; like phrase; project animal; project color; project number; project object; project phrase; project readiness; project sequence; self-check,"U006-L7-Q01, U006-L7-Q02, U006-L7-Q03, U006-L7-Q04, U006-L7-Q05, U006-L7-Q06, U006-L7-Q07, U006-L7-Q08, U006-L7-Q09, U006-L7-Q10, U006-L7-Q11, U006-L7-Q12",,Final Project,U006-Repair-L7
6,W,Pre-A1.1,I can understand a short review video.,watch action; watch animal; watch characters; watch color; watch comprehension; watch detail; watch main idea; watch number; watch project link; watch sequence,"U006-W-Q01, U006-W-Q02, U006-W-Q03, U006-W-Q04, U006-W-Q05, U006-W-Q06, U006-W-Q07, U006-W-Q08, U006-W-Q09, U006-W-Q10, U006-W-Q11, U006-W-Q12",Watch,,U006-Repair-W
6,P,Pre-A1.1,I can complete my mini picture mission card.,portfolio evidence; project action; project animal; project closing; project color; project greeting; project name; project number; project requirements; project title; repair strategy; self-assessment,"U006-P-Q01, U006-P-Q02, U006-P-Q03, U006-P-Q04, U006-P-Q05, U006-P-Q06, U006-P-Q07, U006-P-Q08, U006-P-Q09, U006-P-Q10, U006-P-Q11, U006-P-Q12",,Final Project,U006-Repair-P
