image_no,hotspots,note
1,0,No hotspots; enlargement modal only.
2,0,No hotspots; enlargement modal only.
3,0,No hotspots; enlargement modal only.
4,0,No hotspots; enlargement modal only.
5,0,No hotspots; enlargement modal only.
6,0,No hotspots; enlargement modal only.
7,0,No hotspots; enlargement modal only.
8,0,No hotspots; enlargement modal only.
9,0,No hotspots; enlargement modal only.
10,0,No hotspots; enlargement modal only.
11,0,No hotspots; enlargement modal only.
12,0,No hotspots; enlargement modal only.
13,0,No hotspots; enlargement modal only.
14,0,No hotspots; enlargement modal only.
15,0,No hotspots; enlargement modal only.
16,0,No hotspots; enlargement modal only.
17,0,No hotspots; enlargement modal only.
18,0,No hotspots; enlargement modal only.
19,0,No hotspots; enlargement modal only.
20,0,No hotspots; enlargement modal only.
