id,course,unit,section,lesson,type,difficulty,cefr_band,kp_target,lexical_target,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect,repair_link
U006-L1-Q01,Adventure English World V2,6,L1,Hello Gate,multiple_choice,easy,Pre-A1.1,greetings,hello,Leo waves at the gate. What can he say?,Hello.,Red.,Cat.,Five.,Hello.,Correct. Hello is a greeting.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q02,Adventure English World V2,6,L1,Hello Gate,multiple_choice,easy,Pre-A1.1,greetings,goodbye,The team leaves the gate. What can they say?,Goodbye.,Yellow.,Dog.,Open.,Goodbye.,Correct. Goodbye is a leaving word.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q03,Adventure English World V2,6,L1,Hello Gate,multiple_choice,easy,Pre-A1.1,names,Leo,Which name matches the boy with glasses?,Leo,Mia,Emma,Toto,Leo,Correct.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q04,Adventure English World V2,6,L1,Hello Gate,multiple_choice,easy,Pre-A1.1,names,Mia,Which name matches the girl in yellow?,Mia,Leo,Emma,Toto,Mia,Correct.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q05,Adventure English World V2,6,L1,Hello Gate,multiple_choice,easy,Pre-A1.1,names,Emma,Which name matches the girl in purple?,Emma,Mia,Leo,Toto,Emma,Correct.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q06,Adventure English World V2,6,L1,Hello Gate,gap_fill,medium,Pre-A1.1,greeting chunk,I’m,Complete: Hello. ___ Leo.,,,,,I’m,Correct. The model is “I’m Leo.”,Try again. Say: I’m Leo.,U006-Repair-L1
U006-L1-Q07,Adventure English World V2,6,L1,Hello Gate,multiple_choice,medium,Pre-A1.1,phrase order,Hello. I’m Mia.,Choose the good line.,Hello. I’m Mia.,Mia I’m hello.,Red Mia hello.,Goodbye I’m.,Hello. I’m Mia.,Correct. This is the model order.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q08,Adventure English World V2,6,L1,Hello Gate,true_false,easy,Pre-A1.1,greetings,goodbye,Goodbye is a leaving word.,True,False,,,True,Correct.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q09,Adventure English World V2,6,L1,Hello Gate,multiple_choice,easy,Pre-A1.1,spoken interaction,Hello,A friend says “Hello!” Choose a good reply.,Hello!,Six.,Frog.,Draw.,Hello!,Correct.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q10,Adventure English World V2,6,L1,Hello Gate,multiple_choice,easy,Pre-A1.1,names,Toto,Which name matches the small brown-and-white dog?,Toto,Leo,Mia,Emma,Toto,Correct.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q11,Adventure English World V2,6,L1,Hello Gate,multiple_choice,medium,Pre-A1.1,category recognition,greeting,Which word is a greeting?,Hello,Blue,Seven,Fish,Hello,Correct.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L1-Q12,Adventure English World V2,6,L1,Hello Gate,multiple_choice,medium,Pre-A1.1,greeting chunk,Goodbye.,Choose the last line for Lesson 1.,Goodbye.,It’s red.,How many?,Point.,Goodbye.,Correct.,Try again. Look at the picture and model line.,U006-Repair-L1
U006-L2-Q01,Adventure English World V2,6,L2,Color Clue,multiple_choice,easy,Pre-A1.1,colors,red,Look at the red pencil. What color is it?,red,dog,five,listen,red,Correct. It is red.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q02,Adventure English World V2,6,L2,Color Clue,multiple_choice,easy,Pre-A1.1,colors,blue,Look at the blue book. What color is it?,blue,dog,five,listen,blue,Correct. It is blue.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q03,Adventure English World V2,6,L2,Color Clue,multiple_choice,easy,Pre-A1.1,colors,yellow,Look at the yellow bag. What color is it?,yellow,dog,five,listen,yellow,Correct. It is yellow.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q04,Adventure English World V2,6,L2,Color Clue,multiple_choice,easy,Pre-A1.1,colors,green,Look at the green crayon. What color is it?,green,dog,five,listen,green,Correct. It is green.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q05,Adventure English World V2,6,L2,Color Clue,multiple_choice,easy,Pre-A1.1,colors,orange,Look at the orange ball. What color is it?,orange,dog,five,listen,orange,Correct. It is orange.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q06,Adventure English World V2,6,L2,Color Clue,multiple_choice,easy,Pre-A1.1,colors,purple,Look at the purple notebook. What color is it?,purple,dog,five,listen,purple,Correct. It is purple.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q07,Adventure English World V2,6,L2,Color Clue,multiple_choice,easy,Pre-A1.1,colors,pink,Look at the pink star. What color is it?,pink,dog,five,listen,pink,Correct. It is pink.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q08,Adventure English World V2,6,L2,Color Clue,multiple_choice,easy,Pre-A1.1,colors,black,Look at the black marker. What color is it?,black,dog,five,listen,black,Correct. It is black.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q09,Adventure English World V2,6,L2,Color Clue,multiple_choice,easy,Pre-A1.1,colors,white,Look at the white card. What color is it?,white,dog,five,listen,white,Correct. It is white.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q10,Adventure English World V2,6,L2,Color Clue,multiple_choice,medium,Pre-A1.1,It’s + color,It’s red.,Choose the good color sentence.,It’s red.,Red it.,I’m red.,How red?,It’s red.,Correct. The chunk is “It’s red.”,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q11,Adventure English World V2,6,L2,Color Clue,matching,medium,Pre-A1.1,color-object match,red pencil; blue book; yellow bag,Match the color clue to the object.,red → pencil,blue → book,yellow → bag,All matches correct,All matches correct,Correct. The color clues match the picture objects.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L2-Q12,Adventure English World V2,6,L2,Color Clue,multiple_choice,medium,Pre-A1.1,repair It’s + color,It’s green.,Fix the line: “Green.”,It’s green.,I’m green.,How many green?,Green dog.,It’s green.,Correct. Use “It’s” with a color.,Try again. Look at the picture and model line.,U006-Repair-L2
U006-L3-Q01,Adventure English World V2,6,L3,Number Bridge,multiple_choice,easy,Pre-A1.1,numbers / How many,one,How many? Count the dog.,one,red,cat,open,one,Correct. The answer is one.,Try again. Look at the picture and model line.,U006-Repair-L3
