audio_key,text,category,voice,file
"Listen.","Listen.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-001-LISTEN.mp3"
"Look.","Look.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-002-LOOK.mp3"
"Point.","Point.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-003-POINT.mp3"
"Say.","Say.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-004-SAY.mp3"
"Say it again.","Say it again.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-005-SAY-IT-AGAIN.mp3"
"Stand up.","Stand up.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-006-STAND-UP.mp3"
"Sit down.","Sit down.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-007-SIT-DOWN.mp3"
"Open your book.","Open your book.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-008-OPEN-YOUR-BOOK.mp3"
"Close your book.","Close your book.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-009-CLOSE-YOUR-BOOK.mp3"
"Read.","Read.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-010-READ.mp3"
"Write.","Write.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-011-WRITE.mp3"
"Stop.","Stop.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-012-STOP.mp3"
"please","please","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-013-PLEASE.mp3"
"Hello.","Hello.","unit_word_card","en-US-AnaNeural","assets/audio/AEW2-U004-WORD-014-HELLO.mp3"
"Teacher: Listen, please. Teacher: Look, please. Teacher: Say hello. Children: Hello!","Teacher: Listen, please. Teacher: Look, please. Teacher: Say hello. Children: Hello!","whole_model","mixed: teacher Emma, Leo Maisie, Mia/Emma Ana, children Ana+Maisie","assets/audio/AEW2-U004-WHOLE-MODEL-01.mp3"
