item_id,category,item,language,script_form,pronunciation,cefr_band,unit_introduced,active_receptive_review,domain,grammar_link,register,collocation_expression,review_units,checkpoint_tested,portfolio_required,repair_note
U009-ACT-01,Active Words,snack,English,snack,placeholder audio,Pre-A1.2,9,active,snack/drink,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,picture-word review
U009-ACT-02,Active Words,drink,English,drink,placeholder audio,Pre-A1.2,9,active,snack/drink,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,picture-word review
U009-ACT-03,Active Words,apple,English,apple,placeholder audio,Pre-A1.2,9,active,snack/drink,a/an fixed chunk,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,picture-word review
U009-ACT-04,Active Words,banana,English,banana,placeholder audio,Pre-A1.2,9,active,snack/drink,a/an fixed chunk,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,picture-word review
U009-ACT-05,Active Words,orange,English,orange,placeholder audio,Pre-A1.2,9,active,snack/drink,a/an fixed chunk,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,picture-word review
U009-ACT-06,Active Words,sandwich,English,sandwich,placeholder audio,Pre-A1.2,9,active,snack/drink,a/an fixed chunk,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,picture-word review
U009-ACT-07,Active Words,cookie,English,cookie,placeholder audio,Pre-A1.2,9,active,snack/drink,a/an fixed chunk,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,picture-word review
U009-ACT-08,Active Words,water,English,water,placeholder audio,Pre-A1.2,9,active,snack/drink,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,picture-word review
U009-ACT-09,Active Words,milk,English,milk,placeholder audio,Pre-A1.2,9,active,snack/drink,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,picture-word review
U009-ACT-10,Active Words,juice,English,juice,placeholder audio,Pre-A1.2,9,active,snack/drink,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,picture-word review
U009-REC-01,Receptive Words,cake,English,cake,placeholder audio,Pre-A1.2,9,receptive,snack/classroom,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,do not require production
U009-REC-02,Receptive Words,bread,English,bread,placeholder audio,Pre-A1.2,9,receptive,snack/classroom,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,do not require production
U009-REC-03,Receptive Words,tray,English,tray,placeholder audio,Pre-A1.2,9,receptive,snack/classroom,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,do not require production
U009-REC-04,Receptive Words,card,English,card,placeholder audio,Pre-A1.2,9,receptive,snack/classroom,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,do not require production
U009-REC-05,Receptive Words,helper,English,helper,placeholder audio,Pre-A1.2,9,receptive,snack/classroom,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,do not require production
U009-REC-06,Receptive Words,choose,English,choose,placeholder audio,Pre-A1.2,9,receptive,snack/classroom,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,do not require production
U009-REC-07,Receptive Words,snack table,English,snack table,placeholder audio,Pre-A1.2,9,receptive,snack/classroom,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,do not require production
U009-CHK-01,Expressions / Chunks,"I want ..., please.",English,"I want ..., please.",placeholder audio,Pre-A1.2,9,active,polite snack order,fixed chunk,friendly/polite,role-play phrase,Unit 10 and Unit 12 checkpoint,Unit 12,yes,copy the whole chunk
U009-CHK-02,Expressions / Chunks,Here you are.,English,Here you are.,placeholder audio,Pre-A1.2,9,active,polite snack order,fixed chunk,friendly/polite,role-play phrase,Unit 10 and Unit 12 checkpoint,Unit 12,yes,copy the whole chunk
U009-CHK-03,Expressions / Chunks,Thank you.,English,Thank you.,placeholder audio,Pre-A1.2,9,active,polite snack order,fixed chunk,friendly/polite,role-play phrase,Unit 10 and Unit 12 checkpoint,Unit 12,yes,copy the whole chunk
U009-CHK-04,Expressions / Chunks,Hello.,English,Hello.,placeholder audio,Pre-A1.2,9,active,polite snack order,fixed chunk,friendly/polite,role-play phrase,Unit 10 and Unit 12 checkpoint,Unit 12,yes,copy the whole chunk
U009-CHK-05,Expressions / Chunks,"I want an apple, please.",English,"I want an apple, please.",placeholder audio,Pre-A1.2,9,active,polite snack order,fixed chunk,friendly/polite,role-play phrase,Unit 10 and Unit 12 checkpoint,Unit 12,yes,copy the whole chunk
U009-CHK-06,Expressions / Chunks,"I want a banana and juice, please.",English,"I want a banana and juice, please.",placeholder audio,Pre-A1.2,9,active,polite snack order,fixed chunk,friendly/polite,role-play phrase,Unit 10 and Unit 12 checkpoint,Unit 12,yes,copy the whole chunk
U009-COL-01,Collocations,snack card,English,snack card,placeholder audio,Pre-A1.2,9,active,project,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,use in project model
U009-COL-02,Collocations,snack table,English,snack table,placeholder audio,Pre-A1.2,9,active,project,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,use in project model
U009-COL-03,Collocations,drink choice,English,drink choice,placeholder audio,Pre-A1.2,9,active,project,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,use in project model
U009-COL-04,Collocations,snack order,English,snack order,placeholder audio,Pre-A1.2,9,active,project,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,yes,use in project model
U009-COL-05,Collocations,project line,English,project line,placeholder audio,Pre-A1.2,9,active,project,,neutral,,Unit 10 and Unit 12 checkpoint,Unit 12,no,use in project model
U009-REP-01,Repair Vocabulary,Can you repeat?,English,Can you repeat?,placeholder audio,Pre-A1.2,9,receptive,repair,,friendly/polite,,Unit 10 and Unit 12 checkpoint,Unit 12,no,teacher/AI repair language
U009-REP-02,Repair Vocabulary,Try again.,English,Try again.,placeholder audio,Pre-A1.2,9,receptive,repair,,friendly/polite,,Unit 10 and Unit 12 checkpoint,Unit 12,no,teacher/AI repair language
U009-REP-03,Repair Vocabulary,Copy the model.,English,Copy the model.,placeholder audio,Pre-A1.2,9,receptive,repair,,friendly/polite,,Unit 10 and Unit 12 checkpoint,Unit 12,no,teacher/AI repair language
U009-REP-04,Repair Vocabulary,Add please.,English,Add please.,placeholder audio,Pre-A1.2,9,receptive,repair,,friendly/polite,,Unit 10 and Unit 12 checkpoint,Unit 12,no,teacher/AI repair language
U009-REP-05,Repair Vocabulary,Use a/an snack chunk.,English,Use a/an snack chunk.,placeholder audio,Pre-A1.2,9,receptive,repair,,friendly/polite,,Unit 10 and Unit 12 checkpoint,Unit 12,no,teacher/AI repair language
