course,unit,title,band,image_id,filename,section,lesson,image_type,aspect_ratio,display_width,kp_link,lexical_link,text_in_image,prompt,negative_restrictions,full_prompt,audit_status,control_notes
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG01,AEW2_U011_IMG01_cover_weather_window.png,Cover,Unit opener,cover,16:9,90-100%,Unit identity; weather words; clothes choice,"sunny, rainy, windy, cloudy, coat, hat, boots, T-shirt, shoes, umbrella",Title only: Unit 11 Weather Window,"Create a bright cover image for Adventure English World V2 Unit 11, Weather Window. Leo, Mia, Emma, and Toto stand in a cheerful classroom near a big weather window. Through the window, simple weather clues can be seen, such as sunshine, rain, clouds, and wind. Nearby, show simple clothes choices such as a coat, hat, boots, T-shirt, shoes, and umbrella. The mood is friendly, clear, and adventurous. Include only the clean title text: “Unit 11 Weather Window.” Single standalone cover image.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a bright cover image for Adventure English World V2 Unit 11, Weather Window. Leo, Mia, Emma, and Toto stand in a cheerful classroom near a big weather window. Through the window, simple weather clues can be seen, such as sunshine, rain, clouds, and wind. Nearby, show simple clothes choices such as a coat, hat, boots, T-shirt, shoes, and umbrella. The mood is friendly, clear, and adventurous. Include only the clean title text: “Unit 11 Weather Window.” Single standalone cover image. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG02,AEW2_U011_IMG02_unit_story_weather_window_scene.png,Unit Story,Opening situation,unit story anchor,16:9,80-90%,Unit story; weather window; choose clothes,"weather, window, clothes, choose, coat, hat, boots, T-shirt, umbrella",No readable text,"Create a unit story anchor scene. Leo, Mia, Emma, and Toto stand by a classroom weather window and look outside together. The weather is easy to notice, and the children are choosing simple clothes for the day. Show a warm classroom-adventure atmosphere. Include a few clothes items nearby, such as a coat, hat, boots, T-shirt, and umbrella. No readable text. Single standalone image.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a unit story anchor scene. Leo, Mia, Emma, and Toto stand by a classroom weather window and look outside together. The weather is easy to notice, and the children are choosing simple clothes for the day. Show a warm classroom-adventure atmosphere. Include a few clothes items nearby, such as a coat, hat, boots, T-shirt, and umbrella. No readable text. Single standalone image. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG03,AEW2_U011_IMG03_lesson1_meet_the_weather.png,Lesson 1,Meet the Weather,lesson anchor,16:9,70-85%,"Weather words: sunny, rainy, windy, cloudy","sunny, rainy, windy, cloudy",No readable text,"Create a lesson anchor scene for introducing weather words. Leo, Mia, and Emma stand near a weather window and point to simple weather examples: sunshine, rain, clouds, and wind. Toto looks up happily. The scene should support learning the words sunny, rainy, windy, cloudy through clear visuals only. No readable text. Single standalone image.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a lesson anchor scene for introducing weather words. Leo, Mia, and Emma stand near a weather window and point to simple weather examples: sunshine, rain, clouds, and wind. Toto looks up happily. The scene should support learning the words sunny, rainy, windy, cloudy through clear visuals only. No readable text. Single standalone image. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG04,AEW2_U011_IMG04_lesson1_weather_visual.png,Lesson 1,Meet the Weather,vocabulary visual,4:3,60-75%,Weather recognition,"sunny, rainy, windy, cloudy",No readable text,"Create one clean weather visual showing four simple weather examples in one natural classroom display style: sunny, rainy, windy, and cloudy. Use picture-only communication, not labels. Keep the layout bright, simple, and easy for Pre-A1 learners. Single standalone image, not a worksheet.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create one clean weather visual showing four simple weather examples in one natural classroom display style: sunny, rainy, windy, and cloudy. Use picture-only communication, not labels. Keep the layout bright, simple, and easy for Pre-A1 learners. Single standalone image, not a worksheet. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG05,AEW2_U011_IMG05_lesson2_its_sunny_rainy_scene.png,Lesson 2,It’s Sunny / It’s Rainy,lesson anchor,16:9,70-85%,It’s sunny; It’s rainy,"sunny, rainy, sun, rain",No readable text,"Create a lesson anchor scene for It’s sunny and It’s rainy. Split the scene naturally into two clear weather moments without using comic panels: one child looks at a sunny day through the window, and another child looks at a rainy day. Show weather clues clearly and naturally. Keep the scene friendly and easy for simple sentence practice. No readable text.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a lesson anchor scene for It’s sunny and It’s rainy. Split the scene naturally into two clear weather moments without using comic panels: one child looks at a sunny day through the window, and another child looks at a rainy day. Show weather clues clearly and naturally. Keep the scene friendly and easy for simple sentence practice. No readable text. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG06,AEW2_U011_IMG06_lesson2_sunny_rainy_choice_visual.png,Lesson 2,It’s Sunny / It’s Rainy,choice visual,4:3,60-75%,Sunny/rainy clothes choice,"sunny, rainy, hat, T-shirt, boots, coat, umbrella",No readable text,"Create a weather-and-clothes choice visual for sunny and rainy days. Show a simple sunny weather clue with suitable clothes such as a hat or T-shirt, and a simple rainy weather clue with suitable clothes such as boots, coat, or umbrella. Keep the objects clear and picture-supported. No text.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a weather-and-clothes choice visual for sunny and rainy days. Show a simple sunny weather clue with suitable clothes such as a hat or T-shirt, and a simple rainy weather clue with suitable clothes such as boots, coat, or umbrella. Keep the objects clear and picture-supported. No text. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG07,AEW2_U011_IMG07_lesson3_its_windy_cloudy_scene.png,Lesson 3,It’s Windy / It’s Cloudy,lesson anchor,16:9,70-85%,It’s windy; It’s cloudy,"windy, cloudy, leaves, clouds",No readable text,"Create a lesson anchor scene for It’s windy and It’s cloudy. Leo, Mia, and Emma stand near the weather window. One moment shows wind moving leaves, hair, or a scarf gently. Another moment shows a cloudy sky outside. Keep the weather signs clear, simple, and child-friendly. No readable text.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a lesson anchor scene for It’s windy and It’s cloudy. Leo, Mia, and Emma stand near the weather window. One moment shows wind moving leaves, hair, or a scarf gently. Another moment shows a cloudy sky outside. Keep the weather signs clear, simple, and child-friendly. No readable text. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG08,AEW2_U011_IMG08_lesson3_weather_window_visual.png,Lesson 3,It’s Windy / It’s Cloudy,weather visual,4:3,60-75%,Windy/cloudy recognition,"windy, cloudy, leaves, window",No readable text,"Create a simple classroom weather-window visual. Show a large window with clear outdoor clues for cloudy and windy weather. Add a few weather-related classroom items nearby, but no labels or charts. Keep it clean, simple, and useful for recognition practice. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a simple classroom weather-window visual. Show a large window with clear outdoor clues for cloudy and windy weather. Add a few weather-related classroom items nearby, but no labels or charts. Keep it clean, simple, and useful for recognition practice. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG09,AEW2_U011_IMG09_lesson4_clothes_words_scene.png,Lesson 4,Clothes Basics,lesson anchor,16:9,70-85%,Clothes words,"coat, hat, boots, T-shirt, shoes, umbrella, jacket, sweater",No readable text,"Create a lesson anchor scene for clothes basics. Leo, Mia, and Emma look at or hold simple clothes items such as a coat, hat, boots, T-shirt, shoes, umbrella, jacket, and sweater. The image should support naming simple clothes visually. Toto watches happily. No readable text. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a lesson anchor scene for clothes basics. Leo, Mia, and Emma look at or hold simple clothes items such as a coat, hat, boots, T-shirt, shoes, umbrella, jacket, and sweater. The image should support naming simple clothes visually. Toto watches happily. No readable text. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
Adventure English World V2,11,Weather Window,Pre-A1.2,AEW2_U011_IMG10,AEW2_U011_IMG10_lesson4_clothes_choice_visual.png,Lesson 4,Clothes Basics,vocabulary visual,4:3,60-75%,Clothes recognition,"coat, hat, boots, T-shirt, shoes, umbrella, sweater",No readable text,"Create a clean clothes-choice visual. Show a small set of simple clothes arranged clearly and naturally: coat, hat, boots, T-shirt, shoes, umbrella, and sweater. Keep the layout bright and easy for young learners. No labels, no text. no jeans, no earth globe.","No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.","Adventure English World V2 Unit 11 — Weather Window. Semi-realistic modern children's educational coursebook style, warm, playful, clean, and not too cartoon-like. Characters are about 7–8 years old. Leo is an Asian boy with round glasses and a green top. Mia has long brown hair and a yellow cardigan. Emma has blonde hair, a purple headband, and a purple outfit. Toto is a small cute brown-and-white dog with a red collar. Create a clean clothes-choice visual. Show a small set of simple clothes arranged clearly and naturally: coat, hat, boots, T-shirt, shoes, umbrella, and sweater. Keep the layout bright and easy for young learners. No labels, no text. no jeans, no earth globe. No jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political imagery, no religious imagery, no globe, no flags, no brand logos, no dangerous weather, no disaster scene, no travel-planning scene, no weather map, no temperature chart, no health advice, no money or prices, no long readable text except cover title when specified, no collage, no contact sheet, no worksheet grid, no storyboard, no multi-panel comic.",Ready - control-packet aligned,Pre-A1.2; standalone image; no blocked KP by prompt; supports lesson/Practice/Project
