item_id,section,lesson,quiz_type,question,answer,distractors,cefr_band,kp_target,lexical_target,skill_target,difficulty_stage,error_type,repair_link
U006-L1-Q01,L1,Hello Gate,multiple_choice,Leo waves at the gate. What can he say?,Hello.,Red.; Cat.; Five.,Pre-A1.1,greetings,hello,vocabulary/grammar recognition,easy,L1,U006-Repair-L1
U006-L1-Q02,L1,Hello Gate,multiple_choice,The team leaves the gate. What can they say?,Goodbye.,Yellow.; Dog.; Open.,Pre-A1.1,greetings,goodbye,vocabulary/grammar recognition,easy,L1,U006-Repair-L1
U006-L1-Q03,L1,Hello Gate,multiple_choice,Which name matches the boy with glasses?,Leo,Mia; Emma; Toto,Pre-A1.1,names,Leo,vocabulary/grammar recognition,easy,L1,U006-Repair-L1
U006-L1-Q04,L1,Hello Gate,multiple_choice,Which name matches the girl in yellow?,Mia,Leo; Emma; Toto,Pre-A1.1,names,Mia,vocabulary/grammar recognition,easy,L1,U006-Repair-L1
U006-L1-Q05,L1,Hello Gate,multiple_choice,Which name matches the girl in purple?,Emma,Mia; Leo; Toto,Pre-A1.1,names,Emma,vocabulary/grammar recognition,easy,L1,U006-Repair-L1
U006-L1-Q06,L1,Hello Gate,gap_fill,Complete: Hello. ___ Leo.,I’m,,Pre-A1.1,greeting chunk,I’m,vocabulary/grammar recognition,medium,L1,U006-Repair-L1
U006-L1-Q07,L1,Hello Gate,multiple_choice,Choose the good line.,Hello. I’m Mia.,Mia I’m hello.; Red Mia hello.; Goodbye I’m.,Pre-A1.1,phrase order,Hello. I’m Mia.,vocabulary/grammar recognition,medium,L1,U006-Repair-L1
U006-L1-Q08,L1,Hello Gate,true_false,Goodbye is a leaving word.,True,False,Pre-A1.1,greetings,goodbye,vocabulary/grammar recognition,easy,L1,U006-Repair-L1
U006-L1-Q09,L1,Hello Gate,multiple_choice,A friend says “Hello!” Choose a good reply.,Hello!,Six.; Frog.; Draw.,Pre-A1.1,spoken interaction,Hello,vocabulary/grammar recognition,easy,L1,U006-Repair-L1
U006-L1-Q10,L1,Hello Gate,multiple_choice,Which name matches the small brown-and-white dog?,Toto,Leo; Mia; Emma,Pre-A1.1,names,Toto,vocabulary/grammar recognition,easy,L1,U006-Repair-L1
