Area,Plan
Watch title,Toto’s Photo Tree
Watch length,Pre-A1 45–60 seconds; silent/captioned slideshow or TTS-supported later.
Watch frames,IMG16–IMG20
Watch script direction,Repeated chunks: This is my mom. Who’s this? It’s my friend. This is Toto. This is my family tree.
Watch Practice 12 focus,"word recognition, character/detail, sequence, Who’s this? reply matching, project connection."
Project title,My Family/Friend Poster
Project output,Poster with 3–4 photo/name cards and 3–4 copied or selected sentence chunks.
Project phrase bank,This is my ___. / This is Toto. / This is my friend.
Project readiness items,"12 planned items: vocabulary match, phrase frame, choose best line, order lines, self-check."
AI/teacher feedback,"Task completion, clear chunks, pronunciation of this/family words, confidence; teacher override."
Repair path,If wrong word: picture-word review. If wrong chunk: sentence frame. If low confidence: model and repeat. If listening weak: replay with picture clues.
