image_id,has_hotspots,hotspot_count,notes
AEW2-U001-IMG-001,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-002,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-003,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-004,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-005,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-006,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-007,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-008,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-009,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-010,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-011,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-012,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-013,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-014,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-015,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-016,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-017,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-018,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-019,no,0,No image hotspots in Unit 1 package.
AEW2-U001-IMG-020,no,0,No image hotspots in Unit 1 package.
