audio_id,filename,course,unit,lesson,section,text_or_script_ref,language,voice_type,duration,media_server_path,moodle_path,notes
U006-AUD-UNIT-STORY,u006_unit_story_placeholder.mp3,Adventure English World V2,6,Unit Opener,Unit Story,unit story model block,English,Maisie,,,assets/audio/u006_unit_story_placeholder.mp3,block-level audio placeholder
U006-AUD-L1,u006_l1_model_placeholder.mp3,Adventure English World V2,6,L1,Hello Gate,Hello Gate model block,English,Maisie and Ana,,,assets/audio/u006_l1_model_placeholder.mp3,block-level audio placeholder
U006-AUD-L2,u006_l2_model_placeholder.mp3,Adventure English World V2,6,L2,Color Clue,Color Clue model block,English,Ana,,,assets/audio/u006_l2_model_placeholder.mp3,block-level audio placeholder
U006-AUD-L3,u006_l3_model_placeholder.mp3,Adventure English World V2,6,L3,Number Bridge,Number Bridge model block,English,Maisie,,,assets/audio/u006_l3_model_placeholder.mp3,block-level audio placeholder
U006-AUD-L4,u006_l4_model_placeholder.mp3,Adventure English World V2,6,L4,Action Door,Action Door model block,English,Maisie,,,assets/audio/u006_l4_model_placeholder.mp3,block-level audio placeholder
U006-AUD-L5,u006_l5_model_placeholder.mp3,Adventure English World V2,6,L5,Animal Garden,Animal Garden model block,English,Ana,,,assets/audio/u006_l5_model_placeholder.mp3,block-level audio placeholder
U006-AUD-L6,u006_l6_model_placeholder.mp3,Adventure English World V2,6,L6,Five-Clue Trail,Five-Clue Trail model block,English,Maisie and Ana,,,assets/audio/u006_l6_model_placeholder.mp3,block-level audio placeholder
U006-AUD-L7,u006_l7_model_placeholder.mp3,Adventure English World V2,6,L7,My Mini Mission,My Mini Mission model block,English,Ana,,,assets/audio/u006_l7_model_placeholder.mp3,block-level audio placeholder
U006-AUD-WATCH,u006_watch_script_placeholder.mp3,Adventure English World V2,6,Watch,Toto’s Mini Quest,watch_script.txt,English,Maisie and Ana,,,assets/audio/u006_watch_script_placeholder.mp3,optional future audio; current Watch may be silent
U006-AUD-PROJECT,u006_project_model_placeholder.mp3,Adventure English World V2,6,Final Project,My Mini Picture Mission,project model lines,English,Ana,,,assets/audio/u006_project_model_placeholder.mp3,block-level audio placeholder
