image_id,filename,prompt_has_no_jeans,prompt_has_no_globe,prompt_has_no_political,actual_image_gate,notes
AEW2_U011_IMG01,AEW2_U011_IMG01_cover_weather_window.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG02,AEW2_U011_IMG02_unit_story_weather_window_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG03,AEW2_U011_IMG03_lesson1_meet_the_weather.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG04,AEW2_U011_IMG04_lesson1_weather_visual.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG05,AEW2_U011_IMG05_lesson2_its_sunny_rainy_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG06,AEW2_U011_IMG06_lesson2_sunny_rainy_choice_visual.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG07,AEW2_U011_IMG07_lesson3_its_windy_cloudy_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG08,AEW2_U011_IMG08_lesson3_weather_window_visual.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG09,AEW2_U011_IMG09_lesson4_clothes_words_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG10,AEW2_U011_IMG10_lesson4_clothes_choice_visual.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG11,AEW2_U011_IMG11_lesson5_choose_clothes_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG12,AEW2_U011_IMG12_lesson5_weather_clothes_choice_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG13,AEW2_U011_IMG13_lesson6_help_a_friend_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG14,AEW2_U011_IMG14_lesson6_dress_the_friend_visual.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG15,AEW2_U011_IMG15_lesson6_weather_review_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG16,AEW2_U011_IMG16_lesson7_project_rehearsal_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG17,AEW2_U011_IMG17_lesson7_project_model_weather_choice_card.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG18,AEW2_U011_IMG18_repair_weather_visual.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG19,AEW2_U011_IMG19_repair_clothes_choice_visual.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
AEW2_U011_IMG20,AEW2_U011_IMG20_project_sharing_scene.png,yes,yes,yes,pending,This is a prompt-level audit only. Run final image gate after all repairs.
