audio_id,text,voice_plan,current_mode,note
AEW2-U004-AUD-001,Listen.,Ana/Maisie Edge TTS later,speechSynthesis,Use your ears.
AEW2-U004-AUD-002,Look.,Ana/Maisie Edge TTS later,speechSynthesis,Use your eyes.
AEW2-U004-AUD-003,Point.,Ana/Maisie Edge TTS later,speechSynthesis,Use your finger.
AEW2-U004-AUD-004,Say.,Ana/Maisie Edge TTS later,speechSynthesis,Use your voice.
AEW2-U004-AUD-005,Say it again.,Ana/Maisie Edge TTS later,speechSynthesis,Repeat.
AEW2-U004-AUD-006,Stand up.,Ana/Maisie Edge TTS later,speechSynthesis,Stand.
AEW2-U004-AUD-007,Sit down.,Ana/Maisie Edge TTS later,speechSynthesis,Sit.
AEW2-U004-AUD-008,Open your book.,Ana/Maisie Edge TTS later,speechSynthesis,Book open.
AEW2-U004-AUD-009,Close your book.,Ana/Maisie Edge TTS later,speechSynthesis,Book closed.
AEW2-U004-AUD-010,Read.,Ana/Maisie Edge TTS later,speechSynthesis,Eyes on text or card.
AEW2-U004-AUD-011,Write.,Ana/Maisie Edge TTS later,speechSynthesis,Pencil on paper.
AEW2-U004-AUD-012,Stop.,Ana/Maisie Edge TTS later,speechSynthesis,Freeze.
AEW2-U004-AUD-013,please,Ana/Maisie Edge TTS later,speechSynthesis,Kind classroom word.
AEW2-U004-AUD-014,"Teacher: Listen, please. Teacher: Look, please. Teacher: Say hello. Children: Hello!",Maisie/Ana mixed model later,speechSynthesis,Lesson 1 - The Magic Classroom
AEW2-U004-AUD-015,"Teacher: Listen, please. Teacher: Look, please. Teacher: Point, please. Leo: I can point.",Maisie/Ana mixed model later,speechSynthesis,"Lesson 2 - Listen, Look, Point"
AEW2-U004-AUD-016,Mia: Hello. Emma: Hello. Leo: Say it again. Mia and Emma: Hello!,Maisie/Ana mixed model later,speechSynthesis,Lesson 3 - Say It Again
AEW2-U004-AUD-017,"Teacher: Stand up, please. Children stand. Teacher: Sit down, please. Children sit.",Maisie/Ana mixed model later,speechSynthesis,"Lesson 4 - Stand Up, Sit Down"
AEW2-U004-AUD-018,"Teacher: Open your book, please. Leo opens his book. Teacher: Close your book, please. Emma closes her book.",Maisie/Ana mixed model later,speechSynthesis,Lesson 5 - Open And Close
AEW2-U004-AUD-019,"Teacher: Read, please. Emma reads a card. Teacher: Write, please. Leo writes a card.",Maisie/Ana mixed model later,speechSynthesis,Lesson 6 - Read And Write
AEW2-U004-AUD-020,"Leo: Listen, please. Mia: Stand up, please. Emma: Open your book, please. All: Classroom magic!",Maisie/Ana mixed model later,speechSynthesis,Lesson 7 - Classroom Magic Mission
