image_id,filename,role,lesson_or_section,kp_tags,alt_text,optimized_note,moodle_relative_path,media_server_recommended_path,visual_safety_status
AEW2-U001-IMG-001,AEW2-U001-IMG-001.png,Cover,Unit,hello; hi; I’m; names; goodbye; name card; voice greeting,"Unit cover: Leo, Mia, Emma, and Toto waving at the Hello Adventure classroom.",optimized/copy PNG,assets/images/AEW2-U001-IMG-001.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-001.png,pass
AEW2-U001-IMG-002,AEW2-U001-IMG-002.png,Unit Story,Unit,hello; hi; I’m; names; goodbye; name card; voice greeting,The team waves in a clean adventure classroom.,optimized/copy PNG,assets/images/AEW2-U001-IMG-002.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-002.png,pass
AEW2-U001-IMG-003,AEW2-U001-IMG-003.png,Vocabulary Board,Lesson 1,hello; hi; I’m; names; goodbye; name card; voice greeting,Hello and hi visual word cards.,optimized/copy PNG,assets/images/AEW2-U001-IMG-003.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-003.png,pass
AEW2-U001-IMG-004,AEW2-U001-IMG-004.png,Dialogue Scene,Lesson 1,hello; hi; I’m; names; goodbye; name card; voice greeting,Leo and Mia greet each other.,optimized/copy PNG,assets/images/AEW2-U001-IMG-004.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-004.png,pass
AEW2-U001-IMG-005,AEW2-U001-IMG-005.png,Name Card,Lesson 2,hello; hi; I’m; names; goodbye; name card; voice greeting,Leo presents a name card.,optimized/copy PNG,assets/images/AEW2-U001-IMG-005.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-005.png,pass
AEW2-U001-IMG-006,AEW2-U001-IMG-006.png,I’m Cards,Lesson 2,hello; hi; I’m; names; goodbye; name card; voice greeting,"Leo, Mia, and Emma name phrase cards.",optimized/copy PNG,assets/images/AEW2-U001-IMG-006.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-006.png,pass
AEW2-U001-IMG-007,AEW2-U001-IMG-007.png,Name Question Dialogue,Lesson 3,hello; hi; I’m; names; goodbye; name card; voice greeting,Mia asks Leo his name.,optimized/copy PNG,assets/images/AEW2-U001-IMG-007.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-007.png,pass
AEW2-U001-IMG-008,AEW2-U001-IMG-008.png,Three-Step Exchange,Lesson 3,hello; hi; I’m; names; goodbye; name card; voice greeting,"Greeting, asking the name, and answering the name.",optimized/copy PNG,assets/images/AEW2-U001-IMG-008.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-008.png,pass
AEW2-U001-IMG-009,AEW2-U001-IMG-009.png,Entry Scene,Lesson 4,hello; hi; I’m; names; goodbye; name card; voice greeting,Child entering classroom while friends wave hello.,optimized/copy PNG,assets/images/AEW2-U001-IMG-009.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-009.png,pass
AEW2-U001-IMG-010,AEW2-U001-IMG-010.png,Exit Scene,Lesson 4,hello; hi; I’m; names; goodbye; name card; voice greeting,Children leaving classroom and waving goodbye.,optimized/copy PNG,assets/images/AEW2-U001-IMG-010.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-010.png,pass
AEW2-U001-IMG-011,AEW2-U001-IMG-011.png,Meet the Team,Lesson 5,hello; hi; I’m; names; goodbye; name card; voice greeting,"Leo, Mia, Emma, and Toto in a simple team circle.",optimized/copy PNG,assets/images/AEW2-U001-IMG-011.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-011.png,pass
AEW2-U001-IMG-012,AEW2-U001-IMG-012.png,Team Greeting,Lesson 5,hello; hi; I’m; names; goodbye; name card; voice greeting,Children greeting each other with Toto included naturally.,optimized/copy PNG,assets/images/AEW2-U001-IMG-012.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-012.png,pass
AEW2-U001-IMG-013,AEW2-U001-IMG-013.png,Project Model Name Card,Lesson 6,hello; hi; I’m; names; goodbye; name card; voice greeting,Simple blank name-card craft on a desk.,cropped to remove globe/geography object and focus name-card craft,assets/images/AEW2-U001-IMG-013.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-013.png,pass
AEW2-U001-IMG-014,AEW2-U001-IMG-014.png,Name-Card Steps,Lesson 6,hello; hi; I’m; names; goodbye; name card; voice greeting,"Choose card, write name, hold card and speak.",optimized/copy PNG,assets/images/AEW2-U001-IMG-014.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-014.png,pass
AEW2-U001-IMG-015,AEW2-U001-IMG-015.png,Repair Visual,Lesson 6,hello; hi; I’m; names; goodbye; name card; voice greeting,One complete name card and one missing-part name card.,optimized/copy PNG,assets/images/AEW2-U001-IMG-015.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-015.png,pass
AEW2-U001-IMG-016,AEW2-U001-IMG-016.png,Speaking Practice,Lesson 7,hello; hi; I’m; names; goodbye; name card; voice greeting,Learner holding a name card and saying a short greeting.,optimized/copy PNG,assets/images/AEW2-U001-IMG-016.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-016.png,pass
AEW2-U001-IMG-017,AEW2-U001-IMG-017.png,AI Voice Checker,Lesson 7,hello; hi; I’m; names; goodbye; name card; voice greeting,Tablet record button with one child speaking and others listening.,optimized/copy PNG,assets/images/AEW2-U001-IMG-017.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-017.png,pass
AEW2-U001-IMG-018,AEW2-U001-IMG-018.png,Watch Frame,Watch,hello; hi; I’m; names; goodbye; name card; voice greeting,"The Hello Gate watch thumbnail with Leo, Mia, Emma, and Toto.",optimized/copy PNG,assets/images/AEW2-U001-IMG-018.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-018.png,pass
AEW2-U001-IMG-019,AEW2-U001-IMG-019.png,Final Project Model,Project / Portfolio,hello; hi; I’m; names; goodbye; name card; voice greeting,Generic name card with Hello. I’m ___. Goodbye. and record button.,optimized/copy PNG,assets/images/AEW2-U001-IMG-019.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-019.png,pass
AEW2-U001-IMG-020,AEW2-U001-IMG-020.png,Portfolio Board,Project / Portfolio,hello; hi; I’m; names; goodbye; name card; voice greeting,"Name cards for Leo, Mia, Emma, and Toto on an adventure board.",cropped to focus portfolio name cards and remove lower map/mountain decorations,assets/images/AEW2-U001-IMG-020.png,MediaServer/FLW/Adventure_English_World/Unit_001/images/export/AEW2-U001-IMG-020.png,pass
