Item_ID,Section,Item_No,Skill,KP_Target,Source_Image,Item_Type,Prompt,Option_A,Option_B,Option_C,Option_D,Correct_Option,Correct_Answer,Feedback,Difficulty,Repair_Link
AEW2-U010-L1-Q01,Lesson 1,1,Vocabulary,VOC family/friend words,"IMG02, IMG03",picture_choice,Look at the woman/mom card. Choose the word.,mom,dad,dog,friend,A,mom,Correct. The woman/mom card is mom.,Easy,Picture-word review
AEW2-U010-L1-Q02,Lesson 1,2,Vocabulary,VOC family/friend words,"IMG02, IMG03",picture_choice,Look at the man/dad card. Choose the word.,dad,sister,dog,mom,A,dad,Correct. The man/dad card is dad.,Easy,Picture-word review
AEW2-U010-L1-Q03,Lesson 1,3,Vocabulary,VOC family/friend words,"IMG02, IMG03",picture_choice,Look at the girl child card. Choose the word.,sister,grandpa,dad,dog,A,sister,Correct. The girl child card is sister.,Easy,Picture-word review
AEW2-U010-L1-Q04,Lesson 1,4,Vocabulary,VOC family/friend words,"IMG02, IMG03",picture_choice,Look at the boy child card. Choose the word.,brother,grandma,mom,friend,A,brother,Correct. The boy child card is brother.,Easy,Picture-word review
AEW2-U010-L1-Q05,Lesson 1,5,Vocabulary,VOC family/friend words,"IMG02, IMG03",picture_choice,Look at the older woman card. Choose the word.,grandma,brother,dad,dog,A,grandma,Correct. The older woman card is grandma.,Easy,Picture-word review
AEW2-U010-L1-Q06,Lesson 1,6,Vocabulary,VOC family/friend words,"IMG02, IMG03",picture_choice,Look at the older man card. Choose the word.,grandpa,sister,mom,friend,A,grandpa,Correct. The older man card is grandpa.,Easy,Picture-word review
AEW2-U010-L1-Q07,Lesson 1,7,Vocabulary,VOC family/friend words,"IMG02, IMG03",picture_choice,Look at the teammate card. Choose the word.,friend,grandpa,dad,dog,A,friend,Correct. The teammate card is friend.,Easy,Picture-word review
AEW2-U010-L1-Q08,Lesson 1,8,Vocabulary,VOC family/friend words,"IMG02, IMG03",picture_choice,Look at the Toto card. Choose the word.,dog,mom,sister,grandma,A,dog,Correct. The Toto card is dog.,Easy,Picture-word review
AEW2-U010-L1-Q09,Lesson 1,9,Vocabulary,VOC mom/dad,"IMG02, IMG03",matching,Match the words to the cards: mom + dad.,mom = woman card; dad = man card,mom = dog card; dad = friend card,mom = boy card; dad = girl card,mom = grandpa card; dad = grandma card,A,mom = woman card; dad = man card,Correct. Mom and dad are family word cards.,Easy,Picture-word review
AEW2-U010-L1-Q10,Lesson 1,10,Listening prep,VOC dad,"IMG02, IMG03",listen_and_choose,Listen: dad. Which card do you choose?,dad card,mom card,dog card,friend card,A,dad card,Correct. Dad is the dad card.,Easy,Listen again and point
AEW2-U010-L1-Q11,Lesson 1,11,Vocabulary,VOC dog,"IMG02, IMG03",true_false,Toto is a dog.,True,False,,,A,True,Correct. Toto is a dog.,Easy,Picture-word review
