No,Lesson,Type,Prompt,Correct answer(s)
1,1,mcq,Leo waves. What can he say?,Hello
2,1,truefalse,Hello is a greeting.,True
3,1,mcq,Mia says “Hi!” Choose the correct word.,Hi
4,2,fill,I’m ____.,leo; mia; toto; emma; my name
5,2,order,Put the words in order: name / your / What’s,What’s your name
6,2,matching,Match names to descriptions,Leo->boy; Mia->girl; Toto->puppy; Emma->girl with glasses
7,3,mcq,Toto points to Mia. What does Toto say?,This is Mia.
8,3,fill,This is ____.,leo; mia; toto; emma
9,4,truefalse,Goodbye is a leaving word.,True
10,4,mcq,Class is finished. What can you say?,Goodbye
11,5,mcq,Choose the correct self-introduction.,Hello! I’m Leo.
12,5,speaking,Record yourself saying: Hello! I’m ____.,Speaking submission
