id,section,lesson_number,lesson_title,ordinal_in_section,question_type,kp_target,prompt,choice_a,choice_b,choice_c,correct_letter,correct_answer,repair_id,repair_text,image_ids,audio_id
U1L1P01,Lesson 1,1,Say Hello,1,Picture choice,Greeting recognition and production,Look at the waving child. Choose the greeting.,Hello,Goodbye,Name,A,Hello,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L1P02,Lesson 1,1,Say Hello,2,Audio choice,Greeting recognition and production,Listen: “Hello.” Choose the word you hear.,Hi,Hello,Bye,B,Hello,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,U1L1P02-AUDIO
U1L1P03,Lesson 1,1,Say Hello,3,Picture choice,Greeting recognition and production,Mia smiles and waves. Choose the short greeting.,Bye,Hi,Name,B,Hi,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L1P04,Lesson 1,1,Say Hello,4,Word-picture match,Greeting recognition and production,Match hello to the correct picture.,child waving,child leaving,blank card,A,child waving,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L1P05,Lesson 1,1,Say Hello,5,Dialogue choice,Greeting recognition and production,"Leo says, “Hello.” Mia says:",Hi.,Goodbye.,Name.,A,Hi.,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L1P06,Lesson 1,1,Say Hello,6,Cloze,Greeting recognition and production,Complete: “___!”,Hello,Toto,Name,A,Hello,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L1P07,Lesson 1,1,Say Hello,7,Sorting,Greeting recognition and production,Which two are greetings?,hello + hi,goodbye + bye,name + Toto,A,hello + hi,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L1P08,Lesson 1,1,Say Hello,8,True / false,Greeting recognition and production,Hello and Hi are greetings.,True,False,,A,True,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L1P09,Lesson 1,1,Say Hello,9,Scene choice,Greeting recognition and production,Leo meets Mia. What can Leo say?,Hello.,Goodbye.,Bye.,A,Hello.,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,
U1L1P10,Lesson 1,1,Say Hello,10,Audio-picture match,Greeting recognition and production,Listen: “Hi!” Choose the matching picture.,smiling wave,leaving door,name card,A,smiling wave,U1-RP-GREETING,Look at the wave card. Listen: “Hello.” Repeat: “Hello.”,AEW2-U001-IMG-003;AEW2-U001-IMG-004,U1L1P10-AUDIO
