image_id,filename,exists,width,height,mode,file_size_bytes,primary_use,linked_content,referenced_in_content,referenced_in_practice,referenced_in_watch,used_as_repair_or_support,visual_identity_check,safety_check,alignment_note
IMG01,AEW2_U007_IMG01_cover_toy_box_mystery.png,True,1672,941,RGB,2546930,Unit cover,Unit opener,True,False,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG02,AEW2_U007_IMG02_unit_story_toy_box_scene.png,True,1672,941,RGB,2501388,Unit story / Watch opening,"Unit opener, Watch",True,True,True,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG03,AEW2_U007_IMG03_lesson1_meet_the_toys.png,True,1672,941,RGB,2692677,Lesson 1 anchor,Toy words,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG04,AEW2_U007_IMG04_lesson1_toy_vocabulary_shelf.png,True,1402,1122,RGB,2403808,Lesson 1 vocabulary board,Toy word Practice,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG05,AEW2_U007_IMG05_lesson2_in_the_box_scene.png,True,1672,941,RGB,2514288,Lesson 2 anchor,in the box,True,True,True,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG06,AEW2_U007_IMG06_lesson2_in_position_visual.png,True,1448,1086,RGB,2627227,Lesson 2 grammar visual,in + place,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG07,AEW2_U007_IMG07_lesson3_on_the_shelf_scene.png,True,1672,941,RGB,2382078,Lesson 3 anchor,on the shelf/table,True,True,True,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG08,AEW2_U007_IMG08_lesson3_on_position_visual.png,True,1448,1086,RGB,2342111,Lesson 3 grammar visual,on + place,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG09,AEW2_U007_IMG09_lesson4_under_the_table_scene.png,True,1672,941,RGB,2437968,Lesson 4 anchor,under the table,True,True,True,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG10,AEW2_U007_IMG10_lesson4_under_position_visual.png,True,1448,1086,RGB,2221681,Lesson 4 grammar visual,under + place,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG11,AEW2_U007_IMG11_lesson5_where_is_the_toy_scene.png,True,1672,941,RGB,2475457,Lesson 5 anchor,Where is...?,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG12,AEW2_U007_IMG12_lesson5_mixed_location_room_scene.png,True,1448,1086,RGB,2669326,Lesson 5 mixed scene,in/on/under mixed,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG13,AEW2_U007_IMG13_lesson6_toy_hunt_clue_trail.png,True,1672,941,RGB,2533294,Lesson 6 anchor,toy hunt clues,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG14,AEW2_U007_IMG14_lesson6_clue_table_visual.png,True,1402,1122,RGB,2103081,Lesson 6 clue table,clue Practice,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG15,AEW2_U007_IMG15_lesson6_search_and_find_scene.png,True,1672,941,RGB,2495857,Lesson 6 search scene,find toy in/on/under,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG16,AEW2_U007_IMG16_lesson7_project_rehearsal_scene.png,True,1672,941,RGB,2674268,Lesson 7 rehearsal,project rehearsal,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG17,AEW2_U007_IMG17_lesson7_project_model_toy_location_page.png,True,1448,1086,RGB,1918483,Lesson 7 project model,Toy Location Page,True,True,False,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
IMG18,AEW2_U007_IMG18_repair_in_on_visual.png,True,1402,1122,RGB,2769879,Repair visual,in/on repair,False,False,False,True,PASS,PASS,Available and usable. Repair/support visual if not directly referenced in main content.
IMG19,AEW2_U007_IMG19_repair_under_where_is_visual.png,True,1448,1086,RGB,2565668,Repair visual,under/Where is repair,False,False,False,True,PASS,PASS,Available and usable. Repair/support visual if not directly referenced in main content.
IMG20,AEW2_U007_IMG20_project_sharing_scene.png,True,1672,941,RGB,2555961,Project sharing,portfolio celebration,True,True,True,False,PASS,PASS,Available and aligned with mapped lesson/practice use.
