item_id,section,lesson,quiz_type,question,answer,distractors,cefr_band,kp_target,lexical_target,skill_target,difficulty_stage,error_type,repair_link,source_ref
AEW2-U009-L1-Q01,Lesson 1,Snack Words,mcq,Choose the apple.,apple,milk | juice | water,Pre-A1.2,VOC snack words,apple,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-VOC-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q02,Lesson 1,Snack Words,mcq,Choose the banana.,banana,orange | cookie | milk,Pre-A1.2,VOC snack words,banana,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-VOC-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q03,Lesson 1,Snack Words,mcq,Choose the orange.,orange,water | bread | cookie,Pre-A1.2,VOC snack words,orange,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-VOC-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q04,Lesson 1,Snack Words,mcq,Choose the sandwich.,sandwich,juice | milk | apple,Pre-A1.2,VOC snack words,sandwich,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-VOC-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q05,Lesson 1,Snack Words,mcq,Choose the cookie.,cookie,banana | water | orange,Pre-A1.2,VOC snack words,cookie,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-VOC-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q06,Lesson 1,Snack Words,matching,Match: apple / banana / cookie.,apple=red fruit; banana=yellow fruit; cookie=round snack,,Pre-A1.2,VOC snack words,apple; banana; cookie,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-VOC-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q07,Lesson 1,Snack Words,gap_fill,Complete: This is an _____.,apple,,Pre-A1.2,VOC snack words,apple,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-VOC-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q08,Lesson 1,Snack Words,gap_fill,Complete: This is a _____.,banana,,Pre-A1.2,VOC snack words,banana,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-VOC-01,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q09,Lesson 1,Snack Words,true_false,A sandwich is a drink.,False,True,Pre-A1.2,VOC snack/drink difference,sandwich; drink,Listening,easy,vocabulary confusion,AEW2-U009-Repair-VOC-02,IMG03/IMG04 + Lesson 1 word set
AEW2-U009-L1-Q10,Lesson 1,Snack Words,mcq,Which one is a snack?,cookie,water | milk | juice,Pre-A1.2,VOC snack/drink difference,snack,Vocabulary/Grammar,easy,vocabulary confusion,AEW2-U009-Repair-VOC-02,IMG03/IMG04 + Lesson 1 word set
