type,kp
allowed,Listen.
allowed,Look.
allowed,Point.
allowed,Say.
allowed,Say it again.
allowed,One more time.
allowed,Stand up.
allowed,Sit down.
allowed,Open your book.
allowed,Close your book.
allowed,Read.
allowed,Write.
allowed,Stop.
allowed,please
allowed,classroom command recognition
allowed,imperatives as memorized chunks
allowed,command plus action matching
allowed,classroom action recording
review,Hello.
review,Hi.
review,Goodbye.
review,I'm + name
review,Leo
review,Mia
review,Emma
review,Toto
review,red/blue/yellow/green as optional card colors
review,numbers 1-5 as optional sequence support
blocked,animals and animal sounds
blocked,I like / I don't like
blocked,family
blocked,age
blocked,countries and nationalities
blocked,geography and map content
blocked,full imperative grammar explanation
blocked,complex modal forms
blocked,long self-introductions
blocked,prepositions and classroom location grammar
blocked,plural grammar explanation

