Image_ID,Filename,Primary_Use,Linked_Content
IMG01,AEW2_U007_IMG01_cover_toy_box_mystery.png,Unit cover,Unit opener
IMG02,AEW2_U007_IMG02_unit_story_toy_box_scene.png,Unit story / Watch opening,"Unit opener, Watch"
IMG03,AEW2_U007_IMG03_lesson1_meet_the_toys.png,Lesson 1 anchor,Toy words
IMG04,AEW2_U007_IMG04_lesson1_toy_vocabulary_shelf.png,Lesson 1 vocabulary board,Toy word Practice
IMG05,AEW2_U007_IMG05_lesson2_in_the_box_scene.png,Lesson 2 anchor,in the box
IMG06,AEW2_U007_IMG06_lesson2_in_position_visual.png,Lesson 2 grammar visual,in + place
IMG07,AEW2_U007_IMG07_lesson3_on_the_shelf_scene.png,Lesson 3 anchor,on the shelf/table
IMG08,AEW2_U007_IMG08_lesson3_on_position_visual.png,Lesson 3 grammar visual,on + place
IMG09,AEW2_U007_IMG09_lesson4_under_the_table_scene.png,Lesson 4 anchor,under the table
IMG10,AEW2_U007_IMG10_lesson4_under_position_visual.png,Lesson 4 grammar visual,under + place
IMG11,AEW2_U007_IMG11_lesson5_where_is_the_toy_scene.png,Lesson 5 anchor,Where is...?
IMG12,AEW2_U007_IMG12_lesson5_mixed_location_room_scene.png,Lesson 5 mixed scene,in/on/under mixed
IMG13,AEW2_U007_IMG13_lesson6_toy_hunt_clue_trail.png,Lesson 6 anchor,toy hunt clues
IMG14,AEW2_U007_IMG14_lesson6_clue_table_visual.png,Lesson 6 clue table,clue Practice
IMG15,AEW2_U007_IMG15_lesson6_search_and_find_scene.png,Lesson 6 search scene,find toy in/on/under
IMG16,AEW2_U007_IMG16_lesson7_project_rehearsal_scene.png,Lesson 7 rehearsal,project rehearsal
IMG17,AEW2_U007_IMG17_lesson7_project_model_toy_location_page.png,Lesson 7 project model,Toy Location Page
IMG18,AEW2_U007_IMG18_repair_in_on_visual.png,Repair visual,in/on repair
IMG19,AEW2_U007_IMG19_repair_under_where_is_visual.png,Repair visual,under/Where is repair
IMG20,AEW2_U007_IMG20_project_sharing_scene.png,Project sharing,portfolio celebration
