item_id,section,level,quiz_type,kp_focus,prompt,option_a,option_b,option_c,correct_answer,try_again_feedback,correct_feedback,image_ref,audio_ref
U3-L1-01,L1,Pre-A1.1,count_and_choose,numbers 0–5,Look: no stars. How many?,0,1,2,0,"Try again. Look, count, and choose again.",Correct answer: 0,Image 3,audio/l1_01.mp3
U3-L1-02,L1,Pre-A1.1,count_and_choose,numbers 0–5,Look: 1 star. Choose the number.,1,3,5,1,"Try again. Look, count, and choose again.",Correct answer: 1,Image 2,audio/l1_02.mp3
U3-L1-03,L1,Pre-A1.1,count_and_choose,numbers 0–5,Look: 2 flowers. Choose the number.,2,4,5,2,"Try again. Look, count, and choose again.",Correct answer: 2,Image 2,audio/l1_03.mp3
U3-L1-04,L1,Pre-A1.1,count_and_choose,numbers 0–5,Look: 3 balls. Choose the number.,2,3,4,3,"Try again. Look, count, and choose again.",Correct answer: 3,Image 2,audio/l1_04.mp3
U3-L1-05,L1,Pre-A1.1,count_and_choose,numbers 0–5,Look: 4 leaves. Choose the number.,1,4,5,4,"Try again. Look, count, and choose again.",Correct answer: 4,Image 2,audio/l1_05.mp3
U3-L1-06,L1,Pre-A1.1,count_and_choose,numbers 0–5,Look: 5 apples. Choose the number.,3,4,5,5,"Try again. Look, count, and choose again.",Correct answer: 5,Image 2,audio/l1_06.mp3
U3-L1-07,L1,Pre-A1.1,word_to_number,numbers 0–5,Choose the number word: 0 = ___.,zero,one,two,zero,"Try again. Look, count, and choose again.",Correct answer: zero,Image 3,audio/l1_07.mp3
U3-L1-08,L1,Pre-A1.1,word_to_number,numbers 0–5,Choose the number word: 4 = ___.,three,four,five,four,"Try again. Look, count, and choose again.",Correct answer: four,Image 3,audio/l1_08.mp3
U3-L1-09,L1,Pre-A1.1,sequence,numbers 0–5,"Choose the next number: 0, 1, 2, ___.",3,4,5,3,"Try again. Look, count, and choose again.",Correct answer: 3,Image 3,audio/l1_09.mp3
U3-L1-10,L1,Pre-A1.1,sequence,numbers 0–5,"Choose the next number: 2, 3, 4, ___.",0,1,5,5,"Try again. Look, count, and choose again.",Correct answer: 5,Image 3,audio/l1_10.mp3
U3-L1-11,L1,Pre-A1.1,phrase_match,numbers 0–5; plural noticing,Look: 1 star. Choose the phrase.,one star,two stars,five apples,one star,"Try again. Look, count, and choose again.",Correct answer: one star,Image 2,audio/l1_11.mp3
