filename,image_id,course,unit,lesson,image_type,characters,style,generation_size,aspect_ratio,display_width,kp_link,lexical_link,quiz_link,text_in_image,alt_text,expandable,safety_check,clothing_check,political_check,notes
assets/images/AWV2_U005_IMG01_cover_animal_friends.jpg,AWV2-U005-IMG01,Adventure English World V2,5,Unit cover,cover_animal_friends,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,"Cover image: Leo, Mia, Emma, Toto and animal friends in a sunny garden.",yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG02_lesson1_anchor_animals.jpg,AWV2-U005-IMG02,Adventure English World V2,5,Lesson 1,lesson1_anchor_animals,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,"Lesson 1 anchor: children with dog, cat, bird, fish, and Toto.",yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG03_dog_word_card.jpg,AWV2-U005-IMG03,Adventure English World V2,5,Lesson 1,dog_word_card,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Dog focus: Leo points to a friendly dog.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG04_cat_word_card.jpg,AWV2-U005-IMG04,Adventure English World V2,5,Lesson 1,cat_word_card,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Cat focus: Mia shows a cat card beside a calm cat.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG05_bird_word_card.jpg,AWV2-U005-IMG05,Adventure English World V2,5,Lesson 1,bird_word_card,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Bird focus: Emma watches a small bird on a branch.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG06_fish_word_card.jpg,AWV2-U005-IMG06,Adventure English World V2,5,Lesson 1,fish_word_card,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Fish focus: Toto looks at a fish bowl from a safe distance.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG07_lesson2_anchor_more_animals.jpg,AWV2-U005-IMG07,Adventure English World V2,5,Lesson 2,lesson2_anchor_more_animals,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,"Lesson 2 anchor: rabbit, duck, frog, and turtle cards.",yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG08_rabbit_word_card.jpg,AWV2-U005-IMG08,Adventure English World V2,5,Lesson 2,rabbit_word_card,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Rabbit focus: Mia shows a rabbit card beside a calm rabbit.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG09_duck_word_card.jpg,AWV2-U005-IMG09,Adventure English World V2,5,Lesson 2,duck_word_card,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Duck focus: Leo and Mia notice a duck by a pond.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG10_frog_word_card.jpg,AWV2-U005-IMG10,Adventure English World V2,5,Lesson 2,frog_word_card,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Frog focus: Toto notices a friendly frog on a leaf.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG11_turtle_word_card.jpg,AWV2-U005-IMG11,Adventure English World V2,5,Lesson 2,turtle_word_card,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Turtle focus: Emma points gently to a turtle on grass.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG12_its_a_animal_cards.jpg,AWV2-U005-IMG12,Adventure English World V2,5,Lesson 3,its_a_animal_cards,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,It is a scene: children hold animal cards in class.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG13_i_like_animal_choices.jpg,AWV2-U005-IMG13,Adventure English World V2,5,Lesson 4,i_like_animal_choices,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,I like animals: children point to animal cards.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG14_mia_likes_cats.jpg,AWV2-U005-IMG14,Adventure English World V2,5,Lesson 4,mia_likes_cats,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Mia likes cats: Mia warmly chooses a cat card.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG15_emma_likes_birds.jpg,AWV2-U005-IMG15,Adventure English World V2,5,Lesson 4,emma_likes_birds,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Emma likes birds: Emma holds a bird card.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG16_like_dont_like_contrast.jpg,AWV2-U005-IMG16,Adventure English World V2,5,Lesson 5,like_dont_like_contrast,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Like and do not like contrast: dog card and frog card with children and Toto.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG17_listen_and_point.jpg,AWV2-U005-IMG17,Adventure English World V2,5,Lesson 6,listen_and_point,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Listen and point: children point to animal picture cards.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG18_toto_animal_trail.jpg,AWV2-U005-IMG18,Adventure English World V2,5,Lesson 6,toto_animal_trail,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Toto follows paw prints past animal friends on a garden path.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG19_project_preparation.jpg,AWV2-U005-IMG19,Adventure English World V2,5,Lesson 7,project_preparation,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Project preparation: children make animal choice cards.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
assets/images/AWV2_U005_IMG20_final_project_presentation.jpg,AWV2-U005-IMG20,Adventure English World V2,5,Final Project,final_project_presentation,"Leo, Mia, Emma, Toto as applicable",warm 3D semi-realistic educational coursebook,optimized 1280px max width,mixed,coursebook responsive,animal vocabulary; It is a; I like; I do not like; animal choice card,"dog, cat, bird, fish, rabbit, duck, frog, turtle",Practice items by lesson,minimal/visual only; critical language repeated in HTML,Final project presentation: children show completed animal choice cards.,yes,passed,passed,passed,Final approved visual asset for Unit 5 package
