Item_ID,Section,Item_No,Skill,KP_Target,Source_Image,Item_Type,Prompt,Option_A,Option_B,Option_C,Option_D,Correct_Option,Correct_Answer,Feedback,Difficulty,Repair_Link
AEW2-U007-L1-Q01,Lesson 1,1,Vocabulary,VOC toy words,"IMG03, IMG04",picture_choice,Look at the round toy ball. Choose the word.,car,robot,ball,kite,C,ball,Correct. The round toy is a ball.,Easy,Toy word picture review
AEW2-U007-L1-Q02,Lesson 1,2,Vocabulary,VOC toy words,"IMG03, IMG04",picture_choice,Look at the toy car. Choose the word.,doll,kite,blocks,car,D,car,Correct. The small vehicle toy is a car.,Easy,Toy word picture review
AEW2-U007-L1-Q03,Lesson 1,3,Vocabulary,VOC toy words,"IMG03, IMG04",picture_choice,Look at the toy doll. Choose the word.,doll,robot,ball,train,A,doll,Correct. The toy girl figure is a doll.,Easy,Toy word picture review
AEW2-U007-L1-Q04,Lesson 1,4,Vocabulary,VOC toy words,"IMG03, IMG04",picture_choice,Look at the toy robot. Choose the word.,doll,robot,kite,teddy bear,B,robot,Correct. The toy with metal body is a robot.,Easy,Toy word picture review
AEW2-U007-L1-Q05,Lesson 1,5,Vocabulary,VOC toy words,"IMG03, IMG04",picture_choice,Look at the toy kite. Choose the word.,ball,car,kite,blocks,C,kite,Correct. The flying toy is a kite.,Easy,Toy word picture review
AEW2-U007-L1-Q06,Lesson 1,6,Vocabulary,VOC toy words,"IMG03, IMG04",picture_choice,Look at the soft bear toy. Choose the word.,robot,train,kite,teddy bear,D,teddy bear,Correct. The soft bear toy is a teddy bear.,Easy,Toy word picture review
AEW2-U007-L1-Q07,Lesson 1,7,Vocabulary,VOC toy words,"IMG03, IMG04",picture_choice,Look at the toy blocks. Choose the word.,blocks,ball,doll,kite,A,blocks,Correct. The cube toys are blocks.,Easy,Toy word picture review
AEW2-U007-L1-Q08,Lesson 1,8,Vocabulary,VOC toy words,"IMG03, IMG04",picture_choice,Look at the toy train. Choose the word.,car,train,teddy bear,doll,B,train,Correct. The toy with small cars on a track is a train.,Easy,Toy word picture review
AEW2-U007-L1-Q09,Lesson 1,9,Vocabulary,VOC toy words,"IMG03, IMG04",word_match,Choose the word for the blue-and-red round toy.,robot,doll,ball,train,C,ball,Correct. Ball is the round toy.,Easy,Toy word picture review
AEW2-U007-L1-Q10,Lesson 1,10,Vocabulary,VOC toy words,"IMG03, IMG04",word_match,Choose the toy word that matches the small red vehicle.,kite,blocks,teddy bear,car,D,car,Correct. Car matches the small vehicle.,Easy,Toy word picture review
AEW2-U007-L1-Q11,Lesson 1,11,Vocabulary,VOC toy words,"IMG03, IMG04",word_match,Which word is a toy word from the shelf?,robot,open,listen,please,A,robot,Correct. Robot is a toy word.,Easy,Toy word picture review
AEW2-U007-L1-Q12,Lesson 1,12,Vocabulary,VOC toy words,"IMG03, IMG04",word_match,Choose the word for many small cube toys.,ball,blocks,dog,dad,B,blocks,Correct. Blocks are small cube toys.,Easy,Toy word picture review
AEW2-U007-L2-Q01,Lesson 2,1,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Complete: It’s ___ the box.,on,under,toy,in,D,in,Correct. Inside the box = in.,Easy,In the box repair
AEW2-U007-L2-Q02,Lesson 2,2,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Choose the best sentence for a toy inside the box.,It's in the box.,It's on the box.,It's under the table.,Where is the box?,A,It's in the box.,Correct. The toy is inside the box.,Easy,In the box repair
AEW2-U007-L2-Q03,Lesson 2,3,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Where is the robot?,It's on the shelf.,It's in the box.,It's under the table.,It's a kite.,B,It's in the box.,Correct. The robot is in the box.,Easy,In the box repair
AEW2-U007-L2-Q04,Lesson 2,4,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,The teddy bear is inside. Choose the place word.,on,under,in,where,C,in,Correct. Inside means in.,Easy,In the box repair
AEW2-U007-L2-Q05,Lesson 2,5,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Choose the place phrase.,on the shelf,under the table,toy box,in the box,D,in the box,Correct. The toy is in the box.,Easy,In the box repair
AEW2-U007-L2-Q06,Lesson 2,6,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,What word goes with the picture of a toy inside?,in,on,under,car,A,in,Correct. A toy inside is in.,Easy,In the box repair
AEW2-U007-L2-Q07,Lesson 2,7,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Complete: It’s in the ___.,shelf,box,table,kite,B,box,Correct. It’s in the box.,Easy,In the box repair
AEW2-U007-L2-Q08,Lesson 2,8,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Choose the answer to: Where is the teddy bear?,Where is the bear?,It's on the shelf.,It's in the box.,It's under the table.,C,It's in the box.,Correct. This is a short location answer.,Easy,In the box repair
AEW2-U007-L2-Q09,Lesson 2,9,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Choose the correct place word: toy ___ box.,on,under,who,in,D,in,Correct. Use in with a toy inside the box.,Easy,In the box repair
AEW2-U007-L2-Q10,Lesson 2,10,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Which answer uses in?,It's in the box.,It's on the shelf.,It's under the table.,It's a robot.,A,It's in the box.,Correct. This sentence uses in.,Easy,In the box repair
AEW2-U007-L2-Q11,Lesson 2,11,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Look at the toy box. Which word tells the place?,doll,in,kite,train,B,in,Correct. In tells the place.,Easy,In the box repair
AEW2-U007-L2-Q12,Lesson 2,12,Grammar,GRM in + place / CHK It's in the box,"IMG05, IMG06",gap_or_choice,Choose the correct chunk.,In it's box.,It's under on.,It's in the box.,Where in toy?,C,It's in the box.,Correct. It’s in the box is the correct chunk.,Easy,In the box repair
AEW2-U007-L3-Q01,Lesson 3,1,Grammar,GRM on + place / CHK It's on the shelf,"IMG07, IMG08",gap_or_choice,Complete: It’s ___ the shelf.,on,in,under,toy,A,on,Correct. Sitting on top = on.,Easy,On the shelf repair
