Field,Value
Course,Adventure English World V2
Unit Number,10
Unit Title,Family Tree
Unit Code,AEW2_U010
Unit Type,Normal unit
CEFR / FLW Band,Pre-A1.2
Learner Age / Identity,"Children, about 7–8 years old; Pre-A1 visual-supported learners"
Character Age Band,"Pre-A1: Leo, Mia, Emma about 7–8; Toto small dog"
Can-do Goal,I can introduce family or friends with simple phrases.
Main Situation,"Leo, Mia, Emma, and Toto make a friendly family/friend tree for show-and-tell."
Core KP Focus,VOC: family/friend words; GRM as fixed chunk: This is my…; CHK: Who’s this? / It’s my…
Final Project,My Family/Friend Poster
Portfolio Evidence,Learner creates a family/friend poster and says 3–4 simple lines using This is my…
Active Vocabulary Target,"12 active items: family, mom, dad, sister, brother, grandma, grandpa, friend, dog, tree, photo, card"
Receptive Vocabulary,"poster, show, draw, team, clue, album, picture"
Review Vocabulary,"hello, I’m…, my, colors, numbers 1–5, look, listen, point, draw, dog/Toto, in/on/under as visual review only"
Expressions / Chunks,This is my…; Who’s this?; It’s my…; This is Toto.; Hello!
Collocations,"family tree, photo card, my friend, my family, project poster"
Pronunciation / Phonics,Soft /ð/ in this; short chunk rhythm: This is my…; rising tone in Who’s this?
Allowed New KP,family/friend vocabulary; This is my… as memorized chunk; Who’s this? as fixed question; It’s my… as answer chunk
Review KP,my/your from Unit 8; polite classroom actions; colors/numbers as optional visual support; greetings
Blocked KP,his/her/our/their; possessive 's; aunt/uncle/cousin/stepfamily as active language; family biography paragraphs; ages/address; he/she grammar; there is/are; has got
Reading Input Target,Very short picture-supported lines: This is my mom. This is my friend. 3–5 lines maximum.
Listening / Watch Target,Pre-A1 45–60 sec FLW-original silent/captioned or TTS-supported slideshow; repeated family chunks.
Speaking Output Target,3–4 short chunk lines: This is my mom. This is my friend. This is Toto.
Writing Output Target,Label names/words on a poster; copied or selected chunks only.
Practice Target,"108 planned on-page Practice items: Lessons 1–7 = 84, Watch = 12, Project readiness = 12."
Image Budget,24 images: 14 lesson/project assets + 5 Watch frames + 5 repair/review/project support images.
Watch Title,Toto’s Photo Tree
Audio/TTS Plan,Adventure Edge TTS: Ana for Mia/Emma and project model; Maisie for Leo/story; Video uses Maisie + Ana later.
Repair Path,Vocabulary confusion → picture-word review; chunk error → This is my… sentence builder; question confusion → Who’s this? reply practice; low confidence → model + repeat.
AI Checker Plan,"Pre-A1 speaking confidence check: target chunks, intelligibility, task completion, pronunciation of this / family words; teacher override."
Visual Identity,"Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images."
Global Negative Prompt,"no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos"
Next Step,Generate IMG01 only first for visual identity + text + clothing QA.
