Field,Value
Course,Adventure English World V2
Unit Number,7
Unit Code,AEW2_U007
Unit Title,Toy Box Mystery
CEFR / FLW Band,Pre-A1.2
Learner Age,Children about 7–8
Can-do Goal,I can name toys and say where something is.
Main Situation,"Toto hides a toy in the classroom toy box. Leo, Mia, and Emma find toys and say where they are."
Core KP,toy words; prepositions in/on/under; fixed chunks: Where is the ___? It's in/on/under the ___.
Final Project,My Toy Location Page
Practice Target,"108 on-page Practice items: Lessons 1–7 = 84, Watch = 12, Project = 12"
Allowed KP,"toys: ball, car, doll, robot, kite, teddy bear, blocks, train, toy box, shelf, table; in/on/under; Where is the ___?; It's in/on/under the ___."
Review KP,"hello; colors; numbers 1–5; classroom actions: look, listen, point, draw; dog/Toto from animal review"
Blocked KP,there is/are; this/that/these/those; furniture unit grammar; possessives beyond my/your recognition; long family/personal descriptions; prices/money; past/future; writing paragraphs
Image Set,20 uploaded images: IMG01–IMG20
