Image_ID,Target_Filename,Actual_File,Canonical_Copy,Exists_In_Workspace,Dimensions,Bytes,MD5_12,Section,Purpose,Visual_Status,Audit_Note
AEW2_U010_IMG01,AEW2_U010_IMG01_cover_family_tree.png,a_bright_colorful_kid_friendly_3d_illustrated_cl.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG01_cover_family_tree.png,True,1313x1198,2387799,894f3ec09faa,Cover,Unit identity; introduce family/friend tree mission,PASS,Cover title and mission context align; all four characters and tree poster present.
AEW2_U010_IMG02,AEW2_U010_IMG02_l1_family_word_board.png,a_bright_classroom_style_educational_poster_board.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG02_l1_family_word_board.png,True,1367x1151,2110882,6c51af007e38,Lesson 1,Picture-word support for family/friend words,PASS,Eight word cards appear with readable labels for family/friend vocabulary.
AEW2_U010_IMG03,AEW2_U010_IMG03_l1_leo_photo_cards.png,a_bright_warm_high_quality_3d_cgi_cartoon_classr.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG03_l1_leo_photo_cards.png,True,1359x1158,2348687,7c2bc3267db1,Lesson 1,Leo recognizes family/friend photo cards,PASS_WITH_NOTE,Leo/Toto photo-card scene aligns; extra small card labels are acceptable for Lesson 1 picture-word support.
AEW2_U010_IMG04,AEW2_U010_IMG04_l2_this_is_my_model.png,a_bright_cheerful_classroom_scene_educational_i.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG04_l2_this_is_my_model.png,True,1402x1122,2150982,0f0581849d30,Lesson 2,Model chunk: This is my…,PASS,Mia presents one card; the sentence frame “This is my ___.” is large and clear.
AEW2_U010_IMG05,AEW2_U010_IMG05_l2_photo_card_choices.png,a_warm_bright_tabletop_scene_with_a_clean_flat_l.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG05_l2_photo_card_choices.png,True,1402x1122,2099971,6fe4c1131202,Lesson 2,Controlled choices for This is my… sentences,PASS,Four clear classroom photo cards support matching and sentence completion.
AEW2_U010_IMG06,AEW2_U010_IMG06_l3_whos_this_question.png,a_brightly_lit_cheerful_3d_cgi_classroom_scene_o.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG06_l3_whos_this_question.png,True,1402x1122,2180384,e82204cbc698,Lesson 3,Ask and answer Who’s this?,PASS,Leo points to a mystery card and the speech bubble “Who’s this?” is large and readable.
AEW2_U010_IMG07,AEW2_U010_IMG07_l3_reply_cards.png,a_bright_friendly_classroom_learning_scene_3d_cg.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG07_l3_reply_cards.png,True,1402x1122,2139623,84b34f981c22,Lesson 3,Answer options for It’s my…,PASS,Emma holds “It’s my ___.” and Toto/dog card make the intended answer clear.
AEW2_U010_IMG08,AEW2_U010_IMG08_l4_this_is_my_friend.png,a_bright_colorful_3d_cgi_classroom_scene_overall.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG08_l4_this_is_my_friend.png,True,1402x1122,2174588,147debbee88d,Lesson 4,Show that friend can be used in project,PASS,Emma presents a friend card and the model sentence “This is my friend.” is clear.
AEW2_U010_IMG09,AEW2_U010_IMG09_l4_family_friend_sort.png,a_bright_clean_classroom_like_scene_on_a_wooden_t.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG09_l4_family_friend_sort.png,True,1402x1122,2114568,46062b3a0ed7,Lesson 4,Sort family and friend cards,PASS,Two clean columns and cards support family/friend sorting practice.
AEW2_U010_IMG10,AEW2_U010_IMG10_l5_mini_reading_cards.png,a_bright_colorful_classroom_reading_corner_scene.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG10_l5_mini_reading_cards.png,True,1402x1122,2152283,e31fbf9d1edc,Lesson 5,Mini reading with picture support,PASS,Three large reading cards show short picture-supported model lines.
AEW2_U010_IMG11,AEW2_U010_IMG11_l5_my_tree_model.png,a_bright_warm_cartoon_3d_illustration_style_clas.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG11_l5_my_tree_model.png,True,1402x1122,2155106,5d35ef47f9f5,Lesson 5,Mini family/friend tree with 4 lines,PASS,Leo and Toto stand beside a simple tree poster with short model lines.
AEW2_U010_IMG12,AEW2_U010_IMG12_l6_project_planning_table.png,crafting_joy_in_the_classroom.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG12_l6_project_planning_table.png,True,1448x1086,2413062,a8ba5c35c629,Lesson 6,Learners choose cards for poster,PASS,"Regenerated image shows Leo, Mia, Emma, and Toto arranging blank photo cards on a tree poster with clean project-planning materials."
AEW2_U010_IMG13,AEW2_U010_IMG13_l6_phrase_bank_board.png,a_bright_colorful_classroom_style_scene_with_a_la.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG13_l6_phrase_bank_board.png,True,1402x1122,1935213,d5ddd1b182c6,Lesson 6,Support project sentence frames,PASS,Phrase bank board shows the three target frames clearly: This is my ___ / Who’s this? / It’s my ___.
AEW2_U010_IMG14,AEW2_U010_IMG14_l7_say_and_show_model.png,a_bright_cheerful_classroom_scene_in_a_clean_3d.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG14_l7_say_and_show_model.png,True,1402x1122,2156574,5c1ca2301946,Lesson 7,Model short poster presentation,PASS,Show-and-tell model aligns with short presentation language and poster support.
AEW2_U010_IMG15,AEW2_U010_IMG15_l7_self_check_badge.png,a_bright_cheerful_3d_cgi_classroom_scene_overall.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG15_l7_self_check_badge.png,True,1402x1122,2161002,baf747608d2d,Lesson 7,Progress/self-check support,PASS,"Self-check cards show “3 lines,” “clear voice,” and “smile” in an encouraging way."
AEW2_U010_IMG16,AEW2_U010_IMG16_watch_frame01_toto_finds_cards.png,wide_bright_3d_cgi_children_s_illustration_scene.png,AEW2_U010_canonical_image_assets_v2/AEW2_U010_IMG16_watch_frame01_toto_finds_cards.png,True,1672x941,2168536,4ac2b784689b,Watch,Opening frame: Toto finds photo cards,PASS,Watch opening frame establishes the photo-card mystery and leaves subtitle space.
