field,entry
Course,Adventure English World V2
Unit Number,8
Unit Title,Body Move Quest
CEFR Band,Pre-A1
Micro-band,Pre-A1.2
Learner Age / Identity,"children, about 7–8"
Can-do Goal,I can name body parts and follow movement instructions.
New KP,body parts; Touch your …; my/your fixed chunks
Review KP,greetings; listen/look/point; numbers 1–4; Toto clues
Blocked KP,health advice; should/shouldn’t; can/can’t; prices; restaurant/café language; long writing
Active Vocabulary Target,9 body words + 5 action words
Input Target,picture-supported words and short commands
Output Target,4-line movement chant
Practice Item Difficulty Mix,"recognition, matching, gap fill, sequencing, repair"
Watch Target,54-second silent/captioned slideshow with 12 items
Project Output Requirement,perform 4-line chant
Repair Path,picture-word review; listen again; try again
Portfolio Evidence,movement chant performance
Difficulty Audit Result,pass
