id,course,unit,section,lesson,type,difficulty,cefr_band,kp_target,lexical_target,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect,repair_link
AEW2-U011-L1-Q01,Adventure English World V2,11,Lesson 1,Meet the Weather,mcq,easy,Pre-A1.2,VOC weather words,sunny,Choose the sunny picture word.,sunny,rainy,windy,cloudy,sunny,Correct. Sunny has sun.,Try again. Look for the sun.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q02,Adventure English World V2,11,Lesson 1,Meet the Weather,mcq,easy,Pre-A1.2,VOC weather words,rainy,Choose the rainy picture word.,windy,cloudy,rainy,sunny,rainy,Correct. Rainy has rain.,Try again. Look for rain.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q03,Adventure English World V2,11,Lesson 1,Meet the Weather,mcq,easy,Pre-A1.2,VOC weather words,windy,Choose the windy picture word.,cloudy,windy,rainy,sunny,windy,Correct. Windy has moving leaves.,Try again. Look for wind or moving leaves.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q04,Adventure English World V2,11,Lesson 1,Meet the Weather,mcq,easy,Pre-A1.2,VOC weather words,cloudy,Choose the cloudy picture word.,sunny,rainy,cloudy,windy,cloudy,Correct. Cloudy has many clouds.,Try again. Look for clouds.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q05,Adventure English World V2,11,Lesson 1,Meet the Weather,matching,easy,Pre-A1.2,VOC weather words,sunny,Match the sun picture.,sunny,rainy,boots,coat,sunny,Correct. The sun picture is sunny.,Try again. Sun means sunny.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q06,Adventure English World V2,11,Lesson 1,Meet the Weather,matching,easy,Pre-A1.2,VOC weather words,rainy,Match the rain picture.,rainy,sunny,hat,shoes,rainy,Correct. Rain means rainy.,Try again. Rain means rainy.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q07,Adventure English World V2,11,Lesson 1,Meet the Weather,true_false,easy,Pre-A1.2,VOC weather words,cloudy,Cloudy means many clouds.,true,false,,,true,Correct. Cloudy means many clouds.,Try again. Look for many clouds.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q08,Adventure English World V2,11,Lesson 1,Meet the Weather,true_false,easy,Pre-A1.2,VOC weather words,windy,Windy means the leaves move.,true,false,,,true,Correct. Windy can move leaves.,Try again. Moving leaves show windy.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q09,Adventure English World V2,11,Lesson 1,Meet the Weather,mcq,medium,Pre-A1.2,VOC weather words,windy,Leaves move outside. Choose the weather.,rainy,windy,sunny,cloudy,windy,Correct. Moving leaves show windy.,Try again. Look at the leaves.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q10,Adventure English World V2,11,Lesson 1,Meet the Weather,mcq,medium,Pre-A1.2,VOC weather words,cloudy,The sky has many clouds. Choose the weather.,cloudy,rainy,sunny,hat,cloudy,Correct. Many clouds show cloudy.,Try again. Choose the weather word.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q11,Adventure English World V2,11,Lesson 1,Meet the Weather,vocabulary_in_context,medium,Pre-A1.2,VOC weather words,sunny/rainy,Which pair is weather only?,sunny and rainy,coat and boots,hat and shoes,umbrella and sweater,sunny and rainy,Correct. Sunny and rainy are weather words.,"Try again. Choose weather words, not clothes.",AEW2-U011-Repair-WEATHER-01
AEW2-U011-L1-Q12,Adventure English World V2,11,Lesson 1,Meet the Weather,sentence_build,medium,Pre-A1.2,CHK simple sentence,It's sunny.,Build the sentence for sun.,It's sunny.,It's boots.,Choose rainy.,Hat sunny.,It's sunny.,Correct. It's sunny.,Try again. Use It's + weather.,AEW2-U011-Repair-WEATHER-01
AEW2-U011-L2-Q01,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,mcq,easy,Pre-A1.2,CHK It's + weather,It's sunny.,Choose the sunny sentence.,It's sunny.,It's rainy.,Choose boots.,This is my hat.,It's sunny.,Correct. It's sunny.,Try again. Look for the sun.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q02,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,mcq,easy,Pre-A1.2,CHK It's + weather,It's rainy.,Choose the rainy sentence.,It's windy.,It's rainy.,I want juice.,Choose shoes.,It's rainy.,Correct. It's rainy.,Try again. Look for rain.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q03,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,gap_fill,easy,Pre-A1.2,CHK It's + weather,sunny,It's ____.,sunny,boots,hat,coat,sunny,Correct. It's sunny.,Try again. Use a weather word.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q04,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,gap_fill,easy,Pre-A1.2,CHK It's + weather,rainy,It's ____.,umbrella,rainy,T-shirt,shoes,rainy,Correct. It's rainy.,Try again. Use a weather word.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q05,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,mcq,easy,Pre-A1.2,VOC weather words,sunny,Sun outside. What is it?,sunny,rainy,boots,umbrella,sunny,Correct. Sun means sunny.,Try again. Look for the sun.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q06,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,mcq,easy,Pre-A1.2,VOC weather words,rainy,Rain outside. What is it?,cloudy,hat,rainy,sunny,rainy,Correct. Rain means rainy.,Try again. Look for rain.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q07,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,matching,medium,Pre-A1.2,Weather/clothes link,sunny + hat,Match sunny day.,hat,boots,coat,umbrella,hat,Correct. A hat can go with a sunny day.,Try again. Look at the sunny side.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q08,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,matching,medium,Pre-A1.2,Weather/clothes link,rainy + boots,Match rainy day.,T-shirt,hat,boots,shoes,boots,Correct. Boots can go with a rainy day.,Try again. Look at the rainy side.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q09,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,true_false,medium,Pre-A1.2,Weather recognition,sunny/rainy,It's sunny means rain outside.,true,false,,,false,"Correct. Sunny means sun, not rain.",Try again. Sunny has sun.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q10,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,true_false,medium,Pre-A1.2,Weather recognition,rainy,It's rainy means rain outside.,true,false,,,true,Correct. Rainy means rain outside.,Try again. Look for rain.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q11,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,choose_best_reply,medium,Pre-A1.2,SI simple response,It's sunny.,Look! Sun! Choose a reply.,It's sunny.,It's rainy.,Choose boots.,I'm Leo.,It's sunny.,Correct. Sun matches sunny.,Try again. Match the weather.,AEW2-U011-Repair-ITS-01
AEW2-U011-L2-Q12,Adventure English World V2,11,Lesson 2,It's Sunny / It's Rainy,choose_best_reply,medium,Pre-A1.2,SI simple response,It's rainy.,Look! Rain! Choose a reply.,It's windy.,It's rainy.,Choose a hat.,This is my mom.,It's rainy.,Correct. Rain matches rainy.,Try again. Match the weather.,AEW2-U011-Repair-ITS-01
AEW2-U011-L3-Q01,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,mcq,easy,Pre-A1.2,VOC weather words,windy,Choose the windy word.,windy,cloudy,coat,boots,windy,Correct. Windy shows moving air.,Try again. Look for moving leaves.,AEW2-U011-Repair-ITS-02
AEW2-U011-L3-Q02,Adventure English World V2,11,Lesson 3,It's Windy / It's Cloudy,mcq,easy,Pre-A1.2,VOC weather words,cloudy,Choose the cloudy word.,rainy,sunny,cloudy,umbrella,cloudy,Correct. Cloudy shows clouds.,Try again. Look for clouds.,AEW2-U011-Repair-ITS-02
