audio_id,filename,section,title,type,text_source,status,notes
u007_opener_situation,u007_opener_situation.mp3,Unit Opener,Toy Box Mystery,block-level placeholder,toy box / Where is the toy? / It's in the box.,placeholder; audio to be added later,No generated audio included in this package.
u007_l1_toy_words,u007_l1_toy_words.mp3,Lesson 1,Meet the Toys,block-level placeholder,ball / car / doll / robot / kite / teddy bear / blocks / train,placeholder; audio to be added later,No generated audio included in this package.
u007_l2_in_the_box,u007_l2_in_the_box.mp3,Lesson 2,In the Box,block-level placeholder,Where is the teddy bear? It's in the box. / Where is the robot? It's in the box.,placeholder; audio to be added later,No generated audio included in this package.
u007_l3_on_the_shelf,u007_l3_on_the_shelf.mp3,Lesson 3,On the Shelf,block-level placeholder,Where is the car? It's on the shelf. / Where is the ball? It's on the table.,placeholder; audio to be added later,No generated audio included in this package.
u007_l4_under_the_table,u007_l4_under_the_table.mp3,Lesson 4,Under the Table,block-level placeholder,Where is the ball? It's under the table. / Where is the car? It's under the table.,placeholder; audio to be added later,No generated audio included in this package.
u007_l5_where_is_dialogue,u007_l5_where_is_dialogue.mp3,Lesson 5,Where Is the Toy?,block-level placeholder,A: Where is the robot? B: It's in the box. / A: Where is the car? B: It's on the shelf. / A: Where is the ball? B: It's under the table.,placeholder; audio to be added later,No generated audio included in this package.
u007_l6_toy_hunt,u007_l6_toy_hunt.mp3,Lesson 6,Toto's Toy Hunt,block-level placeholder,Clue: under. Where is the ball? It's under the table. / Clue: in. It's in the box.,placeholder; audio to be added later,No generated audio included in this package.
u007_l7_project_rehearsal,u007_l7_project_rehearsal.mp3,Lesson 7,Say and Show,block-level placeholder,Where is the ball? It's in the box. / Where is the car? It's on the shelf. / Where is the robot? It's under the table.,placeholder; audio to be added later,No generated audio included in this package.
u007_watch_story,u007_watch_story.mp3,Watch,Toto Finds the Robot,block-level placeholder,Where is the robot? It's in the box. / Where is the car? It's on the shelf. / Where is the ball? It's under the table.,placeholder; audio to be added later,No generated audio included in this package.
u007_project_model,u007_project_model.mp3,Final Project,My Toy Location Page,block-level placeholder,Where is the ball? It's in the box. / Where is the robot? It's on the shelf. / Where is the teddy bear? It's under the table.,placeholder; audio to be added later,No generated audio included in this package.
