audio_id,section,character,voice,text,audio_file,sha256
adventure-u7-1-1,model,Model,en-US-AnaNeural,toy box,assets/audio/generated/01_model_01.mp3,9809c51cf82ddb1c6b03c11ed5bcbe22109ea366945182de47eaab998a517122
adventure-u7-1-2,model,Model,en-US-AnaNeural,Where is the toy?,assets/audio/generated/01_model_02.mp3,bf4ed272a3d4f1c3043b1677e9c06a968b1bc6ad94c9cd312636d62bf09dd2f9
adventure-u7-1-3,model,Model,en-US-AnaNeural,"Point to the toy box and say: toy box. 🔊 Repair hint: Use the picture first. Say one toy word, then one place word. Lesson 1: Meet the Toys — I can recognize and say toy words. + + + Study Look at the toy shelf. Listen and point: ball, car, doll, robot,",assets/audio/generated/01_model_03.mp3,ee79b1c4a9ad2a9b1038c99a6e472f2dfb22880ee4c23477926e13f91ae74494
adventure-u7-1-4,model,Model,en-US-AnaNeural,car,assets/audio/generated/01_model_04.mp3,1846a48e6a60881cbfedaaa4dbf392cfb5ebdd1fe48f3d7c6231a80c7b1d707b
adventure-u7-1-5,model,Model,en-US-AnaNeural,doll,assets/audio/generated/01_model_05.mp3,55b2905d8f587cf97c867aea4d7feb5fb2608ad8db2747967501eac5bd264a15
adventure-u7-1-6,model,Model,en-US-AnaNeural,robot,assets/audio/generated/01_model_06.mp3,584c94d500685bf53ec102256efc2668fe81c842582e94bab306a5ce76a1732d
adventure-u7-1-7,model,Model,en-US-AnaNeural,kite,assets/audio/generated/01_model_07.mp3,0f1a5719c3f4407f955cc01956e28623b46feb990e7548c5efef0fd6a3582b0a
adventure-u7-1-8,model,Model,en-US-AnaNeural,teddy bear,assets/audio/generated/01_model_08.mp3,ba0c928dc2f1b88a4e6d202fdde7bfb8e955c234bb41687cbfd2e3b22ee93980
adventure-u7-1-model,model,combined,mixed,"toy box / Where is the toy? / Point to the toy box and say: toy box. 🔊 Repair hint: Use the picture first. Say one toy word, then one place word. Lesson 1: Meet the Toys — I can recognize and say toy words. + + + Study Look at the toy shelf. Listen and point: ball, car, doll, robot, / car / doll / robot / kite / teddy bear",assets/audio/generated/01_model_model.mp3,985fd4e6120ad2f4c080d44720ebda9c1b468a041526aef81e4348fe6052a9c2
adventure-u7-2-1,model,Model,en-US-AnaNeural,Where is the teddy bear? It's in the box.,assets/audio/generated/02_model_01.mp3,c7c9b879b72c22d17be4e1f3dfa93fcb199cec73da7ac9f353f5307d4531d962
adventure-u7-2-2,model,Model,en-US-AnaNeural,Where is the robot? It's in the box.,assets/audio/generated/02_model_02.mp3,b394f019aa36abc55ef3d5d3b0c3b324abcc4ee7cdcd895ab0745b1e15cd06a9
adventure-u7-2-model,model,combined,mixed,Where is the teddy bear? It's in the box. / Where is the robot? It's in the box.,assets/audio/generated/02_model_model.mp3,346e38ada7ad61cd849cda035bed64f94cf443f6477161de448d65abc0c22045
adventure-u7-3-1,model,Model,en-US-AnaNeural,Where is the car? It's on the shelf.,assets/audio/generated/03_model_01.mp3,74e6b3fad741bd6e94e05a307c59f56aa17474e6aec591797c15402f028b457f
adventure-u7-3-2,model,Model,en-US-AnaNeural,Where is the ball? It's on the table.,assets/audio/generated/03_model_02.mp3,98dfcdb2e93697f60c5fc2cf1b68a32a3f4031899d5cab87d4e3a10953ab1c5b
adventure-u7-3-model,model,combined,mixed,Where is the car? It's on the shelf. / Where is the ball? It's on the table.,assets/audio/generated/03_model_model.mp3,043a2456252c3f4f057351e13c272e3578a6bd181c86962145a671f060d37a28
adventure-u7-4-1,model,Model,en-US-AnaNeural,Where is the ball? It's under the table.,assets/audio/generated/04_model_01.mp3,17c14877e57ca7ee1312b0b43149a9246c05381a631800b60133fae479ec8d7a
adventure-u7-4-2,model,Model,en-US-AnaNeural,Where is the car? It's under the table.,assets/audio/generated/04_model_02.mp3,825461da5970c5124da2469cd0da8f5c20cd55d0259e98ed3ccb5dbb243a2a2d
adventure-u7-4-model,model,combined,mixed,Where is the ball? It's under the table. / Where is the car? It's under the table.,assets/audio/generated/04_model_model.mp3,21dd5f218370fc44b08732642d873f3c28f72f09d5a46a481b3e69ca3e2473da
adventure-u7-5-1,model,Model,en-US-AnaNeural,Where is the robot? B: It's in the box.,assets/audio/generated/05_model_01.mp3,8df141a05fd6b736b69899ca39d0b8e91f7263204e69f427239dd313614ec57a
adventure-u7-5-2,model,Model,en-US-AnaNeural,Where is the car? B: It's on the shelf.,assets/audio/generated/05_model_02.mp3,fce7941c9e39e0f47f9112226a2a0ac4777aa53e7a3d9350797686127203e6e7
adventure-u7-5-3,model,Model,en-US-AnaNeural,Where is the ball? B: It's under the table.,assets/audio/generated/05_model_03.mp3,4bae95ab4d285ccbb85af31e08ce81b4bd0bc4ecb49cec81c52a69d3273b36df
adventure-u7-5-model,model,combined,mixed,Where is the robot? B: It's in the box. / Where is the car? B: It's on the shelf. / Where is the ball? B: It's under the table.,assets/audio/generated/05_model_model.mp3,e8e050808cc8d7be8bacd45ddc63e746cd84de98c5175be108c67a1035085fa1
