section,title,can_do,image_ids,practice_count,practice_source_images,missing_images,alignment_status,notes
Unit Opener,Toy Box Mystery,I can name toys and say where something is.,"IMG01, IMG02",0,,,PASS,Cover and story scene introduce toy box mystery and characters.
Lesson 1,Meet the Toys,I can recognize and say toy words.,"IMG03, IMG04",12,"IMG03, IMG04",,PASS,"Toy vocabulary images support ball, car, doll, robot, kite, teddy bear, blocks, train."
Lesson 2,In the Box,I can say where a toy is with in.,"IMG05, IMG06",12,"IMG05, IMG06",,PASS,In-the-box scenes support the preposition in.
Lesson 3,On the Shelf,I can say where a toy is with on.,"IMG07, IMG08",12,"IMG07, IMG08",,PASS,On-shelf/table visuals support the preposition on.
Lesson 4,Under the Table,I can say where a toy is with under.,"IMG09, IMG10",12,"IMG09, IMG10",,PASS,Under-table visuals support the preposition under.
Lesson 5,Where Is the Toy?,I can ask and answer Where is the toy?,"IMG11, IMG12",12,"IMG11, IMG12",,PASS,Mixed-room visuals support Where is...? / It is in/on/under...
Lesson 6,Toto's Toy Hunt,"I can follow toy clues with in, on, and under.","IMG13, IMG14, IMG15",12,"IMG13, IMG14, IMG15",,PASS,Toy hunt and clue visuals support integrated location clues.
Lesson 7,Say and Show,I can prepare my toy location page.,"IMG16, IMG17",12,"IMG16, IMG17",,PASS,Project rehearsal and model page support Toy Location Page output.
Watch,Toto Finds the Robot,I can understand a short toy location story.,"IMG02, IMG05, IMG07, IMG09, IMG20",12,"IMG02, IMG05, IMG07, IMG09, IMG20",,PASS,Watch frames support short toy-location slideshow sequence.
Final Project,My Toy Location Page,I can show toys and say where they are.,"IMG17, IMG20",12,"IMG17, IMG20",,PASS,Project model/sharing scenes support final poster presentation.
