Section,Title,Can-do,Image IDs,Student-facing Input,Model Language,Try It / Output,Practice IDs,Audio Placeholder,Repair Hint,Portfolio Link
Unit Opener,Family Tree Mission,I can introduce family or friends with simple phrases.,IMG01,"Leo, Mia, Emma, and Toto find photo cards. They make a friendly tree poster. You can use family cards or friend cards.",This is my mom. / This is my friend. / This is Toto.,Point to one card and say one line.,,u010_opener_situation.mp3,"Use a card first, then choose one short line.",Project poster + 3 voice lines
Lesson 1,Family Words,I can recognize family and friend words.,"IMG02, IMG03","Look at the word cards. Listen and point: mom, dad, sister, brother, grandma, grandpa, friend, dog.",mom / dad / sister / brother / grandma / grandpa / friend / dog,Point to three cards and say the words.,AEW2-U010-L1-Q01 to AEW2-U010-L1-Q12,u010_l1_family_words.mp3,Match picture to word again. Say only the word first.,Choose words for poster cards
Lesson 2,This Is My...,I can say This is my... with a photo card.,"IMG04, IMG05",Mia shows a card. Leo listens. Use the frame: This is my ___.,This is my mom. / This is my dad. / This is my friend. / This is my dog.,Choose two cards and say two lines.,AEW2-U010-L2-Q01 to AEW2-U010-L2-Q12,u010_l2_this_is_my_model.mp3,"Start with This is my, then add one card word.",Poster sentence frame
Lesson 3,Who's This?,I can ask and answer Who's this?,"IMG06, IMG07",Leo points to a mystery card. Mia answers with a short line.,A: Who's this? B: It's my mom. / It's my friend.,Ask one question and answer with one card.,AEW2-U010-L3-Q01 to AEW2-U010-L3-Q12,u010_l3_whos_this_dialogue.mp3,Question: Who's this? Answer: It's my ___.,Poster show-and-tell Q&A
Lesson 4,Family and Friends,I can introduce a friend or Toto.,"IMG08, IMG09",Emma shows a friend card. You can make a poster with family cards or friend cards.,This is my friend. / This is Toto. / This is my dog.,Choose family or friend cards for your poster.,AEW2-U010-L4-Q01 to AEW2-U010-L4-Q12,u010_l4_family_friend_model.mp3,"If you do not want to use a family card, use a friend card.",Inclusive poster choice
Lesson 5,Read a Mini Tree,I can read very short family/friend lines.,"IMG10, IMG11",Read the big cards: This is my mom. This is my dad. This is my friend.,This is my mom. / This is my dad. / This is my friend. / This is Toto.,Read three lines with picture help.,AEW2-U010-L5-Q01 to AEW2-U010-L5-Q12,u010_l5_mini_reading.mp3,"Read the picture first, then read the line.",Read poster lines before speaking
Lesson 6,Make a Picture Tree,I can plan my family/friend poster.,"IMG12, IMG13",Choose 3 or 4 cards. Put them on a tree poster. Copy or choose the sentence frame.,This is my ___. / Who's this? / It's my ___.,Draft your poster with 3 or 4 cards and labels.,AEW2-U010-L6-Q01 to AEW2-U010-L6-Q12,u010_l6_project_phrase_bank.mp3,Use the phrase bank. Do not write long sentences.,Draft poster labels
Lesson 7,Say and Show,I can show my poster and say 3–4 lines.,"IMG14, IMG15",Mia shows her poster. Leo and Emma listen. Toto sits near the poster.,Hello. This is my mom. This is my friend. This is Toto.,Show your poster. Say 3 lines with a clear voice and a smile.,AEW2-U010-L7-Q01 to AEW2-U010-L7-Q12,u010_l7_say_and_show_model.mp3,"Use 3 lines, clear voice, and smile.",Final voice/presentation
Watch,Toto's Photo Tree,I can understand a short family/friend story.,IMG16–IMG20,Watch a short silent/captioned story. Toto finds photo cards. The team makes a tree poster.,This is my mom. / Who's this? / It's my friend. / This is Toto. / This is my tree.,"Watch, choose the words, and put the story in order.",AEW2-U010-W-Q01 to AEW2-U010-W-Q12,u010_watch_totos_photo_tree.mp3,Replay with captions. Match each caption to a picture.,Watch story supports final project
Final Project,My Family/Friend Poster,I can make and present a poster.,IMG21–IMG24,"Make a poster with 3 or 4 cards. Use family cards, friend cards, or Toto. Say your lines.",This is my mom. / This is my friend. / This is Toto.,Portfolio: poster + short presentation/voice recording.,AEW2-U010-P-Q01 to AEW2-U010-P-Q12,u010_project_model.mp3,"Check: 3 lines, clear voice, smile. Use the phrase bank if needed.",Poster + voice lines
