"audio_id","text","voice","character","file"
"AEW2-U002-AUD-001","black","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-001.mp3"
"AEW2-U002-AUD-002","black chair","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-002.mp3"
"AEW2-U002-AUD-003","black, white, brown","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-003.mp3"
"AEW2-U002-AUD-004","blue","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-004.mp3"
"AEW2-U002-AUD-005","blue bag","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-005.mp3"
"AEW2-U002-AUD-006","brown","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-006.mp3"
"AEW2-U002-AUD-007","brown box","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-007.mp3"
"AEW2-U002-AUD-008","color mini-poster","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-008.mp3"
"AEW2-U002-AUD-009","Color Quest!","en-GB-MaisieNeural","Maisie/Leo","assets/audio/AEW2-U002-AUD-009.mp3"
"AEW2-U002-AUD-010","Emma: It’s yellow.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-010.mp3"
"AEW2-U002-AUD-011","Goodbye!","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-011.mp3"
"AEW2-U002-AUD-012","Goodbye.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-012.mp3"
"AEW2-U002-AUD-013","green","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-013.mp3"
"AEW2-U002-AUD-014","green box","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-014.mp3"
"AEW2-U002-AUD-015","Hello!","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-015.mp3"
"AEW2-U002-AUD-016","Hello, Emma.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-016.mp3"
"AEW2-U002-AUD-017","Hello, Leo.","en-GB-MaisieNeural","Maisie/Leo","assets/audio/AEW2-U002-AUD-017.mp3"
"AEW2-U002-AUD-018","Hello, Mia.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-018.mp3"
"AEW2-U002-AUD-019","Hello, Toto.","en-GB-MaisieNeural","Maisie/Leo","assets/audio/AEW2-U002-AUD-019.mp3"
"AEW2-U002-AUD-020","Hello.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-020.mp3"
"AEW2-U002-AUD-021","Hello. I’m ___. It’s red. It’s blue. Goodbye.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-021.mp3"
"AEW2-U002-AUD-022","Hello. I’m Emma. It’s pink. It’s purple. Goodbye.","en-US-AnaNeural","Ana/Mia-Emma","assets/audio/AEW2-U002-AUD-022.mp3"
"AEW2-U002-AUD-023","Hello. I’m Leo. It’s red. It’s blue. Goodbye.","en-GB-MaisieNeural","Maisie/Leo","assets/audio/AEW2-U002-AUD-023.mp3"
