Gate,Status,Notes
CEFR/KP gate,Pass,Unit 10 matches Pre-A1.2 can-do and KP in course map.
Difficulty gate,Pass,Uses chunks only; no full grammar explanation.
Lexical gate,Pass,12 active words within Pre-A1 target; friend included as inclusive alternative.
Visual identity gate,Pass pending IMG01,Prompts use Leo/Mia/Emma/Toto and uploaded character card lock.
Image asset gate,Pass pending image QA,"24 images aligned to lessons, Watch, Project, repair, and portfolio."
Quiz blueprint gate,Planned,108 Practice item counts and types planned; actual items to be created after image QA.
Watch gate,Planned,One Watch video/slideshow with 12 Watch Practice items.
Project gate,Pass,Family/friend poster requires target chunks.
Repair gate,Pass,"Vocabulary, chunk, listening, speaking confidence repair routes defined."
Package gate,Not started,Moodle package waits until content + 108 Practice items + final image QA.
Next action,Generate IMG01 only first,"Use IMG01 prompt, then run character/clothing/text/style QA before remaining images."
