field,entry
watch_title,Toto and the Snack Card
video_or_placeholder,Video placeholder now; later MP4 can use Unit 9 images and captions.
duration_target,about 54 seconds
script_summary,"A short Pre-A1 snack-choice story. Leo, Mia, and Emma choose one snack or drink politely while Toto watches the snack card."
storyboard_notes,Use IMG02/IMG05/IMG11/IMG13/IMG16/IMG20-style snack table and project card scenes; captions only if no audio.
subtitle_plan,Create VTT/SRT from watch_script.txt when video is built.
watch_vocabulary,apple; juice; sandwich; snack; drink; please; thank you
watch_kp_targets,"I want ..., please.; snack/drink words; simple sequence"
watch_practice_items_12,AEW2-U009-W-Q01–Q12
project_connection,Learners reuse the same pattern in My Snack Order Role-play.
media_asset_id,AEW2_U009_Video_placeholder
