Category,Item,Use,Skill Link,Notes
Active word,family,Unit topic word,Listening/Reading/Speaking,Picture-supported.
Active word,mom,Introduce family,Listening/Speaking,Use child-friendly word.
Active word,dad,Introduce family,Listening/Speaking,Use child-friendly word.
Active word,sister,Introduce family,Listening/Speaking,Optional if learner has none; can use friend.
Active word,brother,Introduce family,Listening/Speaking,Optional if learner has none; can use friend.
Active word,grandma,Introduce family,Listening/Speaking,Picture-supported.
Active word,grandpa,Introduce family,Listening/Speaking,Picture-supported.
Active word,friend,Inclusive alternative,Speaking/Project,Important for learners who prefer not to share family.
Active word,dog,Toto link,Listening/Speaking,Review animal word.
Active word,tree,Family tree project,Project/Writing,Visual metaphor only.
Active word,photo,Photo card,Reading/Project,Picture-supported.
Active word,card,Photo/name card,Writing/Project,Picture-supported.
Receptive,poster,Final project,Project,Shown in model; not required to produce independently.
Receptive,album,Story/Watch,Listening,Visual support.
Chunk,This is my…,Core production frame,Speaking/Writing,Main project sentence frame.
Chunk,Who’s this?,Core question,Listening/Speaking,Fixed chunk.
Chunk,It’s my…,Core answer,Listening/Speaking,Fixed chunk.
Chunk,This is Toto.,Character link,Speaking,Useful for dog card.
Collocation,family tree,Unit/project title,Project,Repeated visually.
Collocation,photo card,Project material,Project,Concrete object.
Repair vocabulary,Look again.,Teacher/feedback,Repair,Used in feedback.
Repair vocabulary,Try again.,Quiz feedback,Repair,Moodle behavior.
