project_item_id,unit,item_number,focus,question,answer_type,correct_answer,project_link,feedback,repair_link
U006-P-Q01,6,01,project title,Choose the project title.,multiple_choice,My Mini Picture Mission,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q02,6,02,project greeting,Choose a greeting for your project.,multiple_choice,Hello.,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q03,6,03,project name,Choose a name line.,multiple_choice,I’m Mia.,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q04,6,04,project color,Choose a color line for a purple badge.,multiple_choice,It’s purple.,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q05,6,05,project number,Choose a number line for 4 stars.,multiple_choice,I see four stars.,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q06,6,06,project action,Choose an action word for a drawing picture.,multiple_choice,Draw.,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q07,6,07,project animal,Choose an animal line.,multiple_choice,I like birds.,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q08,6,08,project closing,Choose a closing line.,multiple_choice,Goodbye.,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q09,6,09,project requirements,What does your card need?,multiple_choice,"color, number, action, animal",My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q10,6,10,repair strategy,"If the color is wrong, what can you do?",multiple_choice,Look again.,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q11,6,11,portfolio evidence,What do you record for your portfolio?,multiple_choice,short speaking recording,My Mini Picture Mission,Correct.,U006-Repair-P
U006-P-Q12,6,12,self-assessment,"After the project, I can use early words and phrases in a picture mission.",true_false,True,My Mini Picture Mission,Correct.,U006-Repair-P
