audio_id,section,text,suggested_file,status
U3-AUD-001,L1,Toto runs to the trail.,assets/audio/l1_001.mp3,placeholder
U3-AUD-002,L1,"Leo smiles. “Hello, Toto!”",assets/audio/l1_002.mp3,placeholder
U3-AUD-003,L1,Toto sees number signs.,assets/audio/l1_003.mp3,placeholder
U3-AUD-004,L1,"Leo says, “Look! 0, 1, 2, 3, 4, 5.”",assets/audio/l1_004.mp3,placeholder
U3-AUD-005,L1,Toto sees one star.,assets/audio/l1_005.mp3,placeholder
U3-AUD-006,L1,Toto sees two flowers.,assets/audio/l1_006.mp3,placeholder
U3-AUD-007,L1,"Leo says, “Let’s count!”",assets/audio/l1_007.mp3,placeholder
U3-AUD-008,L1,0 — zero,assets/audio/l1_008.mp3,placeholder
U3-AUD-009,L1,1 — one,assets/audio/l1_009.mp3,placeholder
U3-AUD-010,L1,2 — two,assets/audio/l1_010.mp3,placeholder
U3-AUD-011,L1,3 — three,assets/audio/l1_011.mp3,placeholder
U3-AUD-012,L1,4 — four,assets/audio/l1_012.mp3,placeholder
U3-AUD-013,L1,5 — five,assets/audio/l1_013.mp3,placeholder
U3-AUD-014,L1,How many?,assets/audio/l1_014.mp3,placeholder
U3-AUD-015,L1,One star.,assets/audio/l1_015.mp3,placeholder
U3-AUD-016,L1,Two flowers.,assets/audio/l1_016.mp3,placeholder
U3-AUD-017,L1,Three balls.,assets/audio/l1_017.mp3,placeholder
U3-AUD-018,L1,Four leaves.,assets/audio/l1_018.mp3,placeholder
U3-AUD-019,L1,Five apples.,assets/audio/l1_019.mp3,placeholder
U3-AUD-020,L2,Emma and Toto walk on the trail.,assets/audio/l2_020.mp3,placeholder
U3-AUD-021,L2,Emma points. “Look! More signs!”,assets/audio/l2_021.mp3,placeholder
U3-AUD-022,L2,"Toto sees 6, 7, 8, 9, and 10.",assets/audio/l2_022.mp3,placeholder
U3-AUD-023,L2,Emma counts flowers.,assets/audio/l2_023.mp3,placeholder
U3-AUD-024,L2,Toto counts stars.,assets/audio/l2_024.mp3,placeholder
U3-AUD-025,L2,"Emma says, “Good counting, Toto!”",assets/audio/l2_025.mp3,placeholder
U3-AUD-026,L2,6 — six,assets/audio/l2_026.mp3,placeholder
U3-AUD-027,L2,7 — seven,assets/audio/l2_027.mp3,placeholder
U3-AUD-028,L2,8 — eight,assets/audio/l2_028.mp3,placeholder
U3-AUD-029,L2,9 — nine,assets/audio/l2_029.mp3,placeholder
U3-AUD-030,L2,10 — ten,assets/audio/l2_030.mp3,placeholder
U3-AUD-031,L2,Six flowers.,assets/audio/l2_031.mp3,placeholder
U3-AUD-032,L2,Seven stars.,assets/audio/l2_032.mp3,placeholder
U3-AUD-033,L2,Eight leaves.,assets/audio/l2_033.mp3,placeholder
U3-AUD-034,L2,Nine balls.,assets/audio/l2_034.mp3,placeholder
U3-AUD-035,L2,Ten flags.,assets/audio/l2_035.mp3,placeholder
U3-AUD-036,L3,Mia sees flowers on the trail.,assets/audio/l3_036.mp3,placeholder
U3-AUD-037,L3,"Mia asks, “How many?”",assets/audio/l3_037.mp3,placeholder
U3-AUD-038,L3,"Leo counts. “One, two, three.”",assets/audio/l3_038.mp3,placeholder
U3-AUD-039,L3,"Leo says, “Three flowers.”",assets/audio/l3_039.mp3,placeholder
U3-AUD-040,L3,Toto looks and listens.,assets/audio/l3_040.mp3,placeholder
U3-AUD-041,L3,Mia smiles. “Yes! Three flowers.”,assets/audio/l3_041.mp3,placeholder
U3-AUD-042,L3,How many?,assets/audio/l3_042.mp3,placeholder
U3-AUD-043,L3,How many stars?,assets/audio/l3_043.mp3,placeholder
U3-AUD-044,L3,Three stars.,assets/audio/l3_044.mp3,placeholder
U3-AUD-045,L3,How many books?,assets/audio/l3_045.mp3,placeholder
U3-AUD-046,L3,Two books.,assets/audio/l3_046.mp3,placeholder
U3-AUD-047,L3,How many?,assets/audio/l3_047.mp3,placeholder
U3-AUD-048,L3,Three flowers.,assets/audio/l3_048.mp3,placeholder
U3-AUD-049,L3,Five balls.,assets/audio/l3_049.mp3,placeholder
U3-AUD-050,L3,Seven books.,assets/audio/l3_050.mp3,placeholder
U3-AUD-051,L3,Ten stars.,assets/audio/l3_051.mp3,placeholder
U3-AUD-052,L4,The trail goes into the trees.,assets/audio/l4_052.mp3,placeholder
U3-AUD-053,L4,Leo sees a purple sign. “Eleven!”,assets/audio/l4_053.mp3,placeholder
U3-AUD-054,L4,Emma sees a blue sign. “Twelve!”,assets/audio/l4_054.mp3,placeholder
U3-AUD-055,L4,Toto follows the signs.,assets/audio/l4_055.mp3,placeholder
U3-AUD-056,L4,"They count leaves, stars, flowers, stones, and flags.",assets/audio/l4_056.mp3,placeholder
U3-AUD-057,L4,"Emma says, “We can count more!”",assets/audio/l4_057.mp3,placeholder
U3-AUD-058,L4,11 — eleven,assets/audio/l4_058.mp3,placeholder
U3-AUD-059,L4,12 — twelve,assets/audio/l4_059.mp3,placeholder
U3-AUD-060,L4,13 — thirteen,assets/audio/l4_060.mp3,placeholder
U3-AUD-061,L4,14 — fourteen,assets/audio/l4_061.mp3,placeholder
U3-AUD-062,L4,15 — fifteen,assets/audio/l4_062.mp3,placeholder
