id,section,type,prompt,options,correct_answer,feedback,image,kp,skill,difficulty
AEW2-U008-L1-Q01,L1,mcq,Look at IMG02. Leo touches his _____.,head | hands | feet,head,Correct: head.,IMG02,body parts,vocabulary,easy
AEW2-U008-L1-Q02,L1,mcq,Look at IMG03. Leo shows two _____.,hands | feet | ears,hands,Correct: hands.,IMG03,body parts,vocabulary,easy
AEW2-U008-L1-Q03,L1,mcq,Look at Leo’s shoes. The body word is _____.,feet | mouth | eyes,feet,Correct: feet.,IMG03,body parts,vocabulary,easy
AEW2-U008-L1-Q04,L1,gap,Touch your _____.,head | feet | hands,head,Correct: Touch your head.,IMG03,Touch your,grammar,easy
AEW2-U008-L1-Q05,L1,match,Choose the correct matching set.,head = top of body; hands = open palms; feet = shoes | head = shoes; hands = top of body; feet = open palms | head = open palms; hands = shoes; feet = top of body,head = top of body; hands = open palms; feet = shoes,Good matching.,IMG03,body parts,vocabulary,easy
AEW2-U008-L1-Q06,L1,mcq,Which word matches open palms?,hands | head | feet,hands,Correct: hands.,IMG03,body parts,vocabulary,easy
AEW2-U008-L1-Q07,L1,truefalse,"In IMG04, Toto is near Leo’s foot.",True | False,True,Correct. Toto is near Leo’s foot.,IMG04,body parts,reading,easy
AEW2-U008-L1-Q08,L1,sequence,Put the body words from top to bottom.,head → hands → feet | feet → hands → head | hands → head → feet,head → hands → feet,Correct order.,IMG03,body parts,sequence,easy
AEW2-U008-L1-Q09,L1,mcq,IMG02 shows:,Touch your head | Clap your hands | Point to your feet,Touch your head,Correct.,IMG02,Touch your,listening,easy
AEW2-U008-L1-Q10,L1,mcq,"In IMG04, Mia points toward Leo’s _____.",feet | mouth | eyes,feet,Correct: feet.,IMG04,body parts,vocabulary,easy
AEW2-U008-L1-Q11,L1,mcq,You can touch it on top of your body.,head | feet | hands,head,Correct: head.,IMG03,body parts,vocabulary,easy
AEW2-U008-L1-Q12,L1,repair,Not nose. Try again: Leo touches his _____.,head | hands | feet,head,Correct: head.,IMG02,repair,vocabulary,easy
AEW2-U008-L2-Q01,L2,mcq,"In IMG05, Mia points near her _____.",nose | feet | hands,nose,Correct: nose.,IMG05,face parts,vocabulary,easy
AEW2-U008-L2-Q02,L2,mcq,"In IMG07, Emma touches one _____.",ear | foot | hand,ear,Correct: ear.,IMG07,face parts,vocabulary,easy
AEW2-U008-L2-Q03,L2,mcq,Choose the face word.,eyes | feet | hands,eyes,Correct: eyes.,IMG06,face parts,vocabulary,easy
AEW2-U008-L2-Q04,L2,mcq,Choose the face word.,ears | feet | hands,ears,Correct: ears.,IMG06,face parts,vocabulary,easy
AEW2-U008-L2-Q05,L2,mcq,Choose the face word.,mouth | hands | legs,mouth,Correct: mouth.,IMG06,face parts,vocabulary,easy
AEW2-U008-L2-Q06,L2,gap,Touch your _____.,nose | feet | hands,nose,Correct: Touch your nose.,IMG07,Touch your,grammar,easy
AEW2-U008-L2-Q07,L2,gap,Touch your _____.,ears | feet | hands,ears,Correct: Touch your ears.,IMG07,Touch your,grammar,easy
AEW2-U008-L2-Q08,L2,mcq,IMG06 shows a face. Choose a face word.,eye | shoe | hand,eye,Correct: eye.,IMG06,face parts,vocabulary,easy
AEW2-U008-L2-Q09,L2,match,Choose the correct face-word set.,"eyes, ears, nose, mouth | shoes, chair, book, bag | feet, legs, arms, table","eyes, ears, nose, mouth",Good face-word set.,IMG06,face parts,vocabulary,easy
AEW2-U008-L2-Q10,L2,truefalse,"In IMG07, Toto watches the children.",True | False,True,Correct.,IMG07,story detail,reading,easy
AEW2-U008-L2-Q11,L2,mcq,One face part in the middle of the face is the _____.,nose | feet | hands,nose,Correct: nose.,IMG06,face parts,vocabulary,easy
AEW2-U008-L2-Q12,L2,repair,The word is “ears.” Touch your _____.,ears | eyes | feet,ears,Correct: ears.,IMG07,repair,vocabulary,easy
AEW2-U008-L3-Q01,L3,mcq,"In IMG08, the team touches their _____.",heads | feet | hands,heads,Correct: heads.,IMG08,body parts,vocabulary,easy
AEW2-U008-L3-Q02,L3,mcq,Which command matches IMG08?,Touch your head | Point to your feet | Clap your hands,Touch your head,Correct.,IMG08,Touch your,listening,easy
AEW2-U008-L3-Q03,L3,mcq,Which command matches IMG09?,Touch your nose | Touch your feet | Touch your hands,Touch your nose,Correct.,IMG09,Touch your,listening,easy
AEW2-U008-L3-Q04,L3,mcq,Which command matches IMG10?,Point to your feet | Touch your mouth | Clap your hands,Point to your feet,Correct.,IMG10,Point to your,listening,easy
AEW2-U008-L3-Q05,L3,gap,Touch your _____.,head | table | chair,head,Correct: head.,IMG08,Touch your,grammar,easy
AEW2-U008-L3-Q06,L3,gap,Point to your _____.,feet | eyes | mouth,feet,Correct: feet.,IMG10,Point to your,grammar,easy
AEW2-U008-L3-Q07,L3,sequence,"Put the image commands in order: IMG08, IMG09, IMG10.",head → nose → feet | nose → feet → head | feet → head → nose,head → nose → feet,Correct sequence.,IMG08;IMG09;IMG10,sequence,listening,easy
AEW2-U008-L3-Q08,L3,truefalse,"In IMG09, the team touches noses.",True | False,True,Correct.,IMG09,story detail,reading,easy
AEW2-U008-L3-Q09,L3,mcq,Choose the body command.,Touch your ears | Draw a circle | Look at the window,Touch your ears,Correct: body command.,,Touch your,grammar,easy
AEW2-U008-L3-Q10,L3,gap,Touch _____ head.,your | red | two,your,Correct: Touch your head.,,Touch your,grammar,easy
AEW2-U008-L3-Q11,L3,mcq,"In IMG10, Emma points to her _____.",feet | eyes | mouth,feet,Correct: feet.,IMG10,body parts,vocabulary,easy
AEW2-U008-L3-Q12,L3,repair,"This is feet, not hands. Point to your _____.",feet | hands | nose,feet,Correct: feet.,IMG10,repair,vocabulary,easy
AEW2-U008-L4-Q01,L4,mcq,Leo points to himself and shows a hand. He says:,my hand | your hand | my feet,my hand,Correct: my hand.,IMG11,my/your,grammar,easy
AEW2-U008-L4-Q02,L4,mcq,I talk to a friend and show the friend’s hand. I say:,your hand | my hand | your feet,your hand,Correct: your hand.,IMG11,my/your,grammar,easy
AEW2-U008-L4-Q03,L4,mcq,"In IMG12 left, Mia touches her own head. Mia says:",my head | your head | my feet,my head,Correct: my head.,IMG12,my/your,grammar,easy
AEW2-U008-L4-Q04,L4,mcq,"In IMG12 right, Mia gestures toward Emma’s head. Mia says:",your head | my head | your feet,your head,Correct: your head.,IMG12,my/your,grammar,easy
AEW2-U008-L4-Q05,L4,gap,Touch _____ head.,your | my | blue,your,Correct: Touch your head.,,Touch your,grammar,easy
AEW2-U008-L4-Q06,L4,gap,This is _____ hand.,my | your | one,my,Correct: my hand.,,my/your,grammar,easy
AEW2-U008-L4-Q07,L4,match,Choose the correct meaning.,my = own body; your = friend/listener’s body | my = a color; your = a number | my = feet only; your = hands only,my = own body; your = friend/listener’s body,Good matching.,,my/your,grammar,easy
