image_id,filename,course,unit,lesson,image_type,characters,kp_link,lexical_link,quiz_link,display_width,alt_text,media_server_path,moodle_path,safety_check,clothing_check,political_check,notes
IMG01,AEW2_U006_IMG01_cover_mini_quest_review.png,Adventure English World V2,6,Cover,coursebook visual,"Leo, Mia, Emma, Toto",unit identity,all review,unit cover,100%,Cover image for Unit 6 Mini Quest Review.,,assets/images/AEW2_U006_IMG01_cover_mini_quest_review.png,pass,pass,pass,actual size 1672x941
IMG02,AEW2_U006_IMG02_unit_story_five_badge_map.png,Adventure English World V2,6,Unit Opener,coursebook visual,"Leo, Mia, Emma, Toto",unit story,five badges,unit story,85%,The team studies a five-badge mission map.,,assets/images/AEW2_U006_IMG02_unit_story_five_badge_map.png,pass,pass,pass,actual size 1672x941
IMG03,AEW2_U006_IMG03_lesson1_hello_gate.png,Adventure English World V2,6,L1,coursebook visual,"Leo, Mia, Emma, Toto",greetings,"hello, goodbye, names",U006-L1-Q01 to U006-L1-Q12,80%,The team stands at the greeting gate.,,assets/images/AEW2_U006_IMG03_lesson1_hello_gate.png,pass,pass,pass,actual size 1672x941
IMG04,AEW2_U006_IMG04_lesson1_name_badge_board.png,Adventure English World V2,6,L1,coursebook visual,"Leo, Mia, Emma, Toto",names,"Leo, Mia, Emma, Toto",U006-L1-Q03 to U006-L1-Q10,65%,Name badge board for matching characters.,,assets/images/AEW2_U006_IMG04_lesson1_name_badge_board.png,pass,pass,pass,actual size 1448x1086
IMG05,AEW2_U006_IMG05_lesson2_color_clue_shelf.png,Adventure English World V2,6,L2,coursebook visual,"Leo, Mia, Emma, Toto",colors,color words,U006-L2-Q01 to U006-L2-Q12,80%,The team finds colorful classroom objects.,,assets/images/AEW2_U006_IMG05_lesson2_color_clue_shelf.png,pass,pass,pass,actual size 1672x941
IMG06,AEW2_U006_IMG06_lesson2_color_object_board.png,Adventure English World V2,6,L2,coursebook visual,no characters,colors,color + object,U006-L2-Q01 to U006-L2-Q12,65%,Color object board for review.,,assets/images/AEW2_U006_IMG06_lesson2_color_object_board.png,pass,pass,pass,actual size 1448x1086
IMG07,AEW2_U006_IMG07_lesson3_number_bridge.png,Adventure English World V2,6,L3,coursebook visual,"Leo, Mia, Emma, Toto",numbers,"numbers, How many?",U006-L3-Q01 to U006-L3-Q12,80%,The team crosses a number bridge.,,assets/images/AEW2_U006_IMG07_lesson3_number_bridge.png,pass,pass,pass,actual size 1672x941
IMG08,AEW2_U006_IMG08_lesson3_counting_picture_board.png,Adventure English World V2,6,L3,coursebook visual,no characters,numbers,number + object groups,U006-L3-Q01 to U006-L3-Q12,65%,Counting picture board.,,assets/images/AEW2_U006_IMG08_lesson3_counting_picture_board.png,pass,pass,pass,actual size 1448x1086
IMG09,AEW2_U006_IMG09_lesson4_action_door.png,Adventure English World V2,6,L4,coursebook visual,"Leo, Mia, Emma, Toto",classroom actions,"listen, look, point, draw, open, close",U006-L4-Q01 to U006-L4-Q12,80%,Classroom action door scene.,,assets/images/AEW2_U006_IMG09_lesson4_action_door.png,pass,pass,pass,actual size 1672x941
IMG10,AEW2_U006_IMG10_lesson4_action_card_board.png,Adventure English World V2,6,L4,coursebook visual,"Leo, Mia, Emma",classroom actions,action cards,U006-L4-Q01 to U006-L4-Q12,65%,Action card board.,,assets/images/AEW2_U006_IMG10_lesson4_action_card_board.png,pass,pass,pass,actual size 1448x1086
IMG11,AEW2_U006_IMG11_lesson5_animal_garden.png,Adventure English World V2,6,L5,coursebook visual,"Leo, Mia, Emma, Toto",animals,"cat, dog, bird, fish, frog, turtle",U006-L5-Q01 to U006-L5-Q12,80%,Friendly animal garden.,,assets/images/AEW2_U006_IMG11_lesson5_animal_garden.png,pass,pass,pass,actual size 1672x941
IMG12,AEW2_U006_IMG12_lesson5_animal_choice_board.png,Adventure English World V2,6,L5,coursebook visual,no characters,animals and likes,"animal words, like icons",U006-L5-Q01 to U006-L5-Q12,65%,Animal choice board.,,assets/images/AEW2_U006_IMG12_lesson5_animal_choice_board.png,pass,pass,pass,actual size 1448x1086
IMG13,AEW2_U006_IMG13_lesson6_five_clue_trail.png,Adventure English World V2,6,L6,coursebook visual,"Leo, Mia, Emma, Toto",mixed review,five clue categories,U006-L6-Q01 to U006-L6-Q12,80%,Five-clue trail scene.,,assets/images/AEW2_U006_IMG13_lesson6_five_clue_trail.png,pass,pass,pass,actual size 1672x941
IMG14,AEW2_U006_IMG14_lesson6_mission_wheel.png,Adventure English World V2,6,L6,coursebook visual,no characters,mixed review,mission wheel icons,U006-L6-Q01 to U006-L6-Q12,65%,Mission wheel with five review categories.,,assets/images/AEW2_U006_IMG14_lesson6_mission_wheel.png,pass,pass,pass,actual size 1254x1254
IMG15,AEW2_U006_IMG15_lesson7_mini_mission_rehearsal.png,Adventure English World V2,6,L7,coursebook visual,"Leo, Mia, Emma, Toto",project rehearsal,mission card language,U006-L7-Q01 to U006-L7-Q12,80%,Team rehearses mini mission cards.,,assets/images/AEW2_U006_IMG15_lesson7_mini_mission_rehearsal.png,pass,pass,pass,actual size 1672x941
IMG16,AEW2_U006_IMG16_lesson7_pair_speaking_cards.png,Adventure English World V2,6,L7,coursebook visual,"Leo, Mia, Emma, Toto",project rehearsal,pair speaking cards,U006-L7-Q01 to U006-L7-Q12,65%,Pair speaking card scene.,,assets/images/AEW2_U006_IMG16_lesson7_pair_speaking_cards.png,pass,pass,pass,actual size 1448x1086; repaired/replaced before Moodle build
IMG17,AEW2_U006_IMG17_diagnostic_review_badges.png,Adventure English World V2,6,L6,coursebook visual,"Leo, Mia, Emma, Toto",diagnostic review,five review badges,U006-L6-Q01 to U006-L6-Q05,80%,Five review badges on a board.,,assets/images/AEW2_U006_IMG17_diagnostic_review_badges.png,pass,pass,pass,actual size 1672x941
IMG18,AEW2_U006_IMG18_repair_color_number.png,Adventure English World V2,6,L6 Repair,coursebook visual,"Leo, Mia, Toto",repair,color and number,color/number repair items,65%,Color and number repair scene.,,assets/images/AEW2_U006_IMG18_repair_color_number.png,pass,pass,pass,actual size 1448x1086
IMG19,AEW2_U006_IMG19_repair_action_animal.png,Adventure English World V2,6,L6 Repair,coursebook visual,"Leo, Emma, Toto",repair,action and animal,action/animal repair items,65%,Action and animal repair scene.,,assets/images/AEW2_U006_IMG19_repair_action_animal.png,pass,pass,pass,actual size 1448x1086; repaired/replaced before Moodle build
IMG20,AEW2_U006_IMG20_repair_greeting_like.png,Adventure English World V2,6,L6 Repair,coursebook visual,"Leo, Mia, Emma, Toto",repair,greeting and like,greeting/like repair items,65%,Greeting and like repair scene.,,assets/images/AEW2_U006_IMG20_repair_greeting_like.png,pass,pass,pass,actual size 1448x1086
IMG21,AEW2_U006_IMG21_progress_badge_board.png,Adventure English World V2,6,Progress,coursebook visual,"Leo, Mia, Emma, Toto",progress,five badges,progress check,80%,Completed progress badge board.,,assets/images/AEW2_U006_IMG21_progress_badge_board.png,pass,pass,pass,actual size 1672x941
IMG22,AEW2_U006_IMG22_portfolio_checklist_visual.png,Adventure English World V2,6,Portfolio,coursebook visual,"Leo, Mia, Emma, Toto",portfolio,portfolio checklist,U006-P-Q09 to U006-P-Q12,65%,Portfolio checklist visual.,,assets/images/AEW2_U006_IMG22_portfolio_checklist_visual.png,pass,pass,pass,actual size 1448x1086
IMG23,AEW2_U006_IMG23_project_model_mini_picture_mission_card.png,Adventure English World V2,6,Project,coursebook visual,no characters,project model,mini mission card,U006-P-Q01 to U006-P-Q12,70%,Project model mini picture mission card.,,assets/images/AEW2_U006_IMG23_project_model_mini_picture_mission_card.png,pass,pass,pass,actual size 1448x1086; repaired/replaced before Moodle build
IMG24,AEW2_U006_IMG24_project_sharing_scene.png,Adventure English World V2,6,Project,coursebook visual,"Leo, Mia, Emma, Toto",project sharing,project presentation,U006-P-Q01 to U006-P-Q12,80%,Final project sharing scene.,,assets/images/AEW2_U006_IMG24_project_sharing_scene.png,pass,pass,pass,actual size 1672x941
