image_id,filename,course,unit,lesson,image_type,characters,kp_link,lexical_link,quiz_link,display_width,alt_text,media_server_path,moodle_path,safety_check,clothing_check,political_check,notes
AEW2_U009_IMG01,AEW2_U009_IMG01_cover_snack_time.png,Adventure English World V2,9,Unit opener,cover,Leo; Mia; Emma; Toto as shown,Unit identity; snack words; polite choice,"apple, banana, orange, sandwich, cookie, water, milk, juice",unit opener,90-100%,Snack Time image for Cover: Unit opener. Supports Unit identity; snack words; polite choice.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG01_cover_snack_time.png,assets/images/AEW2_U009_IMG01_cover_snack_time.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG02,AEW2_U009_IMG02_unit_story_snack_choice_scene.png,Adventure English World V2,9,Opening situation,unit story anchor,Leo; Mia; Emma; Toto as shown,Unit story; polite snack choices,"snack, drink, choose, apple, banana, juice, water",unit story,80-90%,Snack Time image for Unit Story: Opening situation. Supports Unit story; polite snack choices.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG02_unit_story_snack_choice_scene.png,assets/images/AEW2_U009_IMG02_unit_story_snack_choice_scene.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG03,AEW2_U009_IMG03_lesson1_meet_the_snacks.png,Adventure English World V2,9,Snack Words,lesson anchor,Leo; Mia; Emma; Toto as shown,Snack vocabulary,"apple, banana, orange, sandwich, cookie, cake, bread",AEW2-U009-L1-Q01–Q12,70-85%,Snack Time image for Lesson 1: Snack Words. Supports Snack vocabulary.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG03_lesson1_meet_the_snacks.png,assets/images/AEW2_U009_IMG03_lesson1_meet_the_snacks.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG04,AEW2_U009_IMG04_lesson1_snack_tray_visual.png,Adventure English World V2,9,Snack Words,vocabulary visual,Leo; Mia; Emma; Toto as shown,Snack vocabulary support,"apple, banana, orange, sandwich, cookie, cake, bread",AEW2-U009-L1-Q01–Q12,50-75%,Snack Time image for Lesson 1: Snack Words. Supports Snack vocabulary support.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG04_lesson1_snack_tray_visual.png,assets/images/AEW2_U009_IMG04_lesson1_snack_tray_visual.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG05,AEW2_U009_IMG05_lesson2_i_want_apple_scene.png,Adventure English World V2,9,I Want...,lesson anchor,Leo; Mia; Emma; Toto as shown,I want ... chunk; snack choice,"I want, apple, please",AEW2-U009-L2-Q01–Q12,70-85%,Snack Time image for Lesson 2: I Want.... Supports I want ... chunk; snack choice.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG05_lesson2_i_want_apple_scene.png,assets/images/AEW2_U009_IMG05_lesson2_i_want_apple_scene.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG06,AEW2_U009_IMG06_lesson2_snack_choice_visual.png,Adventure English World V2,9,I Want...,choice visual,Leo; Mia; Emma; Toto as shown,Snack choice; I want ...,"apple, banana, orange, sandwich, cookie",AEW2-U009-L2-Q01–Q12,60-75%,Snack Time image for Lesson 2: I Want.... Supports Snack choice; I want ....,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG06_lesson2_snack_choice_visual.png,assets/images/AEW2_U009_IMG06_lesson2_snack_choice_visual.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG07,AEW2_U009_IMG07_lesson3_please_scene.png,Adventure English World V2,9,Please,lesson anchor,Leo; Mia; Emma; Toto as shown,Polite asking; please,"I want, please, snack",AEW2-U009-L3-Q01–Q12,70-85%,Snack Time image for Lesson 3: Please. Supports Polite asking; please.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG07_lesson3_please_scene.png,assets/images/AEW2_U009_IMG07_lesson3_please_scene.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG08,AEW2_U009_IMG08_lesson3_polite_snack_counter.png,Adventure English World V2,9,Please,role-play scene,Leo; Mia; Emma; Toto as shown,"I want ..., please; helper role","snack helper, apple, banana, water, juice",AEW2-U009-L3-Q01–Q12,70-85%,"Snack Time image for Lesson 3: Please. Supports I want ..., please; helper role.",MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG08_lesson3_polite_snack_counter.png,assets/images/AEW2_U009_IMG08_lesson3_polite_snack_counter.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG09,AEW2_U009_IMG09_lesson4_a_an_snack_scene.png,Adventure English World V2,9,A / An Noticing,lesson anchor,Leo; Mia; Emma; Toto as shown,a/an fixed chunk noticing,"a banana, an apple, an orange",AEW2-U009-L4-Q01–Q12,70-85%,Snack Time image for Lesson 4: A / An Noticing. Supports a/an fixed chunk noticing.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG09_lesson4_a_an_snack_scene.png,assets/images/AEW2_U009_IMG09_lesson4_a_an_snack_scene.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG10,AEW2_U009_IMG10_lesson4_a_an_food_basket_visual.png,Adventure English World V2,9,A / An Noticing,noticing visual,Leo; Mia; Emma; Toto as shown,a/an fixed chunk noticing,"apple, orange, banana, sandwich, cookie",AEW2-U009-L4-Q01–Q12,60-75%,Snack Time image for Lesson 4: A / An Noticing. Supports a/an fixed chunk noticing.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG10_lesson4_a_an_food_basket_visual.png,assets/images/AEW2_U009_IMG10_lesson4_a_an_food_basket_visual.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG11,AEW2_U009_IMG11_lesson5_drinks_scene.png,Adventure English World V2,9,Drinks,lesson anchor,Leo; Mia; Emma; Toto as shown,Drink vocabulary; choice,"water, milk, juice",AEW2-U009-L5-Q01–Q12,70-85%,Snack Time image for Lesson 5: Drinks. Supports Drink vocabulary; choice.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG11_lesson5_drinks_scene.png,assets/images/AEW2_U009_IMG11_lesson5_drinks_scene.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG12,AEW2_U009_IMG12_lesson5_snack_drink_choice_scene.png,Adventure English World V2,9,Snack and Drink Choice,choice scene,Leo; Mia; Emma; Toto as shown,Snack + drink choice; I want ... please,"apple, banana, sandwich, cookie, water, milk, juice",AEW2-U009-L5-Q01–Q12,70-85%,Snack Time image for Lesson 5: Snack and Drink Choice. Supports Snack + drink choice; I want ... please.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG12_lesson5_snack_drink_choice_scene.png,assets/images/AEW2_U009_IMG12_lesson5_snack_drink_choice_scene.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG13,AEW2_U009_IMG13_lesson6_snack_order_roleplay_scene.png,Adventure English World V2,9,Snack Order Role-play,lesson anchor,Leo; Mia; Emma; Toto as shown,"Role-play; I want ..., please","helper, snack, drink, please",AEW2-U009-L6-Q01–Q12,70-85%,"Snack Time image for Lesson 6: Snack Order Role-play. Supports Role-play; I want ..., please.",MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG13_lesson6_snack_order_roleplay_scene.png,assets/images/AEW2_U009_IMG13_lesson6_snack_order_roleplay_scene.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
AEW2_U009_IMG14,AEW2_U009_IMG14_lesson6_order_tray_visual.png,Adventure English World V2,9,Snack Order Role-play,order tray visual,Leo; Mia; Emma; Toto as shown,Snack order; snack + drink,"apple, sandwich, drink cup",AEW2-U009-L6-Q01–Q12,60-75%,Snack Time image for Lesson 6: Snack Order Role-play. Supports Snack order; snack + drink.,MediaServer/FLW/Adventure_English_World/Unit_009/images/AEW2_U009_IMG14_lesson6_order_tray_visual.png,assets/images/AEW2_U009_IMG14_lesson6_order_tray_visual.png,passed by prompt audit,passed by prompt audit,passed by prompt audit,Pre-A1.2; standalone image; no blocked KP; no restaurant/prices/health/cooking; supports lesson/Practice/Project
