Image_ID,Filename,Section,Image_Type,Purpose,Characters,Setting,KP_Link,Lexical_Link,Quiz_Link,Text_in_Image,Aspect_Ratio,Suggested_Size,Prompt,Alt_Text,Audit_Status
AEW2_U010_IMG01,AEW2_U010_IMG01_cover_family_tree.png,Cover,Cover image,Unit identity; introduce family/friend tree mission,"Leo, Mia, Emma, Toto",Bright classroom adventure corner with a friendly tree-shaped poster board,Unit theme; family/friend poster,"family, friend, tree, photo, card",Unit opener,Only large cover title allowed: 'Unit 10 Family Tree',16:9,1920x1080,"Create a warm Unit 10 cover image for Adventure English World V2. Leo, Mia, Emma, and Toto stand around a large friendly tree-shaped poster with simple photo-card spaces. The mood is a safe show-and-tell mission, not a realistic private family display. Add small adventure details such as stars, clue cards, and a compass icon. Make the poster inviting and uncluttered.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: Only large cover title allowed: 'Unit 10 Family Tree'. Any learning text must be large, simple, and repeated later in HTML.","Leo, Mia, Emma, and Toto introduce Unit 10 Family Tree with a tree-shaped photo poster.",Generate first for QA
AEW2_U010_IMG02,AEW2_U010_IMG02_l1_family_word_board.png,Lesson 1,Vocabulary board,Picture-word support for family/friend words,No main characters required; small Toto icon optional,Clean classroom board with simple photo-card icons,VOC family words,"mom, dad, sister, brother, grandma, grandpa, friend, dog",U010-L1-Q01–Q06,"Short labels may appear: mom, dad, sister, brother, grandma, grandpa, friend, dog",4:3,1200x900,"Create a clean Pre-A1 family word board with eight large friendly picture cards: mom, dad, sister, brother, grandma, grandpa, friend, dog. Use simple icons or warm portrait-style cards, not realistic personal photos. Keep each card visually distinct and easy for children to match.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: Short labels may appear: mom, dad, sister, brother, grandma, grandpa, friend, dog. Any learning text must be large, simple, and repeated later in HTML.",Eight family and friend word cards for Lesson 1 vocabulary.,Aligned; generate after IMG01 approval
AEW2_U010_IMG03,AEW2_U010_IMG03_l1_leo_photo_cards.png,Lesson 1,Anchor scene,Leo recognizes family/friend photo cards,"Leo, Toto",Classroom table with photo cards and a small tree mat,VOC recognition; point/listen,"family, friend, photo, card",U010-L1-Q07–Q12,"No text, or tiny decorative labels only; keep language in HTML",16:9,1536x864,"Create a lesson anchor scene with Leo holding two simple photo cards while Toto looks at a card on the table. The table has a small tree mat and picture cards. Leo looks curious and friendly, ready to point and listen. Avoid showing too many family members; use generic warm photo-card drawings.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: No text, or tiny decorative labels only; keep language in HTML. Any learning text must be large, simple, and repeated later in HTML.",Leo and Toto look at family and friend photo cards on a classroom table.,Aligned; generate after IMG01 approval
AEW2_U010_IMG04,AEW2_U010_IMG04_l2_this_is_my_model.png,Lesson 2,Expression board,Model chunk: This is my…,"Mia, Leo",Classroom show-and-tell board with one photo card,CHK This is my…,This is my mom/friend/dog,U010-L2-Q01–Q06,Large exact phrase allowed: 'This is my ___.',16:9,1536x864,"Create a supportive expression-model scene. Mia presents one simple photo card on a clean board while Leo listens. Beside the card, show a large readable sentence frame: This is my ___. The frame should be large and clear, with a blank space, not a full grammar explanation.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: Large exact phrase allowed: 'This is my ___.'. Any learning text must be large, simple, and repeated later in HTML.",Mia presents a photo card with the sentence frame This is my blank.,Aligned; generate after IMG01 approval
AEW2_U010_IMG05,AEW2_U010_IMG05_l2_photo_card_choices.png,Lesson 2,Vocabulary cards,Controlled choices for This is my… sentences,No main characters required,Clean tabletop set of four large photo cards,Chunk + vocabulary matching,"mom, dad, friend, dog",U010-L2-Q07–Q12,"Labels may be large: mom, dad, friend, dog",4:3,1200x900,"Create four large classroom photo cards arranged neatly on a table: mom, dad, friend, dog. Use warm simple drawings, child-safe and culturally neutral. Include enough empty space so the image can be used beside matching Practice items.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: Labels may be large: mom, dad, friend, dog. Any learning text must be large, simple, and repeated later in HTML.","Four photo cards labeled mom, dad, friend, and dog.",Aligned; generate after IMG01 approval
AEW2_U010_IMG06,AEW2_U010_IMG06_l3_whos_this_question.png,Lesson 3,Dialogue scene,Ask and answer Who’s this?,"Leo, Mia, Toto",Classroom board with one mystery photo card,CHK Who’s this? It’s my…,"Who’s this?, It’s my friend",U010-L3-Q01–Q06,Speech bubble text allowed: 'Who’s this?',16:9,1536x864,"Create a dialogue scene where Leo points to a mystery photo card on a classroom board and Mia is ready to answer. Toto sits nearby as a friendly clue helper. Show one clear speech bubble with the exact text: Who’s this? Keep the scene simple and readable.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: Speech bubble text allowed: 'Who’s this?'. Any learning text must be large, simple, and repeated later in HTML.",Leo asks Who's this while Mia looks at a mystery photo card.,Aligned; generate after IMG01 approval
AEW2_U010_IMG07,AEW2_U010_IMG07_l3_reply_cards.png,Lesson 3,Reply support,Answer options for It’s my…,"Emma, Toto",Small classroom circle with reply cards,Answer chunk: It’s my…,It’s my mom/dad/friend/dog,U010-L3-Q07–Q12,Optional short reply frames only: 'It’s my ___.',16:9,1536x864,"Create a reply practice scene with Emma holding a large answer card that says It’s my ___. Toto is beside a dog card, making the answer visually clear. Keep the language short and large. Use a warm classroom background.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: Optional short reply frames only: 'It’s my ___.'. Any learning text must be large, simple, and repeated later in HTML.",Emma holds an answer card with It’s my blank as Toto sits beside a dog card.,Aligned; generate after IMG01 approval
AEW2_U010_IMG08,AEW2_U010_IMG08_l4_this_is_my_friend.png,Lesson 4,Inclusive friend scene,Show that friend can be used in project,"Emma, Mia, Leo, Toto",Adventure classroom friendship poster area,friend as safe alternative,"friend, This is my friend",U010-L4-Q01–Q06,Large phrase allowed: 'This is my friend.',16:9,1536x864,"Create a friendly scene where Emma presents a simple friend card showing Leo and Mia as teammates. The scene should communicate that learners can introduce a friend if they prefer. Include one large clear sentence on a card: This is my friend.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: Large phrase allowed: 'This is my friend.'. Any learning text must be large, simple, and repeated later in HTML.",Emma presents a friend card with Leo and Mia.,Aligned; generate after IMG01 approval
AEW2_U010_IMG09,AEW2_U010_IMG09_l4_family_friend_sort.png,Lesson 4,Sorting board,Sort family and friend cards,Small icons only; optional Toto icon,Two-column sorting mat on a classroom table,VOC categories family/friend,"family, friend, dog",U010-L4-Q07–Q12,Column titles may appear: family / friend,4:3,1200x900,"Create a simple sorting board with two clean columns: family and friend. Place several picture cards nearby, including mom, dad, friend, and dog. The board should be child-friendly and easy to use for matching practice. No complex family tree.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: Column titles may appear: family / friend. Any learning text must be large, simple, and repeated later in HTML.",A sorting board for family and friend picture cards.,Aligned; generate after IMG01 approval
AEW2_U010_IMG10,AEW2_U010_IMG10_l5_mini_reading_cards.png,Lesson 5,Reading cards,Mini reading with picture support,"Mia, Emma",Reading corner with three large cards,RDG short lines,This is my mom. This is my friend.,U010-L5-Q01–Q06,Large readable lines allowed: 'This is my mom.' 'This is my dad.' 'This is my friend.',16:9,1536x864,"Create a reading corner scene where Mia and Emma look at three large simple reading cards. Each card has one clear line and a picture: This is my mom. This is my dad. This is my friend. The text must be large, accurate, and easy to read.

Character identity lock: Use the uploaded Adventure World character identity card as visual reference. Leo is a 7–8-year-old Asian boy with round glasses and a green top; Mia is a 7–8-year-old girl with a yellow cardigan; Emma is a 7–8-year-old girl with a purple outfit; Toto is a small cute brown-and-white dog with a playful look. Keep faces, hair, colors, and roles consistent across all images.
Style: semi-realistic modern children’s educational coursebook style, warm and adventure-friendly, not too cartoon-like, bright but clean, safe classroom-friendly scene, age-appropriate modest clothing, consistent recurring characters, clear visual learning context.
Clothing and safety: no jeans, no denim, no short skirts, no striped skirts, no loose trousers, no revealing clothing, no political symbols, no political posters, no religious promotion, no slogans, no flags as central symbols, no violence, no adult content, no distracting logos.
Text rule: Large readable lines allowed: 'This is my mom.' 'This is my dad.' 'This is my friend.'. Any learning text must be large, simple, and repeated later in HTML.",Mia and Emma read three simple family/friend sentence cards.,Aligned; generate after IMG01 approval
