Section,Title,Expected_Images,Missing_Images,Alignment_Status,Content_Image_Note
Unit Opener,Family Tree Mission,AEW2_U010_IMG01,,PASS,All expected images are present and align with section content.
Lesson 1,Family Words,AEW2_U010_IMG02 | AEW2_U010_IMG03,,PASS,All expected images are present and align with section content.
Lesson 2,This Is My...,AEW2_U010_IMG04 | AEW2_U010_IMG05,,PASS,All expected images are present and align with section content.
Lesson 3,Who's This?,AEW2_U010_IMG06 | AEW2_U010_IMG07,,PASS,All expected images are present and align with section content.
Lesson 4,Family and Friends,AEW2_U010_IMG08 | AEW2_U010_IMG09,,PASS,All expected images are present and align with section content.
Lesson 5,Read a Mini Tree,AEW2_U010_IMG10 | AEW2_U010_IMG11,,PASS,All expected images are present and align with section content.
Lesson 6,Make a Picture Tree,AEW2_U010_IMG12 | AEW2_U010_IMG13,,PASS,All expected images are present and align with section content.
Lesson 7,Say and Show,AEW2_U010_IMG14 | AEW2_U010_IMG15,,PASS,All expected images are present and align with section content.
Watch,Toto's Photo Tree,AEW2_U010_IMG16 | AEW2_U010_IMG17 | AEW2_U010_IMG18 | AEW2_U010_IMG19 | AEW2_U010_IMG20,,PASS,All expected images are present and align with section content.
Final Project,My Family/Friend Poster,AEW2_U010_IMG21 | AEW2_U010_IMG22 | AEW2_U010_IMG23 | AEW2_U010_IMG24,,PASS,All expected images are present and align with section content.
