Gate_Area,Status,Evidence
Unit structure,PASS,"Unit has opener, 7 lessons, Watch, and Final Project content rows."
Practice count,PASS,"Total 108; section counts {'Lesson 1': 12, 'Lesson 2': 12, 'Lesson 3': 12, 'Lesson 4': 12, 'Lesson 5': 12, 'Lesson 6': 12, 'Lesson 7': 12, 'Watch': 12, 'Project': 12}."
Question bank count,PASS,GIFT question count = 108.
Required item fields,PASS,Missing required fields: none. Option C/D blanks are true/false items only.
Answer key consistency,PASS,Correct-answer mismatches = 0; answer key rows = 108.
Practice source-image coverage,PASS,Practice references 23 image IDs; missing referenced IDs: none.
KP boundary,PASS_WITH_NOTE,"No blocked KP is required for output. Address/phone/family-history appear only as wrong-option/safety-check contexts, not learner production targets."
Image asset completeness,PASS,Expected 24 images; found 24. Missing: none.
Visual identity and safety,PASS,"All 24 available images follow Adventure World style, character identity, safe classroom context, and no political/religious content or denim/jeans were observed in the gate review."
Content-image alignment,PASS,All section-required images are present and align to content.
Moodle HTML readiness,READY,"Content, Practice, question bank, and 24/24 images are ready for Moodle HTML build."
