id,section,type,prompt,options,correct_answer,feedback
AWV2-U005-L1-Q01,Lesson 1 Practice,choice,Look at Image 3. What animal is it?,dog | cat | bird,dog,Correct. It is a dog.
AWV2-U005-L1-Q02,Lesson 1 Practice,choice,Look at Image 4. What animal is it?,fish | cat | dog,cat,Correct. It is a cat.
AWV2-U005-L1-Q03,Lesson 1 Practice,choice,Look at Image 5. What animal is it?,bird | dog | fish,bird,Correct. It is a bird.
AWV2-U005-L1-Q04,Lesson 1 Practice,choice,Look at Image 6. What animal is it?,cat | fish | bird,fish,Correct. It is a fish.
AWV2-U005-L1-Q05,Lesson 1 Practice,matching,Match the word to the animal picture.,dog picture | cat picture | bird picture | fish picture,dog→dog picture; cat→cat picture; bird→bird picture; fish→fish picture,Good matching.
AWV2-U005-L1-Q06,Lesson 1 Practice,choice,Complete: It’s a ___.,dog | cat | fish,dog,Correct. It’s a dog.
AWV2-U005-L1-Q07,Lesson 1 Practice,choice,Complete: It’s a ___.,bird | dog | cat,cat,Correct. It’s a cat.
AWV2-U005-L1-Q08,Lesson 1 Practice,choice,Choose the same word: bird,fish | bird | dog,bird,Correct. Bird matches bird.
AWV2-U005-L1-Q09,Lesson 1 Practice,choice,Choose the same word: fish,cat | fish | bird,fish,Correct. Fish matches fish.
AWV2-U005-L1-Q10,Lesson 1 Practice,text,Put in order: a / dog / It’s,,It’s a dog.,Correct sentence.
AWV2-U005-L1-Q11,Lesson 1 Practice,choice,Choose the good sentence.,It’s dog. | It’s a dog. | A dog it’s.,It’s a dog.,Correct. Use “It’s a …”
AWV2-U005-L1-Q12,Lesson 1 Practice,choice,Listen: “cat.” Choose the animal.,dog | cat | bird,cat,Correct. You heard cat.
AWV2-U005-L2-Q01,Lesson 2 Practice,choice,Look at Image 8. What animal is it?,rabbit | dog | fish,rabbit,Correct. It is a rabbit.
AWV2-U005-L2-Q02,Lesson 2 Practice,choice,Look at Image 9. What animal is it?,duck | cat | turtle,duck,Correct. It is a duck.
AWV2-U005-L2-Q03,Lesson 2 Practice,choice,Look at Image 10. What animal is it?,bird | frog | rabbit,frog,Correct. It is a frog.
AWV2-U005-L2-Q04,Lesson 2 Practice,choice,Look at Image 11. What animal is it?,turtle | dog | duck,turtle,Correct. It is a turtle.
AWV2-U005-L2-Q05,Lesson 2 Practice,matching,Match the word to the animal picture.,rabbit picture | duck picture | frog picture | turtle picture,rabbit→rabbit picture; duck→duck picture; frog→frog picture; turtle→turtle picture,Good matching.
AWV2-U005-L2-Q06,Lesson 2 Practice,choice,Complete: It’s a ___.,rabbit | bird | cat,rabbit,Correct. It’s a rabbit.
AWV2-U005-L2-Q07,Lesson 2 Practice,choice,Complete: It’s a ___.,duck | fish | dog,duck,Correct. It’s a duck.
AWV2-U005-L2-Q08,Lesson 2 Practice,choice,Choose the same word: frog,frog | dog | duck,frog,Correct. Frog matches frog.
AWV2-U005-L2-Q09,Lesson 2 Practice,choice,Choose the same word: turtle,rabbit | turtle | fish,turtle,Correct. Turtle matches turtle.
AWV2-U005-L2-Q10,Lesson 2 Practice,text,Put in order: a / frog / It’s,,It’s a frog.,Correct sentence.
AWV2-U005-L2-Q11,Lesson 2 Practice,choice,Choose the good sentence.,It’s a duck. | Duck it’s. | It’s duck.,It’s a duck.,Correct. Use “It’s a …”
AWV2-U005-L2-Q12,Lesson 2 Practice,choice,Listen: “turtle.” Choose the animal.,frog | rabbit | turtle,turtle,Correct. You heard turtle.
AWV2-U005-L3-Q01,Lesson 3 Practice,choice,Complete: It’s a ___.,dog | hello | look,dog,Correct. Dog is an animal.
AWV2-U005-L3-Q02,Lesson 3 Practice,choice,Complete: It’s a ___.,cat | goodbye | open,cat,Correct. Cat is an animal.
AWV2-U005-L3-Q03,Lesson 3 Practice,text,Complete the sentence: It’s a ___.,,bird,Correct. It’s a bird.
AWV2-U005-L3-Q04,Lesson 3 Practice,text,Complete the sentence: It’s a ___.,,fish,Correct. It’s a fish.
AWV2-U005-L3-Q05,Lesson 3 Practice,text,Put in order: It’s / a / rabbit,,It’s a rabbit.,Correct sentence.
AWV2-U005-L3-Q06,Lesson 3 Practice,text,Put in order: It’s / a / turtle,,It’s a turtle.,Correct sentence.
AWV2-U005-L3-Q07,Lesson 3 Practice,text,Fix: It’s dog.,,It’s a dog.,Correct. Add “a.”
AWV2-U005-L3-Q08,Lesson 3 Practice,text,Fix: It’s cat.,,It’s a cat.,Correct. Add “a.”
AWV2-U005-L3-Q09,Lesson 3 Practice,choice,Choose the good sentence.,It’s a frog. | Frog it’s. | It’s frog.,It’s a frog.,Correct.
AWV2-U005-L3-Q10,Lesson 3 Practice,choice,Choose the good sentence.,It’s duck. | It’s a duck. | A duck it’s.,It’s a duck.,Correct.
AWV2-U005-L3-Q11,Lesson 3 Practice,matching,Match animal to sentence.,It’s a dog. | It’s a fish. | It’s a turtle.,dog→It’s a dog.; fish→It’s a fish.; turtle→It’s a turtle.,Good matching.
AWV2-U005-L3-Q12,Lesson 3 Practice,choice,Listen: “It’s a rabbit.” Choose the animal.,dog | rabbit | frog,rabbit,Correct. You heard rabbit.
AWV2-U005-L4-Q01,Lesson 4 Practice,choice,Leo chooses a dog card. What can Leo say?,I like dogs. | I like cats. | I like birds.,I like dogs.,Correct.
AWV2-U005-L4-Q02,Lesson 4 Practice,choice,Mia chooses a cat card. What can Mia say?,I like fish. | I like cats. | I like ducks.,I like cats.,Correct.
AWV2-U005-L4-Q03,Lesson 4 Practice,choice,Emma chooses a bird card. What can Emma say?,I like birds. | I like dogs. | I like frogs.,I like birds.,Correct.
AWV2-U005-L4-Q04,Lesson 4 Practice,choice,Complete: I like ___.,dog | dogs | a dog,dogs,Correct. Use dogs.
AWV2-U005-L4-Q05,Lesson 4 Practice,choice,Complete: I like ___.,cats | cat | a cat,cats,Correct. Use cats.
AWV2-U005-L4-Q06,Lesson 4 Practice,choice,Complete: I like ___.,birds | bird | a bird,birds,Correct. Use birds.
AWV2-U005-L4-Q07,Lesson 4 Practice,text,Put in order: like / dogs / I,,I like dogs.,Correct sentence.
AWV2-U005-L4-Q08,Lesson 4 Practice,text,Put in order: cats / like / I,,I like cats.,Correct sentence.
AWV2-U005-L4-Q09,Lesson 4 Practice,text,Fix: I like dog.,,I like dogs.,Correct.
AWV2-U005-L4-Q10,Lesson 4 Practice,text,Fix: I like cat.,,I like cats.,Correct.
AWV2-U005-L4-Q11,Lesson 4 Practice,matching,Match animal to “I like…” sentence.,I like dogs. | I like cats. | I like birds. | I like rabbits.,dog→I like dogs.; cat→I like cats.; bird→I like birds.; rabbit→I like rabbits.,Good matching.
AWV2-U005-L4-Q12,Lesson 4 Practice,choice,Choose the sentence for a fish card.,I like fish. | I like rabbits. | I like turtles.,I like fish.,Correct.
AWV2-U005-L5-Q01,Lesson 5 Practice,choice,Choose the “like” sentence.,I like dogs. | I don’t like dogs. | Dogs like I.,I like dogs.,Correct.
AWV2-U005-L5-Q02,Lesson 5 Practice,choice,Choose the “don’t like” sentence.,I like frogs. | I don’t like frogs. | Frogs like I.,I don’t like frogs.,Correct.
AWV2-U005-L5-Q03,Lesson 5 Practice,choice,Complete: I don’t like ___.,frogs | frog | a frog,frogs,Correct. Use frogs.
AWV2-U005-L5-Q04,Lesson 5 Practice,choice,Complete: I don’t like ___.,turtles | turtle | a turtle,turtles,Correct. Use turtles.
AWV2-U005-L5-Q05,Lesson 5 Practice,text,Put in order: don’t / frogs / I / like,,I don’t like frogs.,Correct sentence.
AWV2-U005-L5-Q06,Lesson 5 Practice,text,Put in order: like / I / dogs,,I like dogs.,Correct sentence.
AWV2-U005-L5-Q07,Lesson 5 Practice,text,Fix: I don’t like frog.,,I don’t like frogs.,Correct.
AWV2-U005-L5-Q08,Lesson 5 Practice,text,Fix: I like cat.,,I like cats.,Correct.
AWV2-U005-L5-Q09,Lesson 5 Practice,choice,Choose the good pair.,I like dogs. I don’t like frogs. | I dog like. I frog don’t. | Dogs I like.,I like dogs. I don’t like frogs.,Correct.
AWV2-U005-L5-Q10,Lesson 5 Practice,matching,Match the card to the sentence.,I like dogs. | I don’t like frogs.,dog→I like dogs.; frog→I don’t like frogs.,Good matching.
