image_no,filename,title,section,purpose,source_filename,status
1,assets/images/unit003_img01_cover_number_trail.png,Cover — Number Trail,Cover,Cover — Number Trail,adventure_world_let_s_explore_the_path.png,included
2,assets/images/unit003_img02_lesson_1_main_numbers_0_5.png,Lesson 1 Main — numbers 0–5,Lesson 1,Lesson 1 Main — numbers 0–5,a_bright_colorful_3d_cgi_style_children_s_educatio.png,included
3,assets/images/unit003_img03_lesson_1_support_counting_0_5.png,Lesson 1 Support — counting 0–5,Lesson 1,Lesson 1 Support — counting 0–5,a_bright_cheerful_cartoon_3d_rendered_outdoor_le.png,included
4,assets/images/unit003_img04_lesson_2_main_numbers_6_10.png,Lesson 2 Main — numbers 6–10,Lesson 2,Lesson 2 Main — numbers 6–10,a_bright_colorful_3d_cartoony_children_s_illustra.png,included
5,assets/images/unit003_img05_lesson_2_support_checkpoint_6_10.png,Lesson 2 Support — checkpoint 6–10,Lesson 2,Lesson 2 Support — checkpoint 6–10,forest_checkpoint_fun_with_numbers.png,included
6,assets/images/unit003_img06_lesson_3_main_how_many.png,Lesson 3 Main — How many?,Lesson 3,Lesson 3 Main — How many?,a_bright_colorful_3d_cgi_cartoon_style_outdoor_sc.png,included
7,assets/images/unit003_img07_lesson_3_support_counting_questions.png,Lesson 3 Support — counting questions,Lesson 3,Lesson 3 Support — counting questions,wide_bright_cartoon_3d_illustration_of_an_outdoor.png,included
8,assets/images/unit003_img08_lesson_4_main_numbers_11_15.png,Lesson 4 Main — numbers 11–15,Lesson 4,Lesson 4 Main — numbers 11–15,a_bright_colorful_3d_cgi_illustration_of_an_outdo.png,included
9,assets/images/unit003_img09_lesson_4_support_nature_station_11_15.png,Lesson 4 Support — nature station 11–15,Lesson 4,Lesson 4 Support — nature station 11–15,counting_fun_in_the_sunny_forest.png,included
10,assets/images/unit003_img10_lesson_5_main_numbers_16_20.png,Lesson 5 Main — numbers 16–20,Lesson 5,Lesson 5 Main — numbers 16–20,counting_fun_at_the_forest_race.png,included
11,assets/images/unit003_img11_lesson_5_support_high_number_station_16_20.png,Lesson 5 Support — high-number station 16–20,Lesson 5,Lesson 5 Support — high-number station 16–20,bright_colorful_3d_cgi_children_s_educational_sce.png,included
12,assets/images/unit003_img12_lesson_6_main_one_or_more.png,Lesson 6 Main — one or more,Lesson 6,Lesson 6 Main — one or more,a_bright_colorful_3d_cgi_educational_poster_scene.png,included
13,assets/images/unit003_img13_lesson_6_support_one_more_sorting.png,Lesson 6 Support — one/more sorting,Lesson 6,Lesson 6 Support — one/more sorting,a_bright_colorful_3d_cgi_illustration_set_outdoor.png,included
14,assets/images/unit003_img14_lesson_7_main_final_number_challenge.png,Lesson 7 Main — final number challenge,Lesson 7,Lesson 7 Main — final number challenge,a_bright_colorful_3d_cgi_children_s_illustration.png,included
15,assets/images/unit003_img15_lesson_7_support_review_map.png,Lesson 7 Support — review map,Lesson 7,Lesson 7 Support — review map,a_bright_colorful_3d_cg_children_s_illustration_o.png,included
16,assets/images/unit003_img16_watch_visual_1_video_thumbnail.png,Watch Visual 1 — video thumbnail,Watch asset,Watch Visual 1 — video thumbnail (retained as asset; not displayed as a separate Watch section image),a_bright_colorful_3d_cartoon_illustration_in_a_ch.png,included_asset_not_displayed_on_student_watch_page
17,assets/images/unit003_img17_watch_visual_2_script_support.png,Watch Visual 2 — script support,Watch asset,Watch Visual 2 — script support (retained as asset; not displayed as a separate Watch section image),a_bright_colorful_3d_cgi_animated_outdoor_scene_i.png,included_asset_not_displayed_on_student_watch_page
18,assets/images/unit003_img18_project_model_number_challenge_card.png,Project Model — Number Challenge Card,Project,Project Model — Number Challenge Card,a_bright_colorful_high_quality_3d_cgi_cartoon_cl.png,included
19,assets/images/unit003_img19_project_support_make_a_card.png,Project Support — make a card,Project,Project Support — make a card,a_bright_colorful_children_s_illustration_3d_cart.png,included
20,assets/images/unit003_img20_end_review_celebration.png,End / Review — celebration,Project,End / Review — celebration,a_bright_colorful_3d_cartoon_cgi_scene_in_a_lush.png,included
