Lesson,Moodle activity,Type,Completion rule
1,Page: Rainbow Gate story opening,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
1,Quiz: choose Hello or Hi,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
1,H5P-style: tap the greeting character,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
1,Speaking: record Hello and Hi,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
1,Completion: page view + 70% quiz + speaking attempt,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
2,Quiz: complete I’m ___,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
2,Matching: name to character,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
2,Ordering: What’s / your / name?,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
2,Speaking: record I’m + name,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
2,Completion: 70% quiz + speaking attempt,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
3,Quiz: choose the correct name,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
3,Matching: character to name,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
3,Fill blank: This is ___,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
3,Speaking: introduce a character,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
3,Completion: quiz + one oral introduction,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
4,Song page with lyrics,Activity,Complete as stated; final mastery >= 70% plus speaking attempt
4,True/False: Hello is a greeting,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
4,Quiz: choose Goodbye/Bye,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
4,Speaking: record chant line,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
4,Completion: listen + quiz + speaking attempt,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
5,Final quiz: 10 items,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
5,Matching: characters and names,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
5,Speaking assignment: self-introduction,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
5,Badge: completion tracking,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
5,Completion: score 70% + speaking submission,Page/Quiz/H5P/Speaking,Complete as stated; final mastery >= 70% plus speaking attempt
