course,unit,cefr_band,section,can_do,kp_target,lesson_input,practice_ids,image_ids,repair_link,portfolio_link
Adventure English World V2,7,Pre-A1.2,Unit Opener,I can name toys and say where something is.,toy words; in/on/under; Where is...?; It's...,"Leo, Mia, Emma, and Toto find a toy box. A toy is missing. They look, point, and listen. Where is the toy?",,"IMG01, IMG02","Use the picture first. Say one toy word, then one place word.",Toy Location Page preview
Adventure English World V2,7,Pre-A1.2,Lesson 1,I can recognize and say toy words.,toy words; in/on/under; Where is...?; It's...,"Look at the toy shelf. Listen and point: ball, car, doll, robot, kite, teddy bear, blocks, train.",AEW2-U007-L1-Q01 to AEW2-U007-L1-Q12,"IMG03, IMG04",Match picture to word again. Say only the toy word first.,Choose toy words for the project page
Adventure English World V2,7,Pre-A1.2,Lesson 2,I can say where a toy is with in.,toy words; in/on/under; Where is...?; It's...,A toy is inside the toy box. Leo points. Use the frame: It's in the box.,AEW2-U007-L2-Q01 to AEW2-U007-L2-Q12,"IMG05, IMG06","If the toy is inside, use in.",Use one in sentence
Adventure English World V2,7,Pre-A1.2,Lesson 3,I can say where a toy is with on.,toy words; in/on/under; Where is...?; It's...,A toy is touching the shelf or table. Use the frame: It's on the shelf.,AEW2-U007-L3-Q01 to AEW2-U007-L3-Q12,"IMG07, IMG08","If the toy is sitting on top, use on.",Use one on sentence
Adventure English World V2,7,Pre-A1.2,Lesson 4,I can say where a toy is with under.,toy words; in/on/under; Where is...?; It's...,A toy is below the table. Toto looks. Use the frame: It's under the table.,AEW2-U007-L4-Q01 to AEW2-U007-L4-Q12,"IMG09, IMG10","If the toy is below something, use under.",Use one under sentence
Adventure English World V2,7,Pre-A1.2,Lesson 5,I can ask and answer Where is the toy?,toy words; in/on/under; Where is...?; It's...,The team asks about toys in the room. Use a short question and answer.,AEW2-U007-L5-Q01 to AEW2-U007-L5-Q12,"IMG11, IMG12",Question: Where is the ___? Answer: It's ___ the ___.,Project Q&A practice
Adventure English World V2,7,Pre-A1.2,Lesson 6,"I can follow toy clues with in, on, and under.",toy words; in/on/under; Where is...?; It's...,"Toto gives clue cards. Find the toy: in the box, on the shelf, or under the table.",AEW2-U007-L6-Q01 to AEW2-U007-L6-Q12,"IMG13, IMG14, IMG15","Look at the clue word first: in, on, or under.",Choose 3 location clues
Adventure English World V2,7,Pre-A1.2,Lesson 7,I can prepare my toy location page.,toy words; in/on/under; Where is...?; It's...,Make a Toy Location Page. Choose three toys and three places. Practice one question and one answer.,AEW2-U007-L7-Q01 to AEW2-U007-L7-Q12,"IMG16, IMG17",Use the same frame for each toy: Where is the ___? It's ___ the ___.,My Toy Location Page
Adventure English World V2,7,Pre-A1.2,Watch,I can understand a short toy location story.,toy words; in/on/under; Where is...?; It's...,"Watch the team find toys. Listen for toy words and places: in, on, under.",AEW2-U007-WATCH-Q01 to AEW2-U007-WATCH-Q12,"IMG02, IMG05, IMG07, IMG09, IMG20","Watch again. Listen for in, on, or under.",Watch-to-project location practice
Adventure English World V2,7,Pre-A1.2,Final Project,I can show toys and say where they are.,toy words; in/on/under; Where is...?; It's...,"Choose three toys. Put each toy in a place: in the box, on the shelf, or under the table. Show your page.",AEW2-U007-PROJ-Q01 to AEW2-U007-PROJ-Q12,"IMG17, IMG20",Choose toy + choose place + say the location sentence.,Toy Location Page + short presentation
