unit,level,section,can_do,kp_focus,blocked_kp_check
AEW2-U004,Pre-A1.1,L1,I can hear three classroom commands and choose the right action.,"Listen; Look; Say; command means action","No animals, likes, family, age, geography, full grammar explanation"
AEW2-U004,Pre-A1.1,L2,I can follow listen look and point commands.,"Listen; Look; Point; action discrimination","No animals, likes, family, age, geography, full grammar explanation"
AEW2-U004,Pre-A1.1,L3,I can repeat a classroom word or phrase.,"Say; Say it again; One more time","No long dialogues or complex grammar"
AEW2-U004,Pre-A1.1,L4,I can understand and perform stand up and sit down.,"Stand up; Sit down; body action response","No preposition/location grammar"
AEW2-U004,Pre-A1.1,L5,I can follow open and close commands with a book.,"Open your book; Close your book","No broad classroom object unit"
AEW2-U004,Pre-A1.1,L6,I can understand read and write in classroom work.,"Read; Write; copy command labels","No spelling tests beyond copied labels"
AEW2-U004,Pre-A1.1,L7,I can choose and say four classroom commands.,"combined command routine; polite please","No language outside Unit 4 plus Unit 1 greeting"
AEW2-U004,Pre-A1.1,WATCH,I can watch and choose classroom commands.,"Watch routine; command sequence; detail recognition","No unrelated video content"
AEW2-U004,Pre-A1.1,PROJECT,I can record four classroom commands with actions.,"classroom action recording; portfolio evidence","No free speech beyond controlled command routine"

