audio_id,location,text_or_script,role,status,moodle_relative_path,media_server_recommended_path,notes
AEW2-U001-STORY,Unit Story,"Hello! I’m Leo. Hi! I’m Mia. Hello! I’m Emma. Hello, Toto! Goodbye!",story block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-STORY.mp3,placeholder only
AEW2-U001-WORD-HELLO,Unit word cards,hello,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-HELLO.mp3,greeting
AEW2-U001-WORD-HI,Unit word cards,hi,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-HI.mp3,greeting
AEW2-U001-WORD-I-M,Unit word cards,I’m,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-I-M.mp3,name phrase
AEW2-U001-WORD-NAME,Unit word cards,name,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-NAME.mp3,name word
AEW2-U001-WORD-WHAT-S-YOUR-NAME,Unit word cards,What’s your name?,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-WHAT-S-YOUR-NAME.mp3,name question
AEW2-U001-WORD-GOODBYE,Unit word cards,goodbye,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-GOODBYE.mp3,leaving phrase
AEW2-U001-WORD-BYE,Unit word cards,bye,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-BYE.mp3,leaving phrase
AEW2-U001-WORD-LEO,Unit word cards,Leo,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-LEO.mp3,character name
AEW2-U001-WORD-MIA,Unit word cards,Mia,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-MIA.mp3,character name
AEW2-U001-WORD-EMMA,Unit word cards,Emma,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-EMMA.mp3,character name
AEW2-U001-WORD-TOTO,Unit word cards,Toto,word/chunk audio,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-WORD-TOTO.mp3,character name
AEW2-U001-L1-LISTEN,Lesson 1,"Hello. / Hi. / Hello, Mia. / Hi, Leo.",lesson model block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-L1-LISTEN.mp3,placeholder only
AEW2-U001-AI-L1-MODEL,Lesson 1 AI Checker,Hello. or Hi.,AI model phrase,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-AI-L1-MODEL.mp3,placeholder only
AEW2-U001-L2-LISTEN,Lesson 2,I’m Leo. / I’m Mia. / I’m Emma.,lesson model block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-L2-LISTEN.mp3,placeholder only
AEW2-U001-AI-L2-MODEL,Lesson 2 AI Checker,I’m ___.,AI model phrase,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-AI-L2-MODEL.mp3,placeholder only
AEW2-U001-L3-LISTEN,Lesson 3,What’s your name? / I’m Leo. / What’s your name? / I’m Mia.,lesson model block,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-L3-LISTEN.mp3,placeholder only
AEW2-U001-AI-L3-MODEL,Lesson 3 AI Checker,What’s your name? or I’m ___.,AI model phrase,placeholder,,MediaServer/FLW/Adventure_English_World/Unit_001/audio/export/AEW2-U001-AI-L3-MODEL.mp3,placeholder only
